Geneid,featureCounts on data 282: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 288: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 296: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 300: Counts_HISAT2 on data 38 and data 37: aligned reads (BAM),featureCounts on data 304: Counts_HISAT2 on data 42 and data 41: aligned reads (BAM),featureCounts on data 310: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 312: Counts_HISAT2 on data 50 and data 49: aligned reads (BAM),featureCounts on data 322: Counts_HISAT2 on data 60 and data 59: aligned reads (BAM)
100422955,0,0,0,0,0,0,0,0
100422956,0,0,0,0,0,0,0,0
100422957,0,0,0,1,0,0,0,0
100422959,0,0,1,0,0,0,0,0
100422960,0,0,0,1,0,0,0,0
100422961,0,0,0,0,1,0,0,0
100422962,0,1,1,0,2,2,0,0
100422963,0,0,0,0,0,0,1,0
100422964,0,0,0,0,0,0,0,0
100422965,1,5,5,6,4,6,3,4
100422966,0,0,0,0,0,0,0,0
100422967,1,2,0,2,1,2,0,0
100422968,0,0,0,0,1,0,0,0
100422969,0,0,0,0,0,0,0,0
100422970,0,2,6,3,4,5,0,1
100422971,5,6,9,8,12,10,5,5
100422972,0,0,0,0,0,0,0,0
100422973,0,0,1,0,0,0,0,0
100422974,0,0,0,0,0,1,2,0
100422975,0,0,0,0,0,0,0,0
100422976,6,4,3,4,7,5,4,4
100422977,0,0,0,0,0,0,0,0
100422978,0,0,0,0,0,0,0,0
100422979,1,0,0,0,0,1,0,0
100422980,0,1,0,0,0,0,0,0
100422981,2,1,6,5,3,6,2,1
100422982,0,0,0,0,0,0,0,2
100422983,0,0,0,0,0,0,0,0
100422984,1,1,0,0,0,0,0,0
100422985,0,0,0,0,0,0,0,0
100422986,3,2,19,4,17,5,1,5
100422987,0,0,0,0,0,0,0,0
100422988,1,0,0,0,0,0,0,0
100422989,1,0,0,1,1,0,1,0
100422990,5,2,0,0,3,4,1,4
100422991,0,0,0,0,0,0,0,0
100422992,2,8,8,25,23,8,8,9
100422993,0,0,0,0,0,0,0,0
100422994,0,0,0,0,0,0,0,0
100422995,8,0,2,8,7,4,3,4
100422996,0,0,0,0,0,0,0,0
100422997,0,0,0,0,0,0,0,0
100422998,0,0,0,0,0,0,0,0
100422999,0,1,2,0,0,1,0,1
100423000,2,1,1,2,7,3,0,1
100423001,1,2,0,2,3,1,0,0
100423002,0,0,0,0,0,0,0,0
100423003,0,0,0,0,0,0,0,0
100423004,0,0,0,0,0,0,0,0
100423005,0,0,0,0,0,1,2,0
100423006,0,0,0,0,0,0,0,0
100423008,0,0,0,0,0,0,0,0
100423009,0,0,0,0,2,0,0,0
100423010,0,0,0,0,0,0,0,0
100423011,0,1,1,2,3,1,0,0
100423012,1,0,0,0,1,0,0,0
100423013,0,0,0,0,0,0,0,0
100423014,0,0,0,0,0,0,0,0
100423015,0,0,0,0,0,0,0,0
100423016,0,0,0,0,0,0,0,0
100423017,8,9,14,27,24,38,6,9
100423018,0,0,0,0,0,0,0,0
100423019,0,0,0,0,2,0,0,2
100423020,0,0,1,1,1,0,2,0
100423021,0,0,0,0,0,0,0,0
100423023,0,0,0,0,0,0,0,0
100423025,4,1,1,3,2,0,1,3
100423026,3,2,1,1,0,2,0,0
100423027,2,0,0,1,2,1,1,1
100423028,0,2,1,0,3,2,1,0
100423029,1,0,0,2,3,2,0,3
100423030,5,2,2,3,2,5,2,6
100423031,0,0,0,0,0,0,0,0
100423032,2,2,2,1,0,2,0,0
100423033,0,0,0,0,0,0,0,0
100423034,0,0,0,0,0,0,0,0
100423035,0,0,0,0,0,0,0,0
100423036,3,0,2,7,5,3,3,3
100423037,0,0,0,0,1,0,0,0
100423038,0,0,0,0,0,0,0,0
100423039,0,0,0,0,0,0,0,0
100423040,0,0,0,0,0,0,0,0
100423041,1,0,1,0,1,0,1,3
100423042,0,0,0,0,0,0,0,0
100423043,3,0,2,4,7,3,3,1
100423062,0,0,0,0,0,0,0,0
10043,616,737,1074,1040,1450,702,546,730
100431172,0,0,0,4,0,0,0,0
10044,190,149,229,172,372,111,110,151
10045,3,4,2,3,0,2,4,0
10046,457,363,640,300,903,192,232,341
100462953,278,210,191,401,335,294,233,191
100462977,10,8,10,21,19,5,55,38
100462981,18,2,16,13,20,8,8,10
100462983,10,11,12,14,33,15,12,13
100463285,41,32,24,42,32,17,16,37
100463289,27,26,23,38,40,12,21,43
100463482,0,0,0,0,0,0,0,0
100463486,29,33,38,55,41,70,37,30
100463487,34,10,6,21,10,0,2,9
100463488,0,0,0,2,0,0,1,0
10047,0,0,0,0,0,0,0,0
10048,2775,4871,5770,8388,9669,3913,3219,4133
10049,1358,2369,3493,4064,3947,2128,1603,2204
100498859,6,17,14,23,7,7,7,9
100499171,38,31,35,37,65,34,23,18
100499177,1324,1343,2239,3064,3107,1583,1314,1450
100499183,135,192,167,372,296,206,120,144
100499194,4,6,0,19,2,4,2,6
100499227,26,25,29,16,55,13,19,30
100499405,193,378,296,507,509,343,205,339
100499466,4163,5453,6671,9288,10460,5642,3898,4819
100499467,280,372,341,431,616,314,213,334
100499483,2,3,0,1,5,1,2,2
100499484,187,139,178,271,212,183,129,177
100499489,77,129,229,184,246,77,51,85
1005,151,278,489,568,678,164,107,224
10050,2,0,2,0,0,0,0,0
100500773,3,2,0,0,0,4,1,1
100500801,1,2,1,1,1,1,0,0
100500802,6,8,3,9,7,10,3,11
100500803,4,7,3,12,6,12,4,15
100500804,39,57,77,104,151,47,43,37
100500805,2,9,9,18,11,5,11,7
100500807,0,0,0,0,0,0,0,0
100500808,0,0,0,0,0,0,0,0
100500809,0,3,2,6,0,1,0,0
100500810,0,0,0,0,0,0,0,0
100500811,0,0,0,0,1,0,0,0
100500812,0,1,0,1,3,0,3,1
100500813,0,0,0,0,0,0,0,0
100500814,0,1,0,1,0,1,1,0
100500815,0,1,0,0,0,0,0,0
100500816,0,0,0,0,0,0,0,0
100500817,4,4,5,6,14,7,1,1
100500818,0,0,0,0,1,0,0,0
100500819,1111,1719,1153,5533,2996,1950,1550,1682
100500820,0,0,0,0,0,0,0,0
100500821,0,0,0,0,0,0,0,0
100500822,0,0,0,0,0,0,0,0
100500823,1,0,0,3,1,0,0,0
100500824,0,0,0,0,0,0,0,0
100500825,0,1,0,1,0,0,0,2
100500826,0,2,1,4,1,0,2,0
100500827,0,0,0,0,0,0,0,0
100500828,0,2,5,1,2,4,4,1
100500829,6,2,5,7,14,4,3,11
100500830,0,0,0,0,0,0,0,0
100500831,0,0,0,0,0,0,0,0
100500832,0,0,0,0,0,0,0,0
100500833,0,0,0,0,0,0,0,0
100500834,0,0,0,0,0,0,0,0
100500835,0,0,0,0,1,0,0,0
100500836,0,0,0,0,0,0,0,0
100500837,0,0,0,0,0,0,0,0
100500838,0,0,0,0,0,0,0,0
100500839,0,0,0,0,0,1,1,0
100500840,0,0,0,0,0,0,0,1
100500841,0,0,0,0,0,0,0,0
100500842,0,0,0,0,0,0,0,0
100500843,2,1,0,1,5,0,1,1
100500844,0,0,0,0,0,0,0,0
100500845,0,0,0,0,0,0,0,0
100500846,0,0,0,0,0,0,0,0
100500847,0,0,0,0,0,0,0,0
100500849,18,31,32,48,68,36,28,27
100500850,45,62,52,85,135,32,50,30
100500851,0,0,0,0,0,0,0,0
100500852,0,0,0,0,0,0,0,0
100500853,8,3,7,8,11,13,8,4
100500854,1,4,14,31,26,15,10,5
100500855,0,0,0,1,0,0,0,0
100500856,0,0,0,0,0,0,0,0
100500857,1,1,0,0,1,0,1,1
100500858,0,0,0,0,0,0,0,0
100500859,1,1,1,0,1,2,1,0
100500860,0,0,0,0,0,0,0,0
100500861,0,0,0,0,0,0,0,0
100500862,1,1,2,0,2,2,0,0
100500863,0,0,0,0,0,0,0,0
100500864,0,0,0,0,0,1,1,0
100500865,9,14,19,27,17,15,7,11
100500866,11,13,15,17,13,12,14,4
100500867,1,3,1,2,0,0,2,1
100500868,0,0,0,0,0,0,0,0
100500869,1,0,2,1,2,0,1,3
100500870,0,0,0,0,1,0,0,0
100500871,0,0,0,0,0,0,0,0
100500872,16,17,27,5,52,9,5,16
100500873,4,5,0,2,2,0,2,1
100500875,3,1,3,6,5,2,2,1
100500876,0,0,0,0,0,0,0,0
100500877,1,0,0,0,0,0,0,0
100500878,4,2,2,2,2,3,2,2
100500879,0,0,0,0,0,0,0,0
100500880,2,2,1,5,2,5,3,3
100500881,0,0,0,0,0,0,0,0
100500882,0,0,0,0,0,1,0,0
100500883,0,0,0,0,0,0,0,0
100500884,0,0,0,0,0,0,0,0
100500885,0,0,0,1,0,0,0,0
100500886,0,0,0,0,0,0,0,0
100500887,0,0,0,0,0,0,0,0
100500888,0,0,0,0,0,0,0,0
100500889,1,2,1,1,1,2,0,2
100500890,0,1,0,4,0,0,1,0
100500891,44,27,20,18,37,29,25,21
100500893,0,0,0,1,0,0,0,0
100500894,0,0,0,1,0,0,0,0
100500895,0,0,0,0,0,0,0,0
100500896,1,2,0,4,2,0,0,0
100500897,0,0,0,0,0,2,0,0
100500898,0,0,0,0,0,0,0,0
100500899,2,1,0,1,3,2,1,1
100500900,0,1,0,1,0,0,1,0
100500901,0,0,0,0,0,0,1,0
100500902,0,0,0,0,0,0,0,0
100500903,0,0,0,0,0,0,0,0
100500904,1,2,2,3,7,1,0,1
100500905,0,0,0,0,0,0,0,0
100500906,0,0,0,0,0,0,0,0
100500907,0,0,0,0,0,0,0,0
100500908,0,0,8,2,2,2,0,1
100500909,0,0,0,0,0,0,0,0
100500910,0,0,0,0,0,0,0,0
100500911,0,0,0,0,0,0,0,0
100500912,0,0,0,0,0,0,0,0
100500913,0,0,0,0,0,0,0,0
100500914,0,0,0,0,0,0,0,0
100500915,0,0,0,0,0,4,1,0
100500916,0,0,0,0,0,0,0,0
100500917,3,1,1,1,1,0,2,0
100500918,0,0,0,0,0,0,0,0
100500919,0,0,0,0,0,0,0,0
100500920,0,0,0,0,0,0,0,0
100500938,2,5,12,19,2,12,3,9
100505385,0,0,0,0,0,0,0,0
100505474,2,14,10,13,10,2,5,11
100505475,8,8,8,12,20,12,4,15
100505477,0,2,2,0,1,0,1,2
100505478,31,13,13,8,28,5,6,21
100505483,73,186,230,302,298,127,117,177
100505495,25,27,40,24,39,14,14,15
100505502,119,85,142,83,124,68,40,48
100505515,0,0,0,0,0,0,0,0
100505518,53,52,49,83,92,63,42,40
100505530,6,7,4,9,2,0,5,1
100505532,121,90,191,162,224,45,83,101
100505536,5,10,10,11,9,2,1,10
100505538,55,69,144,443,196,97,110,116
100505540,69,26,38,40,59,13,25,55
100505545,0,0,0,0,0,0,0,0
100505547,4,3,3,2,1,0,6,1
100505549,59,50,41,69,101,60,45,78
100505555,14,31,77,32,46,2,13,25
100505561,10,3,0,0,4,3,2,0
100505566,9,7,22,29,14,18,4,7
100505573,581,840,866,1260,1183,522,531,788
100505576,597,1337,1407,1796,2122,761,710,1056
100505583,0,0,0,0,1,0,0,2
100505588,11,15,50,33,83,10,10,20
100505591,5,2,4,2,6,5,5,4
100505592,2,1,2,3,1,2,1,0
100505601,3,5,1,0,1,1,1,0
100505609,1,1,2,9,7,0,4,2
100505616,83,99,120,166,207,85,74,107
100505619,0,0,0,0,1,0,2,0
100505621,16,8,6,15,3,3,4,9
100505622,6,0,16,9,18,4,4,1
100505624,8,10,10,13,16,23,5,9
100505625,33,14,26,29,25,16,15,19
100505633,0,0,0,1,4,2,0,0
100505635,50,37,38,63,64,48,28,30
100505636,105,142,187,267,248,161,88,116
100505641,4563,6262,7042,12960,12651,5322,5109,5087
100505648,92,145,177,223,253,176,147,160
100505658,57,20,46,70,84,51,60,84
100505659,10,3,20,10,30,8,12,8
100505663,3,2,0,0,6,3,0,0
100505666,5,4,9,10,9,8,5,5
100505676,73,78,88,168,157,87,77,42
100505678,358,478,553,725,570,479,288,509
100505679,5,2,2,3,8,0,4,4
100505681,15,15,20,20,29,23,9,14
100505683,6,6,4,10,17,8,7,4
100505687,237,616,967,937,1010,373,392,416
100505692,47,42,86,106,105,79,58,79
100505696,296,250,285,437,447,372,232,323
100505702,442,940,1466,1302,2073,1895,1314,1565
100505715,291,266,285,576,558,284,278,302
100505716,282,201,193,246,379,183,155,216
100505718,4,0,0,6,2,2,2,2
100505724,0,0,0,0,0,0,0,0
100505736,107,91,61,140,117,90,87,120
100505738,253,433,401,722,809,482,328,326
100505739,0,1,0,2,1,0,0,2
100505741,184,217,190,663,382,224,194,236
100505746,22,20,24,43,55,22,33,10
100505753,0,0,0,0,0,0,0,0
100505758,10,1,2,5,12,3,3,12
100505761,199,308,415,255,528,203,169,191
100505767,25,35,43,48,59,26,26,16
100505768,9,20,11,43,29,31,17,46
100505776,2,1,0,3,4,0,0,0
100505782,0,0,1,0,0,0,0,0
100505783,256,384,425,533,904,333,213,279
100505795,102,97,48,101,115,103,100,113
100505797,44,72,84,106,187,24,17,72
100505806,59,11,39,30,59,50,44,30
100505811,1,0,0,2,4,7,5,2
100505812,27,38,69,63,98,13,27,40
100505817,2,0,0,2,1,0,1,4
100505826,2,5,6,13,12,8,0,4
100505832,143,130,205,283,284,198,153,78
100505835,35,42,157,71,160,45,37,53
100505839,17,23,19,11,26,29,13,17
100505841,1,6,6,13,8,4,4,4
100505845,0,2,7,3,0,8,1,1
100505851,4,7,6,4,3,1,5,5
100505853,0,0,0,0,0,0,0,0
100505854,156,158,280,287,288,155,133,160
100505865,25,44,21,136,59,27,13,26
100505869,20,57,114,118,152,21,23,37
100505875,54,46,111,77,66,96,62,129
100505876,1033,2199,2296,2817,3036,1490,1324,1868
100505877,2,0,0,2,1,0,0,0
100505878,0,0,2,0,0,0,0,0
100505879,0,7,1,11,3,6,7,3
100505881,2473,3027,3467,7534,5993,4040,2994,3089
100505887,0,0,0,0,0,0,0,0
100505890,144,49,58,80,84,67,62,94
100505893,35,45,35,89,38,25,44,68
100505894,826,824,1507,1716,1514,802,897,830
100505912,31,31,26,42,57,36,37,36
100505915,7,5,9,9,23,8,7,7
100505918,5,2,3,0,4,3,5,4
100505920,0,0,9,8,2,2,0,0
100505921,33,27,29,41,61,26,21,27
100505929,41,49,63,110,75,54,35,10
100505933,128,117,152,134,195,96,82,104
100505938,9,12,15,26,25,6,9,17
100505942,18,24,23,27,46,29,30,25
100505964,2,0,2,0,0,0,0,2
100505967,40,82,73,348,54,101,149,17
100505975,1,1,0,3,12,4,9,6
100505978,49,43,60,41,79,56,44,48
100505984,1,2,1,0,2,4,1,2
100505989,3,0,3,0,1,0,0,0
100505993,2,2,0,1,1,0,0,2
100505994,5,3,5,30,10,12,1,3
100505996,166,260,389,346,466,197,188,202
100506007,86,120,192,184,205,144,109,113
100506012,81,90,148,138,214,79,58,87
100506013,1,3,0,1,3,0,0,1
100506022,65,69,79,160,102,56,48,38
100506023,294,289,378,549,585,320,287,368
100506025,64,68,40,140,70,46,58,68
100506033,6,3,5,7,7,2,1,8
100506035,4,0,0,10,0,0,0,3
100506046,48,40,69,108,89,44,69,64
100506047,5,7,15,14,22,26,19,2
100506049,3,3,2,0,0,0,0,1
100506050,0,0,0,0,0,0,0,0
100506054,113,148,309,347,160,180,80,164
100506060,177,180,311,265,518,206,157,199
100506068,26,16,36,25,42,24,29,19
100506070,73,56,57,42,128,58,40,68
100506071,18,15,10,44,25,15,14,24
100506076,140,95,183,164,251,107,64,104
100506082,5,3,4,1,10,3,1,4
100506083,60,72,79,136,86,95,77,49
100506084,2,5,3,7,2,6,0,6
100506085,13,7,1,17,8,8,5,10
100506100,40,50,33,31,47,34,22,35
100506108,4,0,14,2,4,4,0,0
100506115,0,1,1,0,0,4,0,0
100506119,16,27,31,28,40,23,14,22
100506122,0,0,0,0,0,1,0,0
100506123,171,103,213,115,295,101,92,103
100506124,328,377,314,665,457,351,335,412
100506125,3,7,11,4,3,0,3,8
100506126,1,2,2,5,2,2,1,0
100506127,436,390,658,526,815,351,293,403
100506134,81,92,66,141,50,88,104,77
100506136,57,60,70,111,91,65,34,58
100506142,86,80,69,95,139,112,56,78
100506144,52,106,96,212,184,117,65,111
100506159,24,52,35,43,26,16,21,26
100506161,18,36,49,54,80,64,18,32
100506164,17,20,15,21,34,5,6,8
100506172,3,0,4,2,6,6,8,8
100506175,0,4,4,0,4,0,0,0
100506178,33,39,83,117,73,57,37,43
100506188,4,0,2,3,6,0,5,2
100506190,121,120,187,244,256,167,152,148
100506195,278,86,125,116,239,88,129,210
100506207,132,118,155,198,238,130,124,118
100506211,6,6,0,4,5,0,0,2
100506215,398,579,466,1162,884,553,448,487
100506217,66,54,230,128,98,124,36,177
100506229,0,7,1,14,0,10,7,0
100506233,290,400,385,658,634,451,290,436
100506237,0,0,0,0,0,0,0,0
100506241,0,0,0,2,0,0,2,2
100506243,21,64,95,88,126,71,58,52
100506248,41,34,58,107,118,52,44,77
100506258,226,203,287,235,412,269,186,144
100506271,48,9,13,24,61,9,18,17
100506272,0,0,0,0,0,0,0,0
100506274,16,27,12,28,65,24,11,25
100506275,10,6,10,11,22,19,4,13
100506281,12,8,9,17,4,0,2,11
100506286,42,86,130,69,133,50,53,69
100506289,9,6,0,5,5,4,0,6
100506299,78,113,149,98,171,74,49,44
100506302,131,176,177,272,308,209,139,163
100506305,4,33,13,45,40,16,13,13
100506311,0,0,4,4,0,2,2,4
100506314,45,59,75,180,82,39,22,45
100506321,29,32,49,50,58,47,41,27
100506325,133,183,180,221,287,148,109,152
100506328,1,0,10,1,2,2,0,0
100506334,14,28,29,19,50,15,20,10
100506343,28,51,24,59,45,23,22,58
100506365,1766,3605,4806,7477,6195,2767,2554,2775
100506368,27,39,38,53,66,52,24,28
100506371,0,0,0,2,0,0,0,0
100506374,209,132,147,168,219,146,108,152
100506380,56,65,49,113,160,85,50,56
100506384,136,119,129,153,273,142,104,107
100506385,0,1,8,8,2,0,0,0
100506388,0,0,0,0,0,0,2,0
100506392,103,71,134,123,210,116,73,87
100506393,26,30,42,37,57,39,15,42
100506394,60,101,99,122,88,74,69,75
100506403,6,0,1,2,2,0,0,0
100506405,9,11,14,11,25,8,6,10
100506406,0,0,0,0,0,0,0,0
100506409,28,57,60,82,159,61,42,41
100506412,0,0,3,0,2,2,2,2
100506413,631,650,489,1203,786,851,611,802
100506421,361,416,377,644,640,329,259,445
100506422,38,16,14,30,42,42,21,21
100506428,59,80,61,140,137,44,60,55
100506433,6,26,4,2,26,6,5,3
100506436,26,23,47,42,89,28,24,30
100506443,35,42,40,53,96,70,67,64
100506444,0,2,2,4,2,2,2,1
100506451,225,234,367,422,529,255,202,190
100506457,47,30,43,31,73,26,35,23
100506462,24,26,21,53,59,50,23,46
100506465,77,93,159,138,322,46,76,104
100506469,49,33,51,70,92,58,61,44
100506470,0,0,0,0,0,0,0,0
100506472,72,56,108,90,165,61,57,70
100506473,98,144,193,318,289,153,133,120
100506474,87,87,95,98,136,46,20,48
100506475,0,0,0,0,4,0,0,0
100506476,35,24,22,18,42,49,32,18
100506489,0,0,0,0,0,0,0,0
100506492,97,54,46,63,67,49,26,72
100506495,217,322,334,552,545,325,267,247
100506497,169,111,97,168,241,115,129,183
100506499,2,9,18,9,14,9,1,5
100506504,71,29,56,20,103,44,10,19
100506514,185,194,316,387,391,232,167,192
100506516,80,98,112,114,209,103,82,90
100506526,19,25,21,46,47,45,20,14
100506527,134,42,743,76,478,33,33,72
100506530,0,0,2,3,5,0,2,0
100506540,11,10,18,29,37,20,13,12
100506542,0,0,0,0,1,0,0,0
100506548,3135,4961,5090,7368,7711,3649,2786,3341
100506551,99,84,85,158,152,145,67,128
100506555,46,55,55,70,66,55,21,46
100506564,5,8,14,19,10,9,10,17
100506571,65,47,79,62,120,40,55,44
100506581,17,10,12,18,28,19,5,12
100506585,190,87,164,63,280,67,67,123
100506599,148,144,296,102,322,80,77,85
100506603,111,121,134,141,235,120,92,104
100506606,192,177,199,299,288,205,247,197
100506621,194,209,132,399,225,269,166,177
100506622,2,7,9,16,11,8,0,5
100506627,64,78,106,131,144,86,167,220
100506637,114,92,129,184,192,102,60,83
100506639,163,192,280,278,360,184,106,175
100506649,48,50,44,89,78,34,31,44
100506650,0,0,0,0,0,0,0,0
100506655,107,89,110,106,157,136,68,109
100506658,6,13,5,28,17,18,18,11
100506660,18,22,20,29,23,9,13,22
100506668,422,476,518,533,685,318,297,395
100506674,422,639,695,1246,840,407,392,541
100506675,1,4,0,4,2,3,2,0
100506677,135,49,51,42,75,67,54,71
100506679,81,76,88,141,158,33,48,87
100506680,73,37,87,67,55,53,38,63
100506681,27,16,12,16,36,34,10,20
100506682,11,4,8,13,6,2,8,9
100506686,216,270,298,446,501,274,212,225
100506688,2,0,0,0,0,0,0,0
100506696,10,6,15,11,15,8,9,1
100506697,28,38,42,65,110,34,32,40
100506700,0,0,0,0,2,4,0,2
100506710,2039,3854,3895,5458,4942,2704,2179,3005
100506713,66,65,82,157,187,67,54,84
100506714,220,396,410,689,484,232,177,312
100506724,416,328,208,488,354,257,275,443
100506725,573,640,611,1759,938,709,629,369
100506730,364,363,481,522,655,368,399,458
100506733,9,6,4,6,6,10,2,0
100506736,40,42,22,29,73,39,6,33
100506742,16,15,19,7,16,11,5,6
100506746,122,161,165,301,267,123,122,117
100506747,0,5,6,5,6,0,1,6
100506753,47,67,85,91,117,109,42,69
100506755,34,64,108,80,172,83,61,37
100506757,2,3,0,0,27,4,6,2
100506759,0,2,0,6,4,0,0,0
100506765,116,103,99,283,172,184,146,180
100506769,0,0,0,2,1,0,0,0
100506775,7,10,13,13,18,4,8,8
100506776,18,14,5,33,19,20,23,24
100506779,61,100,139,133,193,61,99,114
100506783,0,0,0,0,0,0,0,0
100506787,0,0,3,0,2,0,0,0
100506790,1,0,0,0,0,0,0,0
100506791,2,14,18,2,27,0,2,2
100506795,116,102,121,213,278,192,143,132
100506801,19,18,18,8,17,28,9,9
100506804,45,71,53,100,101,68,54,65
100506810,0,7,6,11,16,8,2,7
100506826,52,45,57,36,108,30,48,26
100506827,19,27,29,37,64,45,32,27
100506834,54,52,59,98,121,51,36,60
100506835,11,21,15,16,33,27,14,9
100506840,28,9,11,5,22,3,3,2
100506844,121,410,501,651,625,267,208,289
100506858,0,1,0,0,0,0,0,0
100506860,311,196,238,256,335,269,198,349
100506866,173,180,178,310,360,190,150,190
100506869,0,0,0,0,3,0,0,0
100506874,10,12,33,36,27,10,20,8
100506881,129,171,139,215,279,130,113,152
100506888,0,1,0,0,3,0,0,1
100506895,139,96,125,115,259,96,69,84
100506898,32,42,43,79,87,45,37,55
100506907,2,0,0,0,1,1,0,2
100506915,83,51,81,126,71,46,50,89
100506922,74,68,73,108,118,72,66,64
100506930,128,127,198,140,315,122,91,136
100506937,1,8,1,11,6,4,2,0
100506939,2,2,9,7,8,2,8,2
100506944,12,16,4,28,35,11,19,24
100506963,24,12,25,28,26,15,7,19
100506985,34,51,91,162,74,57,45,30
100506990,761,516,1022,614,1436,464,372,611
100506994,131,194,187,346,292,167,139,208
100507002,21,75,54,102,63,50,31,36
100507003,1,0,4,6,6,1,2,2
100507006,17,68,66,71,92,63,53,18
100507008,602,798,621,2116,1482,914,857,569
100507012,4,4,7,3,21,2,6,4
100507027,12,6,0,1,20,5,5,0
100507032,242,327,387,396,619,228,237,280
100507034,141,189,188,289,237,242,202,184
100507043,1187,2196,3412,2652,955,945,816,1723
100507050,23,23,29,12,34,11,7,20
100507053,45,61,43,115,236,62,46,53
100507055,0,2,3,0,15,0,1,3
100507056,9,4,4,6,10,4,7,4
100507057,50,65,146,97,240,76,56,63
100507058,3,10,12,20,14,18,2,7
100507059,0,7,3,4,2,2,4,2
100507062,294,301,247,424,430,300,207,293
100507064,6,10,2,8,8,6,0,2
100507065,3,5,2,2,4,3,4,8
100507066,87,49,59,49,89,46,51,47
100507073,0,0,0,2,5,1,1,0
100507086,0,0,1,1,0,0,2,2
100507091,37,18,42,18,42,26,16,22
100507096,0,0,0,0,0,1,0,0
100507098,118,282,230,275,325,172,78,212
100507099,121,59,94,94,71,74,67,106
100507117,150,75,76,81,119,91,68,111
100507118,9,15,25,13,11,13,4,18
100507127,119,127,61,259,157,180,88,77
100507131,366,326,378,313,582,396,242,291
100507135,78,59,48,130,89,94,68,60
100507140,183,116,52,451,218,326,165,125
100507143,0,0,0,0,0,0,0,0
100507144,1,4,9,2,2,6,0,4
100507156,28,29,51,21,76,22,38,14
100507163,0,0,0,0,0,0,0,0
100507170,0,0,0,0,0,0,0,0
100507171,416,531,762,917,865,397,305,528
100507173,29,29,29,31,40,19,19,41
100507175,5,0,0,1,11,4,5,4
100507178,55,28,51,56,87,45,34,57
100507194,13,28,53,43,69,36,25,23
100507195,0,0,0,1,0,0,0,0
100507201,0,0,0,0,0,0,0,0
100507203,114,92,109,79,67,89,85,78
100507205,0,0,0,7,6,5,3,5
100507206,29,77,97,143,190,47,25,25
100507217,1830,2370,2161,4946,3814,2355,1596,1823
100507218,104,62,106,138,174,93,58,79
100507221,1,0,0,0,0,0,0,0
100507236,0,0,0,0,1,0,0,0
100507240,18,22,32,42,58,12,25,25
100507244,8,4,1,9,1,3,1,0
100507246,440,541,1045,1180,1079,478,432,531
100507250,5,12,6,32,18,9,7,2
100507254,39,47,56,42,50,29,30,55
100507257,105,96,193,124,290,106,82,166
100507266,267,357,409,587,781,305,244,275
100507267,0,0,0,0,0,0,0,0
100507274,0,0,2,0,0,1,0,0
100507283,87,90,81,138,180,59,66,72
100507290,163,112,156,147,317,129,66,132
100507291,192,187,223,241,440,227,159,195
100507297,95,104,114,119,214,126,67,69
100507299,23,31,28,50,68,32,27,27
100507300,50,43,47,107,83,52,47,53
100507303,30,51,69,72,175,53,24,11
100507308,38,37,31,40,56,69,42,34
100507316,19,33,63,47,120,68,16,26
100507321,1703,1498,1698,1751,2813,1465,1334,1502
100507331,56,50,91,80,123,62,62,67
100507334,0,6,4,5,2,0,5,3
100507341,48,149,192,301,200,125,112,150
100507346,55,38,64,34,73,19,42,36
100507347,13,9,14,10,22,6,13,24
100507351,256,245,443,216,564,251,176,420
100507362,0,0,0,0,0,0,0,0
100507373,186,111,134,128,243,94,97,121
100507377,36,41,15,78,52,70,31,23
100507381,127,184,96,204,133,88,80,191
100507384,1,0,0,0,0,0,0,0
100507387,682,422,749,315,980,256,269,490
100507388,55,49,55,83,89,74,68,113
100507389,5,0,0,0,0,0,2,0
100507391,0,0,2,0,0,0,0,0
100507392,8,17,42,13,18,11,4,7
100507398,52,60,96,137,100,85,49,58
100507399,0,17,1,3,4,4,2,0
100507401,36,54,41,36,119,55,31,34
100507404,14,9,19,27,24,24,18,15
100507406,0,0,0,0,0,0,0,0
100507410,0,1,0,0,1,2,0,0
100507412,0,0,0,0,0,0,0,0
100507419,18,31,52,34,109,25,13,15
100507420,14,65,61,74,61,49,25,41
100507421,4511,6588,8727,8772,7530,3915,4533,7203
100507423,104,87,88,118,189,69,88,86
100507424,44,21,44,19,54,23,6,22
100507428,0,0,0,0,0,0,0,0
100507431,7,12,9,12,13,3,9,8
100507433,310,286,498,489,719,345,218,287
100507435,0,0,0,0,0,0,0,0
100507436,4,4,2,4,0,0,2,0
100507437,84,68,86,62,152,63,51,47
100507443,0,2,2,0,2,0,0,0
100507458,170,174,185,202,300,162,130,188
100507459,157,212,379,266,467,190,164,133
100507462,30,43,44,54,45,34,34,53
100507463,0,0,0,0,0,0,0,0
100507466,48,65,96,130,150,60,53,65
100507468,8,9,8,0,10,6,3,2
100507470,79,61,68,81,85,79,55,67
100507472,21,29,15,35,42,57,13,45
100507475,5,4,6,13,13,9,3,4
100507477,0,1,5,6,0,3,3,6
100507487,75,91,83,174,158,110,79,83
100507489,121,87,95,126,127,103,66,94
