Geneid,featureCounts on data 323: Counts_HISAT2 on data 31 and data 30: aligned reads (BAM),featureCounts on data 327: Counts_HISAT2 on data 35 and data 34: aligned reads (BAM),featureCounts on data 329: Counts_HISAT2 on data 37 and data 36: aligned reads (BAM),featureCounts on data 337: Counts_HISAT2 on data 45 and data 44: aligned reads (BAM),featureCounts on data 341: Counts_HISAT2 on data 49 and data 48: aligned reads (BAM),featureCounts on data 345: Counts_HISAT2 on data 53 and data 52: aligned reads (BAM),featureCounts on data 351: Counts_HISAT2 on data 59 and data 58: aligned reads (BAM),featureCounts on data 353: Counts_HISAT2 on data 61 and data 60: aligned reads (BAM),featureCounts on data 365: Counts_HISAT2 on data 73 and data 72: aligned reads (BAM)
100033451,83,143,96,44,126,71,68,41,213
100033453,21,28,18,9,27,18,10,11,36
100033454,12,18,7,4,8,4,4,8,37
100033455,18,12,11,9,19,11,10,4,16
100033456,3,6,2,2,2,0,3,2,2
100033458,10,2,6,2,7,9,10,7,5
100033460,124,278,71,52,55,51,41,49,69
100033603,100,65,54,42,83,36,35,40,60
100033799,65,54,46,44,51,27,55,48,67
100033800,0,0,0,0,0,0,0,0,0
100033801,68,41,46,32,49,42,42,21,49
100033802,78,36,32,32,59,30,30,23,49
100033803,21,20,18,10,15,11,11,12,39
100033804,56,246,102,39,55,70,51,53,202
100033805,35,40,33,11,64,21,20,19,34
100033806,1109,2731,1139,449,1383,636,860,662,3658
100033807,286,531,345,144,407,213,188,138,707
100033808,15,42,14,2,34,11,7,5,29
100033809,115,126,98,72,110,73,112,65,131
100033810,24,9,5,13,17,6,3,12,8
100033811,38,48,30,15,43,11,19,17,30
100033812,108,234,136,76,125,85,87,59,284
100033813,46,43,41,15,59,17,29,9,88
100033814,91,117,63,26,86,73,66,28,152
100033815,65,61,57,34,66,43,50,37,103
100033816,68,99,88,15,96,55,64,33,182
100033817,42,65,33,25,47,33,17,19,67
100033818,58,188,93,43,100,79,60,65,202
100033819,0,0,0,0,0,0,0,0,0
100033820,47,42,28,29,55,46,20,39,39
100033821,249,512,290,134,430,201,224,122,544
100033822,9,12,7,5,13,7,9,12,39
100034743,89,63,42,37,161,78,59,57,71
100036563,13,9,10,12,5,8,5,14,19
100036564,44,18,21,21,51,20,24,13,26
100036565,23,17,14,5,11,7,6,23,17
100036566,138,152,71,82,184,119,116,127,117
100036567,9,7,0,1,22,2,2,1,6
100037417,0,0,0,0,4,0,0,0,0
100038246,0,0,0,0,0,0,0,0,0
10004,2,24,7,10,6,9,8,7,15
100048912,49,66,48,53,148,90,83,27,99
100049076,127,10,61,62,112,89,49,19,7
100049587,7,29,9,10,28,10,6,4,13
100049613,0,2,1,0,0,1,1,1,2
100049614,0,2,0,0,3,0,0,0,0
100049716,110,242,98,144,228,113,164,81,103
10005,319,726,538,431,827,398,507,214,615
10006,3145,5611,2887,3744,8966,4175,4592,2784,5865
10007,601,1449,750,803,1857,918,1032,622,1532
100073347,77,258,68,164,274,163,108,79,156
10008,52,136,84,84,255,87,73,43,87
10009,1624,3038,1293,1790,4519,2136,2322,1510,3215
100093630,180,371,352,344,513,320,289,134,422
100093631,1239,891,602,948,1351,927,833,1086,633
100093698,2,15,15,4,6,19,6,7,20
1001,194,245,165,166,363,140,170,100,130
10010,707,1590,723,960,2196,1049,1150,655,1438
100101115,0,0,0,0,0,0,0,0,0
100101116,0,0,0,0,0,0,0,0,2
100101117,0,0,2,0,1,0,0,0,0
100101118,0,0,0,0,0,0,0,0,0
100101120,0,0,0,0,0,1,0,0,0
100101121,0,0,0,0,0,0,0,0,0
100101148,6,1,6,7,3,4,4,3,0
100101266,92,101,81,81,193,72,83,64,121
100101267,1391,1174,948,906,1400,882,687,616,641
100101440,4,13,14,2,24,13,10,4,34
100101467,1144,1194,737,926,1878,1003,856,601,1047
100101478,12,8,15,21,15,9,14,1,11
100101490,139,135,107,107,142,112,123,85,117
100101938,445,722,273,273,1022,381,482,144,153
10011,499,783,440,457,1137,547,536,269,643
100113378,20,44,32,14,48,8,14,8,53
100113379,6,5,4,3,5,2,5,4,3
100113380,0,0,0,0,0,0,0,0,0
100113381,6,3,3,2,5,2,7,3,8
100113382,36,89,46,20,50,42,52,25,85
100113384,0,1,0,0,0,2,2,0,0
100113386,65,64,43,44,32,41,47,31,19
100113389,1,8,3,1,1,1,5,3,3
100113391,0,2,0,0,4,0,0,0,1
100113392,6,22,4,10,29,7,15,16,10
100113393,3,13,4,3,12,0,7,6,12
100113402,0,2,4,4,9,0,3,0,2
100113403,12,19,19,22,36,26,17,6,17
100113404,0,0,0,0,0,0,0,0,0
100113407,6348,11290,5187,7458,16297,8456,8325,5863,9812
100124412,0,2,0,0,0,0,0,0,0
100124516,6,20,12,4,23,9,10,9,21
100124533,22,17,22,19,24,9,6,11,32
100124534,0,0,0,0,0,1,0,0,0
100124535,2,10,5,0,12,3,0,2,0
100124536,99,241,159,88,221,83,96,57,216
100124537,6,1,3,3,2,6,1,0,2
100124538,3,4,3,3,4,1,1,0,0
100124539,12,22,4,8,16,3,4,4,5
100124540,0,5,2,0,12,2,0,0,4
100124541,6,7,15,3,20,6,11,6,15
100124700,0,0,0,0,0,0,0,0,0
100125288,88,76,69,78,107,58,51,39,48
100125556,22,38,63,33,23,27,35,14,17
100126270,22,31,22,30,39,19,33,14,20
100126296,0,0,0,0,0,0,0,0,0
100126297,6,1,3,2,5,4,3,1,2
100126299,0,10,2,2,20,6,2,6,14
100126301,0,0,0,0,0,0,0,0,0
100126302,0,0,0,0,0,0,0,2,0
100126303,0,0,0,1,0,0,0,0,0
100126304,0,0,0,0,0,0,0,0,0
100126306,0,0,0,0,0,0,0,0,0
100126307,0,0,0,0,0,0,0,0,1
100126308,2,1,0,0,0,1,1,2,3
100126309,0,0,0,0,0,0,0,0,0
100126310,10,6,2,2,12,3,15,8,16
100126311,0,0,0,0,0,0,0,0,0
100126313,5,7,6,2,15,5,10,4,4
100126314,0,0,0,0,0,0,0,0,0
100126315,1,0,1,0,0,0,0,2,0
100126316,7,2,2,1,5,0,4,2,2
100126317,0,0,2,0,6,0,0,0,0
100126318,0,0,0,0,0,0,0,0,0
100126319,0,0,0,0,0,0,0,0,0
100126320,19,17,6,11,28,23,12,12,16
100126321,0,0,0,0,0,0,0,0,0
100126323,0,0,0,0,0,0,0,0,0
100126324,0,0,0,0,0,0,0,0,0
100126325,0,0,0,0,0,0,0,0,0
100126326,0,0,0,0,0,0,0,0,0
100126327,1,1,0,3,0,1,0,0,0
100126328,4,3,2,2,0,0,0,3,0
100126329,0,1,0,0,0,1,0,0,0
100126330,0,0,0,0,0,0,0,0,0
100126331,0,0,0,2,0,1,3,0,0
100126332,0,0,0,1,0,0,0,0,0
100126333,2,1,1,2,7,2,2,1,0
100126334,0,1,0,0,0,0,0,0,0
100126335,0,0,0,0,0,0,0,1,0
100126336,0,0,0,0,0,0,0,0,0
100126337,0,0,0,0,0,0,0,0,0
100126338,0,0,0,0,0,0,0,0,0
100126339,0,0,0,0,0,0,0,0,0
100126340,0,0,0,0,0,0,0,0,0
100126341,0,0,0,0,5,0,0,0,0
100126342,0,0,0,0,0,0,0,0,0
100126343,1,2,0,8,9,6,1,4,2
100126345,2,0,1,0,7,1,1,2,0
100126346,0,0,0,0,0,0,0,0,0
100126347,0,0,0,0,7,0,1,3,0
100126348,1,2,10,4,3,14,7,0,0
100126349,18,5,8,5,4,10,7,8,11
100126350,1,3,0,3,0,0,3,2,0
100126351,0,0,0,0,0,0,0,0,0
100126352,0,0,0,0,0,0,0,0,0
100126354,0,0,0,0,0,0,0,0,0
100126355,0,1,0,0,0,0,2,1,0
100126356,0,1,0,0,0,0,0,0,0
100126447,0,0,0,0,0,0,0,0,0
100126476,0,0,0,0,0,0,0,0,0
100126481,0,0,0,0,0,0,0,0,0
100126484,0,0,0,0,1,0,0,0,1
100126488,8,20,7,5,50,5,2,6,29
100126510,0,0,0,0,0,0,0,0,0
100126512,11,19,12,14,100,9,12,16,32
100126514,0,2,0,0,0,0,0,0,0
100126517,2,1,0,1,5,1,1,2,2
100126520,2,0,1,2,3,1,3,2,1
100126533,0,10,3,3,19,3,4,10,7
100126693,0,0,0,0,0,0,0,0,0
100126780,0,0,0,0,0,0,0,0,0
100126781,0,0,0,0,0,0,0,0,0
100126784,512,462,459,427,737,395,351,291,383
100126791,107,120,50,72,128,102,67,70,75
100126793,193,225,103,164,236,137,112,73,80
100126798,0,0,0,0,0,0,0,0,0
100126799,0,0,0,0,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0,0
100127206,10,9,6,1,19,4,2,8,8
100127888,17,11,1,6,15,4,12,9,0
100127889,88,70,40,59,183,72,100,46,88
100127967,0,0,0,1,1,0,0,0,0
100127983,30,47,19,26,80,49,28,7,73
100128006,3,10,9,8,4,10,4,6,5
100128023,4,2,0,2,0,0,4,0,0
100128025,6,0,4,0,8,2,2,3,5
100128054,80,40,19,22,76,32,29,12,36
100128055,4,7,5,8,2,7,8,12,16
100128071,6,12,8,3,4,7,5,6,11
100128076,4,4,2,5,5,4,13,7,11
100128081,72,161,109,74,67,117,31,88,138
100128098,13,3,8,2,7,10,2,4,0
100128108,13,17,13,6,39,16,8,2,3
100128124,6,5,3,0,7,0,4,2,10
100128126,43,41,33,31,59,12,31,19,50
100128127,61,41,42,40,65,30,45,22,38
100128139,0,0,0,0,3,4,0,0,1
100128164,25,64,22,25,58,32,104,22,52
100128176,45,47,23,27,79,26,13,20,19
100128191,30,30,10,25,31,12,24,15,14
100128233,8,9,1,1,11,3,3,5,4
100128239,78,105,142,143,152,123,156,62,214
100128252,616,1060,803,999,1669,904,871,526,1070
100128264,300,1132,495,728,1285,644,713,443,1046
100128285,51,27,14,25,13,18,13,14,18
100128288,233,242,104,219,447,188,226,175,193
100128292,0,0,0,0,0,0,0,0,0
100128317,2,6,4,0,13,2,0,4,1
100128327,9,8,0,2,7,3,5,6,4
100128338,1,0,1,0,0,2,1,0,2
100128361,84,80,84,29,33,70,87,40,45
100128378,2,0,4,0,8,0,1,0,4
100128385,22,10,8,11,50,16,19,6,8
100128398,359,291,292,241,464,249,277,216,242
100128420,0,0,2,2,14,1,0,4,6
100128494,194,143,118,116,309,134,116,93,96
100128496,0,2,0,0,0,0,0,1,2
100128505,159,95,39,82,225,76,92,59,63
100128511,12,28,7,11,41,14,10,7,11
100128531,125,74,99,100,161,93,57,55,68
100128553,2,5,0,0,1,3,2,1,6
100128554,167,95,150,214,243,89,160,158,138
100128560,9,10,6,11,8,7,1,6,8
100128568,21,15,19,5,50,18,7,15,22
100128569,46,42,32,32,61,30,34,16,19
100128573,12,11,4,8,4,1,3,3,3
100128590,294,367,172,260,701,332,358,261,434
100128593,7,0,11,0,10,0,0,0,0
100128627,90,66,49,42,100,30,39,42,42
100128640,54,80,48,48,92,50,50,42,66
100128653,45,40,24,42,37,14,38,20,20
100128675,87,9,11,28,82,86,28,18,57
100128682,5,0,0,3,0,0,0,0,1
100128714,18,20,8,10,2,11,11,9,9
100128731,205,387,286,319,723,314,266,223,357
100128750,4,2,0,1,2,0,4,4,4
100128770,7,1,6,8,5,4,1,2,0
100128782,763,599,544,409,1215,644,658,464,591
100128787,0,0,0,0,0,0,0,0,0
100128788,2,3,9,10,14,7,14,2,12
100128811,7,14,15,5,32,15,17,7,36
100128822,86,206,89,70,275,112,174,73,98
100128881,42,30,26,26,30,29,26,15,23
100128885,37,28,14,29,36,22,31,11,23
100128890,178,123,139,144,357,176,81,125,98
100128893,0,0,0,0,0,0,0,0,0
100128905,0,0,0,0,4,2,0,0,0
100128927,23,18,12,16,9,13,10,11,14
100128946,99,78,94,43,126,33,66,36,26
100128977,0,0,2,1,0,2,0,0,0
100128993,1,3,1,2,6,0,4,0,1
100128998,0,0,0,0,0,0,0,0,0
100129027,22,12,15,8,13,10,3,12,4
100129034,1877,1633,913,1541,2651,1448,1236,786,1172
100129046,69,43,16,33,68,37,30,18,41
100129055,36,63,51,14,96,33,41,23,44
100129066,2,2,0,0,4,0,0,0,0
100129075,30,27,19,12,53,17,31,13,34
100129083,0,0,0,0,0,0,0,0,0
100129094,7,3,0,0,0,0,2,0,2
100129098,0,1,0,2,22,0,0,0,0
100129128,7,2,9,8,28,5,2,2,7
100129138,2,17,37,3,16,20,3,5,16
100129148,10,25,6,19,52,17,11,11,24
100129175,0,0,0,0,0,0,0,0,0
100129195,93,158,101,136,275,119,122,66,151
100129196,5,13,3,7,18,17,10,7,11
100129203,67,125,61,62,126,93,100,78,108
100129213,25,15,1,14,80,15,18,8,13
100129215,91,65,35,29,12,37,22,24,23
100129216,19,16,15,8,37,18,17,13,14
100129223,579,677,485,368,863,525,518,410,505
100129239,0,0,0,0,0,0,0,0,0
100129250,65,183,81,77,197,73,95,52,123
100129269,9,4,2,6,8,4,6,3,0
100129271,0,0,0,0,0,0,0,0,0
100129278,2,2,0,2,0,4,4,0,5
100129307,1,2,0,0,0,0,0,0,1
100129316,23,38,13,33,40,13,10,3,24
100129345,2,1,0,0,0,0,2,0,0
100129354,3,3,8,4,7,6,6,6,10
100129361,0,2,0,0,0,0,0,0,0
100129385,10,1,2,4,0,5,2,1,8
100129387,1017,732,569,613,946,843,952,347,769
100129396,79,86,24,32,56,62,57,6,36
100129405,96,62,49,49,115,55,75,34,39
100129407,0,3,3,1,0,0,0,2,2
100129424,77,47,50,43,84,43,35,29,27
100129427,0,0,0,0,0,0,0,1,0
100129434,102,173,119,97,209,130,128,104,150
100129460,525,833,529,541,1523,768,738,405,695
100129461,110,103,76,94,121,79,67,84,56
100129464,15,26,16,8,48,29,10,18,22
100129480,189,181,152,137,314,152,236,154,177
100129482,5437,7309,4612,4413,9626,4915,5048,3591,5704
100129503,19,13,10,14,7,9,20,5,14
100129515,0,0,0,0,10,0,2,1,0
100129518,30,52,42,48,109,50,47,50,72
100129520,6,6,4,0,2,2,0,1,4
100129528,3,0,0,0,10,0,0,1,0
100129534,106,100,49,80,158,101,79,39,94
100129543,77,115,32,123,257,67,101,25,53
100129550,599,863,423,453,1160,568,690,460,635
100129583,132,316,152,239,387,210,221,148,411
100129597,0,2,0,2,0,0,0,0,0
100129603,1,1,1,0,0,5,0,2,0
100129617,134,60,93,89,102,66,53,84,52
100129620,47,73,51,46,112,43,66,65,71
100129636,0,0,0,0,0,0,0,0,0
100129654,9,6,10,6,7,6,4,8,2
100129662,23,24,10,16,32,18,13,20,27
100129669,2,0,1,0,7,0,8,4,7
100129697,7,4,1,2,12,4,2,0,2
100129716,34,51,32,29,69,29,31,19,33
100129722,0,0,0,0,2,0,0,0,0
100129726,11,7,4,10,30,2,6,8,2
100129792,192,268,168,252,527,274,355,135,358
100129794,17,48,15,23,50,44,32,33,54
100129827,67,76,28,59,168,76,60,37,68
100129842,2259,4203,2698,2566,5291,2704,3072,2062,3638
100129845,8,3,0,7,2,5,8,1,0
100129858,26,54,30,48,83,54,39,39,46
100129860,4,3,0,0,2,0,0,0,0
100129917,333,210,185,194,298,214,153,97,130
100129924,8,1,9,7,1,4,5,1,1
100129931,21,17,48,13,18,11,25,31,14
100129935,0,3,0,2,0,0,0,1,0
100129940,9,29,14,8,46,30,22,5,19
100129961,204,205,189,211,626,233,290,155,279
100129973,31,118,73,87,174,74,69,47,123
10013,1729,1947,1579,1510,3290,1753,1536,978,1309
100130015,90,43,48,54,100,38,47,36,30
100130017,1,0,1,3,0,0,0,0,0
100130075,16,6,15,4,2,10,6,7,6
100130086,33,20,21,8,33,25,14,11,34
100130093,113,77,73,83,108,66,93,70,69
100130097,354,293,217,213,390,221,230,175,254
100130100,182,117,70,82,130,79,99,53,120
100130148,12,4,13,12,10,2,2,0,0
100130155,4653,6032,2941,3362,8894,3726,4909,3822,6491
100130197,2,14,6,9,45,6,9,7,5
100130231,5,14,17,6,17,17,8,9,8
100130238,338,173,124,151,181,96,55,81,57
100130264,47,41,25,16,61,31,16,18,15
100130274,0,0,0,0,0,0,0,0,0
100130275,0,0,0,0,0,0,0,0,0
100130298,9,13,2,7,15,7,10,10,7
100130301,6,3,7,3,20,3,18,10,2
100130302,2,13,4,0,1,0,6,4,0
100130311,225,161,144,110,229,114,128,69,124
100130331,35,114,166,39,89,32,33,68,44
100130342,15,0,2,8,12,5,4,7,3
100130345,17,27,22,69,123,28,64,49,15
100130348,12,7,9,21,16,17,13,2,4
100130357,383,280,143,204,330,191,182,160,151
100130361,0,0,0,0,0,0,0,0,0
100130370,297,152,93,100,245,135,122,48,146
100130386,26,2,14,16,10,15,6,6,11
100130417,5,9,5,3,4,2,5,12,6
100130418,193,209,113,108,122,124,103,87,106
100130449,78,59,66,77,90,59,44,37,24
100130451,16,23,13,6,25,10,16,8,14
100130452,0,0,0,2,0,0,0,0,2
100130460,0,2,0,2,4,2,0,0,0
100130476,3,3,4,3,11,3,1,2,3
100130480,0,0,0,9,6,2,1,0,2
100130519,94,114,81,94,175,54,66,41,92
100130520,1,4,0,2,0,0,0,4,2
100130522,114,74,84,75,149,63,68,74,47
100130539,12,14,21,24,11,26,6,24,30
100130557,195,249,98,140,383,191,216,150,237
100130581,49,63,38,24,53,51,32,19,57
100130587,105,52,48,33,50,37,26,16,19
100130613,2,0,0,0,0,0,0,0,0
100130673,20,26,15,14,21,11,4,13,24
100130691,458,446,278,321,874,363,372,271,436
100130700,0,0,0,0,0,0,0,0,0
100130705,213,230,185,187,332,110,144,102,159
100130717,4,5,11,5,15,5,4,3,3
100130733,97,145,60,82,175,84,90,77,100
100130742,37,38,26,49,89,35,44,30,40
100130744,181,99,116,109,140,90,91,85,90
100130771,29,36,34,31,82,41,32,32,67
100130776,12,9,13,22,6,7,7,10,12
100130827,0,0,0,0,0,0,0,0,0
100130849,0,0,0,0,0,0,0,0,0
100130855,59,117,75,63,140,70,86,66,95
100130872,201,120,110,142,149,95,49,49,95
100130880,10,1,3,3,21,4,3,4,10
100130887,170,56,69,121,197,11,66,46,79
100130889,2,0,0,0,0,0,0,0,0
100130890,407,516,278,347,757,358,361,241,329
100130894,238,140,49,108,250,129,128,67,104
100130899,24,10,9,12,24,9,16,9,9
100130933,66,39,53,34,33,40,42,22,47
100130934,108,60,49,69,121,84,55,36,59
100130935,0,0,0,0,0,0,0,0,2
100130950,197,201,136,135,213,140,117,136,128
100130954,0,0,0,0,0,0,0,0,0
100130958,6,14,2,22,9,11,21,8,12
100130964,0,0,0,0,0,0,0,0,0
100130967,41,30,19,10,66,24,26,12,10
100130987,51,42,65,39,64,20,34,22,39
100130988,5,0,4,6,7,3,5,5,4
100130992,210,417,252,231,532,360,349,191,427
100131017,852,797,711,656,1118,558,489,316,399
100131047,0,0,0,1,0,0,0,0,0
100131060,40,42,20,45,71,42,35,16,37
100131067,490,418,263,388,699,405,363,278,190
100131089,283,210,154,174,311,153,144,97,178
100131094,16,5,14,10,16,13,2,14,7
100131096,180,107,119,123,173,110,89,61,77
100131107,1,0,0,0,0,2,0,0,2
100131117,179,99,37,90,249,86,96,44,78
100131137,3,10,8,6,0,0,2,5,0
100131138,0,6,0,0,0,0,0,0,0
100131176,16,22,11,29,58,3,12,5,8
100131187,188,445,249,261,443,248,261,160,349
100131193,88,81,65,32,51,46,38,30,35
100131205,75,141,96,124,286,129,108,41,72
100131208,153,242,169,168,341,226,209,123,211
100131211,687,857,454,734,1517,900,794,595,1063
100131213,35,31,37,31,41,27,35,11,31
100131234,150,226,131,178,269,189,142,106,91
100131244,87,80,55,31,70,43,42,45,40
100131257,17,21,14,19,16,19,18,13,27
100131289,27,26,20,13,30,22,45,25,29
100131303,3,0,0,0,0,0,0,0,0
100131315,0,0,0,0,0,0,0,0,0
100131320,57,73,17,34,88,29,52,49,50
100131347,51,23,12,10,34,20,20,10,10
100131366,2,0,0,0,0,0,0,0,0
100131378,3,12,10,2,18,6,7,0,5
100131390,29,23,33,40,40,23,18,5,20
100131434,273,280,177,189,265,185,177,162,130
100131439,0,0,0,0,0,0,0,0,0
100131454,45,45,38,47,92,47,41,30,57
100131496,116,62,60,43,78,69,34,39,34
100131532,19,32,8,9,38,12,27,9,10
100131539,19,20,4,16,30,20,17,10,7
100131551,4,11,6,12,8,4,3,10,8
100131561,41,33,8,5,31,17,35,19,28
100131564,842,1000,628,617,1878,968,833,593,902
100131608,0,0,0,0,0,0,0,0,0
100131626,23,14,14,5,22,9,19,12,5
100131635,40,12,4,13,3,3,8,3,13
100131655,23,13,18,6,29,16,13,12,8
100131691,17,44,16,17,17,31,31,15,20
100131726,0,2,0,0,0,0,0,0,0
100131733,13,5,13,13,15,16,14,9,12
100131755,3008,3582,2643,2568,5021,2817,2431,2092,3034
100131801,375,743,413,534,920,468,544,255,859
100131814,42,32,19,12,67,21,31,14,23
100131816,0,0,0,0,0,0,0,0,0
100131825,121,112,54,62,124,84,48,61,72
100131827,1248,1382,1020,922,2035,1226,985,784,1151
100131897,377,588,375,512,1262,650,468,302,601
100131902,0,0,0,0,0,0,0,0,0
100131980,2,0,0,4,4,2,0,0,7
100131997,59,50,36,53,119,67,44,26,47
100131998,302,417,334,255,408,245,260,180,244
100132004,10,16,4,1,17,9,5,0,8
100132057,324,268,146,200,431,218,258,154,204
100132062,7,5,0,3,2,10,5,1,4
100132074,44,22,22,27,17,6,8,10,6
100132077,30,37,34,55,35,50,33,15,25
100132078,5,0,4,1,8,2,5,3,1
100132101,1,0,0,6,6,3,0,4,1
100132103,33,31,27,30,62,49,28,35,21
100132111,66,208,140,133,278,182,165,139,234
100132116,240,154,105,141,218,178,190,102,223
100132146,0,0,0,0,0,0,4,0,0
100132154,13,5,2,1,11,0,5,2,14
100132159,15,52,44,28,56,28,27,4,22
100132163,16,24,22,23,27,15,13,28,23
100132169,3,6,7,2,23,2,20,5,17
100132174,0,0,0,0,0,0,0,0,0
100132215,168,213,113,132,328,109,107,89,82
100132247,965,551,741,537,850,474,386,353,244
100132273,0,0,1,0,0,0,0,0,0
100132287,5,7,23,4,0,8,2,1,4
100132288,19,40,2,31,31,7,31,10,8
100132304,0,2,3,1,2,0,0,0,0
100132341,450,562,460,395,818,524,397,293,367
100132352,766,1105,686,984,1639,965,901,511,1110
100132354,7,12,5,2,8,3,15,8,4
100132356,154,158,133,138,287,164,141,66,86
100132386,0,0,0,0,0,0,0,0,0
100132396,0,0,0,0,0,0,0,0,0
100132399,0,0,0,0,0,0,0,0,0
100132403,4,31,36,2,2,13,9,0,5
100132406,319,176,151,200,468,304,191,75,202
100132417,0,6,6,0,26,19,14,1,0
100132463,8,7,0,4,11,4,8,4,2
100132464,0,0,0,0,0,0,0,0,0
100132476,0,0,0,0,0,0,0,0,0
100132526,111,52,85,82,115,70,81,41,53
100132529,2,8,5,6,0,2,3,1,2
100132541,470,448,429,416,774,384,350,331,445
100132565,0,0,0,0,0,0,0,0,0
100132594,56,15,22,38,39,22,40,16,37
100132596,0,0,0,0,0,0,0,0,0
100132618,74,121,35,68,211,87,99,87,82
100132677,43,52,38,56,99,36,49,29,35
100132707,140,191,56,108,277,123,143,83,144
100132708,0,0,0,0,0,0,0,1,0
100132724,134,144,117,97,234,157,118,82,110
100132735,0,0,0,0,0,0,2,0,0
100132741,8,11,2,4,9,7,6,0,2
100132774,75,49,8,26,68,31,33,17,35
100132781,100,92,60,86,212,107,103,72,93
100132813,487,518,347,334,688,426,440,412,492
100132815,1198,1425,904,1021,1717,1103,995,661,1064
100132831,0,1,0,0,0,1,0,0,0
100132832,251,203,190,177,342,221,115,27,100
100132874,116,27,42,22,23,0,16,16,12
100132891,142,113,58,125,168,134,121,45,121
100132911,35,31,11,41,33,30,22,11,13
100132916,3,2,0,4,2,2,0,3,1
100132923,270,206,152,196,325,175,89,61,146
100132929,0,1,0,0,0,0,1,0,0
100132948,28,13,20,8,22,13,17,6,13
100132963,0,3,0,1,4,0,1,1,2
100132967,5,0,0,0,1,0,0,1,1
100132979,0,2,1,0,2,0,0,0,1
100132987,129,110,98,91,120,105,80,67,77
100132994,0,0,0,0,0,0,0,0,0
100133036,4,0,4,1,0,5,2,1,0
100133050,5,5,5,5,3,4,6,4,3
100133053,0,0,0,0,0,0,0,0,0
100133077,140,82,87,52,66,32,37,34,38
100133091,3,0,0,0,0,0,0,0,8
100133093,1,0,0,0,0,0,0,0,0
100133121,56,67,41,29,62,37,40,23,41
100133123,6,0,0,0,0,0,2,0,0
100133161,6,5,2,4,2,3,3,5,0
100133172,8,47,15,17,17,41,14,21,12
100133205,31,36,19,15,39,26,41,20,29
100133220,1,0,0,0,1,4,0,6,2
100133234,244,151,186,157,210,102,139,133,104
