Geneid,featureCounts on data 314: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 322: Counts_HISAT2 on data 30 and data 29: aligned reads (BAM),featureCounts on data 324: Counts_HISAT2 on data 32 and data 31: aligned reads (BAM),featureCounts on data 332: Counts_HISAT2 on data 40 and data 39: aligned reads (BAM),featureCounts on data 336: Counts_HISAT2 on data 44 and data 43: aligned reads (BAM),featureCounts on data 340: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 346: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM),featureCounts on data 348: Counts_HISAT2 on data 56 and data 55: aligned reads (BAM),featureCounts on data 360: Counts_HISAT2 on data 68 and data 67: aligned reads (BAM)
100129405,65,42,69,104,72,42,41,77,57
100129407,0,4,1,4,0,3,1,3,0
100129424,59,55,63,64,44,59,40,67,41
100129427,0,0,0,0,0,0,0,1,0
100129434,196,122,140,150,100,89,155,173,146
100129460,695,695,482,732,683,537,754,821,620
100129461,195,81,63,85,65,63,80,121,83
100129464,17,33,14,25,31,16,17,11,12
100129480,269,186,135,181,140,110,176,180,195
100129482,9024,6276,6011,7159,5542,4398,7518,7495,6414
100129503,41,15,26,55,16,3,21,33,9
100129515,1,0,0,0,2,0,1,4,2
100129518,48,47,33,44,42,62,74,79,52
100129520,6,0,0,0,0,6,9,2,2
100129528,1,2,0,0,0,0,0,0,2
100129534,132,76,89,117,107,43,90,86,91
100129543,99,96,70,104,115,61,141,100,75
100129550,1081,476,354,669,642,539,919,1011,643
100129583,272,167,154,294,242,189,253,261,351
100129597,0,0,0,0,0,0,2,0,0
100129603,0,0,0,0,2,0,0,1,1
100129617,125,79,105,86,27,38,35,78,30
100129620,89,80,34,61,67,40,80,75,59
100129636,0,0,0,0,0,0,0,0,0
100129654,13,12,6,3,15,10,7,12,3
100129662,46,37,22,42,23,23,31,28,27
100129669,7,3,0,3,1,0,2,1,0
100129697,6,3,10,4,6,2,3,5,1
100129716,30,27,35,20,23,13,34,40,27
100129722,0,0,0,0,0,1,0,0,0
100129726,13,7,2,14,4,4,3,10,8
100129792,368,332,171,363,330,247,480,468,322
100129794,30,48,18,23,60,39,41,71,31
100129827,58,85,35,78,64,48,78,59,45
100129842,3864,3532,3268,4496,3379,2425,4240,4647,3703
100129845,7,6,4,3,2,0,4,2,4
100129858,67,60,35,66,50,49,62,80,40
100129860,0,0,0,1,0,0,0,0,0
100129917,215,199,169,222,186,153,125,248,134
100129924,12,6,3,4,2,3,6,10,2
100129931,30,33,48,30,16,6,13,32,19
100129935,6,4,9,1,6,0,0,5,0
100129940,31,28,4,12,10,17,17,21,28
100129961,306,181,220,437,264,219,383,318,265
100129973,161,70,78,185,107,106,150,93,156
10013,1951,1471,1625,2227,1633,1280,1709,2166,1256
100130015,43,37,59,51,35,30,45,49,27
100130017,0,0,0,3,1,0,1,0,0
100130075,26,11,9,6,5,7,16,21,5
100130086,48,12,47,22,30,28,21,22,35
100130093,120,89,104,111,90,74,115,126,67
100130097,474,202,254,204,206,159,209,296,238
100130100,180,94,122,93,102,88,90,118,108
100130148,9,0,8,8,0,2,2,10,0
100130155,8661,4545,3634,5296,4569,3649,5831,5683,6164
100130197,8,12,6,14,7,1,15,11,12
100130231,9,13,24,22,11,11,16,11,17
100130238,215,137,155,183,97,98,89,108,67
100130264,47,23,10,24,19,18,21,23,13
100130274,0,0,0,0,0,0,0,0,0
100130275,0,0,0,0,0,0,0,1,1
100130298,3,10,7,9,5,8,4,26,5
100130301,16,11,9,1,10,5,16,4,5
100130302,1,2,3,13,7,4,4,6,2
100130311,277,87,155,162,147,89,131,167,118
100130331,107,57,119,95,95,46,66,77,55
100130342,15,13,11,5,0,2,2,2,8
100130345,29,14,8,34,40,14,69,74,20
100130348,10,16,11,10,9,8,8,18,2
100130357,389,213,218,193,144,129,206,276,156
100130361,0,0,0,0,0,0,0,0,0
100130370,227,122,132,178,138,160,169,314,123
100130386,17,2,13,17,6,6,12,11,6
100130417,5,4,3,1,7,4,2,4,0
100130418,182,153,153,169,178,134,163,273,131
100130449,76,52,73,139,51,44,57,75,31
100130451,12,13,7,8,21,11,15,15,9
100130452,2,0,2,2,0,1,4,2,3
100130460,0,4,2,4,2,1,0,3,0
100130476,3,6,0,6,0,2,0,1,0
100130480,0,2,1,6,3,2,0,0,0
100130519,122,64,66,164,127,62,104,148,62
100130520,1,0,2,7,1,0,0,2,4
100130522,97,61,73,109,61,57,69,123,40
100130539,42,37,13,32,29,11,25,37,19
100130557,217,247,123,213,181,144,236,347,224
100130581,60,45,30,61,63,33,64,65,51
100130587,68,44,51,95,32,16,36,33,18
100130613,0,0,0,2,0,0,0,0,0
100130673,20,31,41,2,21,5,11,36,6
100130691,581,347,329,476,391,265,443,649,396
100130700,0,0,0,0,0,0,0,0,0
100130705,261,165,235,354,195,152,241,252,156
100130717,2,12,3,13,5,0,7,9,3
100130733,167,120,73,92,110,109,108,209,141
100130742,60,50,32,30,52,42,43,85,40
100130744,179,81,111,101,81,79,102,131,69
100130771,74,55,51,59,68,40,68,86,47
100130776,13,17,18,13,15,8,7,17,7
100130827,0,1,0,0,0,0,0,0,0
100130849,0,0,0,0,0,0,0,0,0
100130855,109,57,56,62,82,58,92,122,105
100130872,246,111,111,221,126,76,60,81,85
100130880,20,4,10,11,4,2,4,19,5
100130887,156,54,111,135,153,5,107,160,57
100130889,1,0,0,0,0,0,0,0,0
100130890,611,390,346,565,436,350,500,522,444
100130894,190,166,60,107,119,66,151,134,66
100130899,14,14,8,13,14,2,6,0,3
100130933,54,46,48,34,29,17,80,76,23
100130934,96,63,76,70,43,35,85,87,44
100130935,0,0,0,0,0,0,1,0,0
100130950,191,178,196,198,105,104,144,149,128
100130954,0,0,1,0,0,0,0,0,0
100130958,15,13,13,18,1,9,10,9,11
100130964,0,0,0,0,0,0,0,0,0
100130967,15,41,42,15,12,15,15,14,21
100130987,53,28,35,54,35,12,51,42,18
100130988,3,7,5,0,0,8,0,3,4
100130992,507,301,267,448,452,326,537,667,366
100131017,963,517,663,977,637,446,561,835,476
100131047,0,0,0,0,0,0,0,0,0
100131060,37,34,19,29,27,18,39,64,37
100131067,727,299,282,570,384,426,492,629,205
100131089,251,145,146,203,145,107,216,297,208
100131094,14,15,24,24,6,15,5,27,6
100131096,170,91,103,167,142,99,102,214,95
100131107,0,0,0,0,0,0,0,0,0
100131117,146,116,59,69,85,66,127,187,96
100131137,2,4,4,3,6,2,2,2,6
100131138,0,0,0,0,0,0,0,0,0
100131176,20,17,19,16,33,7,17,18,8
100131187,351,292,255,417,389,239,309,386,364
100131193,50,59,70,58,56,36,51,58,51
100131205,226,286,323,446,365,321,340,377,260
100131208,313,259,197,410,229,238,315,400,323
100131211,1454,786,681,1148,926,881,1287,1343,1147
100131213,30,16,40,78,31,26,43,44,24
100131234,169,198,97,219,133,144,147,260,127
100131244,60,37,45,85,59,45,60,84,68
100131257,16,14,13,16,12,10,11,18,12
100131289,36,20,11,18,21,27,29,43,10
100131303,2,0,0,0,0,0,0,0,0
100131315,0,0,0,0,0,0,0,0,0
100131320,95,36,17,51,43,30,63,171,32
100131347,26,21,24,21,19,7,16,8,18
100131366,0,0,0,0,0,0,0,0,0
100131378,11,2,6,6,1,2,9,7,7
100131390,33,18,20,11,14,0,13,16,21
100131434,230,156,170,207,114,119,165,260,130
100131439,0,0,0,0,0,0,0,0,0
100131454,91,79,71,103,55,58,81,96,75
100131496,103,78,63,68,40,78,52,108,45
100131532,40,27,10,36,24,15,24,31,17
100131539,26,16,2,16,9,8,22,46,15
100131551,18,7,1,8,8,0,2,9,0
100131561,25,21,16,23,9,6,21,28,14
100131564,1050,895,608,506,723,616,859,1069,852
100131608,0,0,0,0,0,0,0,0,0
100131626,18,8,13,7,3,5,13,25,5
100131635,31,16,9,7,9,2,10,3,7
100131655,13,6,5,16,11,0,12,11,13
100131691,28,13,24,45,14,13,31,24,27
100131726,0,0,0,0,0,1,0,0,0
100131733,11,12,16,12,11,9,10,18,11
100131755,4777,2696,2734,3007,2431,2075,2876,3742,2302
100131801,631,579,594,922,717,515,702,709,691
100131814,18,15,13,26,23,19,32,43,23
100131816,0,0,0,0,0,0,0,0,0
100131825,151,84,74,66,60,23,59,99,63
100131827,1662,1062,1015,1387,1365,1079,1469,2035,1067
100131897,857,549,456,1039,857,592,654,1444,621
100131902,0,1,0,0,0,0,0,2,0
100131980,4,5,0,1,0,2,10,5,7
100131997,71,46,62,27,67,18,53,31,51
100131998,436,230,389,408,325,304,405,397,346
100132004,19,3,2,2,4,4,8,0,4
100132057,386,204,126,218,131,142,242,280,193
100132062,8,5,14,9,1,12,4,12,1
100132074,31,22,20,40,20,14,15,28,10
100132077,59,73,38,82,21,26,42,50,49
100132078,0,2,0,3,1,0,4,6,2
100132101,4,0,0,0,0,2,1,0,0
100132103,65,68,51,49,39,41,44,113,23
100132111,273,121,160,329,169,150,303,384,226
100132116,299,138,151,145,144,127,166,271,165
100132146,0,0,0,0,0,0,0,4,0
100132154,14,1,10,5,0,10,11,9,4
100132159,62,37,62,74,56,28,63,33,32
100132163,18,21,29,31,21,20,29,18,18
100132169,34,0,24,25,33,14,39,34,56
100132174,2,0,4,0,0,0,0,3,0
100132215,185,178,132,152,151,103,136,240,114
100132247,2481,1683,2019,1276,944,827,1015,1747,635
100132273,0,0,0,0,0,0,0,0,0
100132287,5,5,6,5,3,5,3,9,1
100132288,16,27,6,45,5,16,30,8,8
100132304,1,3,1,0,2,0,1,3,0
100132341,431,427,555,508,322,290,379,430,288
100132352,1166,831,718,1168,854,687,1141,1095,988
100132354,14,13,13,28,4,9,16,11,6
100132356,130,107,127,172,143,75,138,170,115
100132386,0,0,0,0,0,0,0,0,0
100132396,1,0,0,0,0,0,0,0,0
100132399,0,0,0,0,0,0,0,0,0
100132403,17,4,47,13,0,11,2,0,21
100132406,146,164,138,261,210,135,217,253,206
100132417,0,17,10,0,13,5,16,16,13
100132463,2,6,3,0,4,0,4,0,4
100132464,0,0,0,0,0,0,0,0,0
100132476,0,0,0,0,0,0,0,0,0
100132526,151,110,97,124,65,57,78,90,62
100132529,8,7,7,9,3,1,6,7,9
100132541,458,383,472,594,445,362,496,536,487
100132565,1,0,0,4,0,2,0,1,0
100132594,55,9,24,12,8,12,19,23,20
100132596,0,0,0,0,0,0,0,0,0
100132618,124,115,46,103,80,75,108,152,85
100132677,58,39,46,49,64,19,48,40,56
100132707,224,147,50,118,178,57,142,231,128
100132708,0,1,0,0,0,0,0,0,0
100132724,165,111,88,111,134,121,126,170,135
100132735,0,3,0,0,0,1,0,0,0
100132741,9,5,9,1,5,7,8,17,5
100132774,54,45,27,16,33,24,37,32,29
100132781,155,85,54,67,52,60,106,152,71
100132813,789,541,408,376,335,276,418,592,378
100132815,1424,979,914,1397,1004,1000,1211,1544,1048
100132831,0,0,2,0,0,0,0,0,0
100132832,205,173,241,224,192,112,114,55,113
100132874,120,26,59,18,45,0,68,56,22
100132891,573,291,343,472,200,444,613,311,271
100132911,41,40,19,72,42,27,41,53,19
100132916,0,2,0,0,2,0,5,2,2
100132923,349,149,179,229,151,134,136,150,137
100132929,0,6,0,0,0,0,0,0,0
100132948,33,12,24,24,27,15,25,41,25
100132963,1,1,3,2,3,0,3,2,3
100132967,0,2,2,3,0,0,2,2,0
100132979,4,3,0,0,0,2,2,4,1
100132987,131,99,52,66,87,50,90,97,91
100132994,0,0,0,0,0,0,0,0,0
100133036,9,3,9,8,3,3,5,2,2
100133050,11,1,2,4,1,1,3,5,6
100133053,0,0,0,0,0,0,0,0,0
100133077,61,74,115,103,41,41,23,89,34
100133091,6,2,1,0,0,0,0,1,3
100133093,0,0,0,0,0,0,0,1,0
100133121,56,49,27,62,49,30,65,60,46
100133123,2,1,0,5,0,0,1,2,1
100133161,13,6,6,6,0,1,4,8,3
100133172,14,28,17,59,6,29,20,19,16
100133205,41,29,14,32,33,21,43,46,29
100133220,2,4,4,2,4,0,0,6,2
