compound,num_concordant,num_discordant,ratio,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Ibrutinib (PCI-32765),3,2,1.5,-0.3573987,0.40261875,NA,NA,-0.58973457,0.34261677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44616403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,6,8,0.75,-0.35968472,NA,0.37216668,0.41133971,-0.51222068,0.37888331,NA,NA,NA,NA,NA,NA,0.65280179,NA,NA,0.50673869,NA,NA,-0.47904499,NA,NA,NA,NA,-0.35979125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34729781,-0.39176969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39385754,-0.62070924,-0.58759325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetaminophen,4,2,2,-0.57172896,-0.47284184,0.33529831,0.39134305,0.3479457,0.42560687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acivicin,2,2,1,-0.57161467,-0.52204863,0.35948701,0.6323992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvocidib,12,6,2,NA,0.71015428,0.41941685,0.47323902,-0.43531713,-0.44677009,0.39647356,0.59432646,-0.35102353,NA,NA,-0.57062163,NA,-0.45572361,0.45930332,0.49039909,-0.43040215,NA,0.48903703,0.38548385,NA,0.50021485,0.43017394,0.38781979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diazoxide,2,3,0.66666667,-0.41531964,NA,-0.39741243,0.38018082,-0.56937682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39716275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Telatinib,0,2,0,NA,NA,-0.56675667,NA,-0.35838292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenolphthalein,1,1,1,NA,NA,NA,NA,NA,-0.56126859,NA,NA,0.36413516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blebbistatin,3,2,1.5,NA,NA,NA,NA,0.42383079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55984447,NA,NA,NA,NA,NA,NA,NA,NA,0.36423337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39397737,0.41297232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motesanib,5,6,0.83333333,NA,-0.36542885,-0.34334452,-0.47241336,NA,-0.38404559,0.37573516,NA,NA,NA,NA,NA,NA,NA,NA,0.39978883,-0.35593762,NA,NA,NA,0.43965685,0.38721703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35931815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55614353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allitinib,6,3,2,NA,NA,NA,0.33489235,NA,0.43910761,NA,0.4991402,NA,NA,NA,NA,NA,NA,NA,0.44303073,NA,NA,0.35734838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39401594,-0.39877265,-0.55553335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3258022,NA,NA,NA,NA,NA,NA,NA
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,3,1,3,NA,NA,-0.55464065,NA,0.38858304,0.44978737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42711689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metergoline,2,2,1,NA,NA,0.51462996,NA,0.39990764,-0.53352431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5542697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetazolamide,1,2,0.5,NA,-0.48572021,NA,NA,NA,0.3590866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.553352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vincamine,1,1,1,NA,NA,NA,-0.54976097,NA,0.41682129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olaparib,17,5,3.4,NA,-0.54920484,0.66170886,0.59719867,0.47455796,-0.39372135,NA,0.41042992,0.44298018,NA,NA,-0.47446733,0.35998585,-0.38582348,NA,0.53600412,NA,0.33254422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40852096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38741014,0.3935739,NA,NA,NA,0.33269393,0.51568452,NA,0.51936124,NA,NA,NA,NA,NA,NA,0.48411199,NA,NA,NA,NA,0.3895237,0.36975354,0.42345046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linifanib,5,12,0.41666667,NA,-0.32425838,-0.36647727,-0.40898007,-0.46813186,0.4254095,NA,0.58532238,NA,NA,NA,-0.54807333,-0.54116153,0.42859798,-0.48442363,0.34584032,-0.43482045,NA,-0.43748497,NA,0.32308809,-0.39985043,-0.41942323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40697062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctigenin,3,2,1.5,NA,NA,NA,0.36007551,NA,NA,NA,-0.34115508,0.36955164,-0.54139224,NA,NA,0.57054798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anagrelide,1,2,0.5,NA,NA,NA,-0.54123186,-0.66875149,0.35498129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Labetalol,2,3,0.66666667,0.43341118,-0.34849518,NA,NA,NA,NA,NA,-0.54078282,0.36273211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38496086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entinostat,2,8,0.25,-0.37327167,NA,-0.5394207,NA,-0.40826793,0.45273337,NA,-0.59854684,NA,NA,NA,NA,-0.34654916,NA,NA,-0.35509334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36211314,-0.4738301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3240563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Periplocymarin,1,1,1,NA,-0.53791824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54613343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rebastinib,10,5,2,NA,0.35119932,0.45153464,NA,-0.48575418,0.36207915,NA,0.47229628,NA,NA,NA,NA,0.48114574,NA,NA,NA,NA,NA,0.38538484,NA,-0.36740549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42480312,NA,0.55334718,NA,NA,NA,NA,NA,NA,NA,NA,0.40045545,NA,NA,NA,-0.45462884,NA,-0.53778418,NA,NA,NA,NA,NA,NA,0.3560528,NA,NA,NA,NA,NA,NA,-0.38030572,NA,NA,NA,NA
Dilazep,3,2,1.5,NA,0.37790231,0.51378466,NA,NA,-0.53686545,NA,NA,-0.41741101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47373161,NA
Phentolamine,3,1,3,NA,NA,0.37368882,-0.53497685,NA,NA,0.45563896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47491205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercaptopurine,1,4,0.25,-0.53310212,-0.43521035,0.36765995,-0.40927237,-0.44439735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colforsin,2,3,0.66666667,NA,NA,-0.40886056,0.36431787,-0.53214058,-0.38039842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57355326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycophenolic acid,0,4,0,-0.42257216,-0.41293748,NA,-0.53177836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3818102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinacrine,11,2,5.5,NA,NA,-0.53132612,0.36610004,NA,0.35111161,NA,0.38290834,NA,NA,NA,NA,NA,NA,NA,0.37273466,NA,NA,NA,NA,NA,NA,NA,0.36077309,NA,NA,NA,NA,NA,0.46445049,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39315267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4084759,NA,NA,NA,NA,-0.44156088,NA,NA,NA,NA,NA,0.40868267,0.338705,NA,NA,NA,NA,NA,0.40482065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ribavirin,1,2,0.5,0.45396833,NA,NA,-0.51557425,NA,-0.53102208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vidofludimus,1,3,0.33333333,-0.53075621,-0.53373124,0.42470701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45532364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasatinib,10,14,0.71428571,NA,0.51898693,0.56164676,0.53391824,0.35252746,0.47311994,0.61237436,NA,NA,NA,NA,-0.53075052,0.41592166,-0.40753864,-0.47854649,-0.36429551,-0.50481527,-0.48794321,0.3223082,-0.34285217,-0.52726948,0.37582371999999997,0.47726645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49135021,-0.52904805,-0.48196909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46856579,-0.36610607,-0.45186157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vemurafenib,6,8,0.75,-0.36178741,-0.5281499,0.43053651,NA,0.40918562000000003,NA,NA,NA,NA,NA,NA,NA,-0.35563964,NA,0.44945265,-0.5436069,0.34414465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38854699,NA,NA,0.74283948,NA,NA,NA,NA,-0.51482993,-0.6655468,NA,NA,NA,NA,NA,-0.44420328,NA,NA,NA,0.54324287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azathioprine,0,3,0,-0.35075328,-0.52749937,-0.37599409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thioguanosine,2,1,2,NA,NA,NA,-0.52715425,NA,0.55448164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39110093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
