Run,Age,alcool,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cause_of_death,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,drug_type,drugs,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,medication,medication_type,Organism,Ph,Phenotype,Platform,pmi,ReleaseDate,RIN,create_date,version,Sample Name,Smoking,source_name,SRA Study,TISSUE
SRR5956347,NA,NA,RNA-Seq,200,16149725200,PRJNA398031,SAMN07537488,10707493750,NA,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114714,female,GSM2751019,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T22:27:00Z,1,GSM2751019,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956348,NA,NA,RNA-Seq,200,22237439600,PRJNA398031,SAMN07537487,14714170465,NA,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114715,female,GSM2751020,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.5,2017-08-22T22:45:00Z,1,GSM2751020,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956349,NA,NA,RNA-Seq,200,21821366400,PRJNA398031,SAMN07537486,14519607696,NA,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114716,female,GSM2751021,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.5,2017-08-22T22:21:00Z,1,GSM2751021,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956350,NA,NA,RNA-Seq,200,655959000,PRJNA398031,SAMN07537485,437097850,NA,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114717,female,GSM2751022,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.3,2017-08-22T21:16:00Z,1,GSM2751022,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956351,NA,NA,RNA-Seq,200,20254420600,PRJNA398031,SAMN07537484,13593488429,NA,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114718,female,GSM2751023,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.2,2017-08-22T21:52:00Z,1,GSM2751023,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956352,NA,NA,RNA-Seq,151,7857187300,PRJNA398031,SAMN07537483,4924150801,NA,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114719,female,GSM2751024,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-24T00:00:00Z,8.8,2017-08-23T20:26:00Z,1,GSM2751024,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956353,NA,NA,RNA-Seq,152,6080940900,PRJNA398031,SAMN07537482,3809412963,NA,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114720,female,GSM2751025,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-24T00:00:00Z,9,2017-08-23T20:24:00Z,1,GSM2751025,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956354,NA,NA,RNA-Seq,152,7211950100,PRJNA398031,SAMN07537481,4539825277,NA,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114721,female,GSM2751026,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-24T00:00:00Z,9.3,2017-08-23T20:26:00Z,1,GSM2751026,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956355,NA,NA,RNA-Seq,151,6046458300,PRJNA398031,SAMN07537479,3788879656,NA,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114722,female,GSM2751027,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-24T00:00:00Z,9.3,2017-08-23T20:19:00Z,1,GSM2751027,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956356,NA,NA,RNA-Seq,151,9369469200,PRJNA398031,SAMN07537478,5857173348,NA,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114723,male,GSM2751028,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-24T00:00:00Z,8.9,2017-08-23T20:26:00Z,1,GSM2751028,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956357,NA,NA,RNA-Seq,151,7491104300,PRJNA398031,SAMN07537477,4715230974,NA,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114724,male,GSM2751029,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-24T00:00:00Z,8.6,2017-08-23T20:23:00Z,1,GSM2751029,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956358,NA,NA,RNA-Seq,151,7026362000,PRJNA398031,SAMN07537476,4402716585,NA,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114725,male,GSM2751030,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-24T00:00:00Z,8.7,2017-08-23T20:37:00Z,1,GSM2751030,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956359,NA,NA,RNA-Seq,152,7470685900,PRJNA398031,SAMN07537442,4689946106,NA,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114726,male,GSM2751031,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-24T00:00:00Z,8.7,2017-08-23T20:22:00Z,1,GSM2751031,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956360,NA,NA,RNA-Seq,100,5359955200,PRJNA398031,SAMN07537480,3562169774,NA,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114727,male,GSM2751032,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.3,2017-08-22T21:43:00Z,1,GSM2751032,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956361,NA,NA,RNA-Seq,100,4500227500,PRJNA398031,SAMN07537441,2991629984,NA,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114728,male,GSM2751033,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.4,2017-08-22T21:39:00Z,1,GSM2751033,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956362,NA,NA,RNA-Seq,100,4530511900,PRJNA398031,SAMN07537436,3017761861,NA,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114729,male,GSM2751034,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T21:43:00Z,1,GSM2751034,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956363,NA,NA,RNA-Seq,100,4543236000,PRJNA398031,SAMN07537438,3020166256,NA,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114730,male,GSM2751035,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,10,2017-08-22T21:50:00Z,1,GSM2751035,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956364,NA,NA,RNA-Seq,100,3438019300,PRJNA398031,SAMN07537437,2284305043,NA,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114731,male,GSM2751036,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.7,2017-08-22T21:34:00Z,1,GSM2751036,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956365,NA,NA,RNA-Seq,100,5355636600,PRJNA398031,SAMN07537435,3567083653,NA,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114732,male,GSM2751037,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.2,2017-08-22T21:43:00Z,1,GSM2751037,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956366,NA,NA,RNA-Seq,100,4415664800,PRJNA398031,SAMN07537443,2954891552,NA,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114733,female,GSM2751038,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T21:28:00Z,1,GSM2751038,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956367,NA,NA,RNA-Seq,100,4699031900,PRJNA398031,SAMN07537434,3118335387,NA,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114734,female,GSM2751039,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T21:39:00Z,1,GSM2751039,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956368,NA,NA,RNA-Seq,100,4687143600,PRJNA398031,SAMN07537433,3186379287,NA,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114735,female,GSM2751040,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T21:38:00Z,1,GSM2751040,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956369,NA,NA,RNA-Seq,100,5444770800,PRJNA398031,SAMN07537498,3699787559,NA,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114736,female,GSM2751041,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T21:32:00Z,1,GSM2751041,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956370,NA,NA,RNA-Seq,100,4662004900,PRJNA398031,SAMN07537475,3171416776,NA,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114737,female,GSM2751042,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T21:27:00Z,1,GSM2751042,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956371,NA,NA,RNA-Seq,100,5686164400,PRJNA398031,SAMN07537499,3854676889,NA,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114738,female,GSM2751043,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.7,2017-08-22T21:30:00Z,1,GSM2751043,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956372,NA,NA,RNA-Seq,100,6744067400,PRJNA398031,SAMN07537497,4580314255,NA,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114739,female,GSM2751044,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.5,2017-08-22T21:35:00Z,1,GSM2751044,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956373,NA,NA,RNA-Seq,100,6600794200,PRJNA398031,SAMN07537440,4474651087,NA,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114740,female,GSM2751045,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T21:34:00Z,1,GSM2751045,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956374,NA,NA,RNA-Seq,100,6191948600,PRJNA398031,SAMN07537439,4204697079,NA,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114741,female,GSM2751046,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:31:00Z,1,GSM2751046,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956375,NA,NA,RNA-Seq,100,5866788500,PRJNA398031,SAMN07537496,3858780754,NA,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114742,male,GSM2751047,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:30:00Z,1,GSM2751047,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956376,NA,NA,RNA-Seq,100,6317726300,PRJNA398031,SAMN07537474,4161864401,NA,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114743,male,GSM2751048,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T22:02:00Z,1,GSM2751048,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956377,NA,NA,RNA-Seq,100,6521123300,PRJNA398031,SAMN07537473,4310080422,NA,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114744,male,GSM2751049,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T21:31:00Z,1,GSM2751049,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956378,NA,NA,RNA-Seq,100,6155464800,PRJNA398031,SAMN07537472,4055385662,NA,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114745,male,GSM2751050,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.2,2017-08-22T21:43:00Z,1,GSM2751050,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956379,NA,NA,RNA-Seq,100,5748475200,PRJNA398031,SAMN07537471,3790350023,NA,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114746,male,GSM2751051,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.5,2017-08-22T21:28:00Z,1,GSM2751051,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956380,NA,NA,RNA-Seq,100,3392794500,PRJNA398031,SAMN07537507,2247657181,NA,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114747,male,GSM2751052,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:24:00Z,1,GSM2751052,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956381,NA,NA,RNA-Seq,100,5425297300,PRJNA398031,SAMN07537506,3572163959,NA,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114748,male,GSM2751053,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T21:29:00Z,1,GSM2751053,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956382,NA,NA,RNA-Seq,100,3921260300,PRJNA398031,SAMN07537505,2593976215,NA,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114749,male,GSM2751054,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.7,2017-08-22T21:26:00Z,1,GSM2751054,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956383,NA,NA,RNA-Seq,100,4896248400,PRJNA398031,SAMN07537503,3204573834,NA,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114750,male,GSM2751055,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:31:00Z,1,GSM2751055,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956384,NA,NA,RNA-Seq,100,5333950500,PRJNA398031,SAMN07537502,3484213960,NA,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114751,male,GSM2751056,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.4,2017-08-22T21:28:00Z,1,GSM2751056,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956385,NA,NA,RNA-Seq,100,4088173300,PRJNA398031,SAMN07537501,2679443163,NA,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114752,female,GSM2751057,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:26:00Z,1,GSM2751057,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
