Geneid,featureCounts on data 240: Counts_HISAT2 on data 12 and data 11: aligned reads (BAM),featureCounts on data 246: Counts_HISAT2 on data 18 and data 17: aligned reads (BAM),featureCounts on data 248: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM)
100862680,174,1378,425
100862692,26,13,20
100862704,39,22,7
100862728,2,0,1
10087,3449,3808,4270
100873065,47,29,33
100873165,42,37,34
100873740,355,170,113
100873741,26,18,15
100873745,17,16,5
100873746,754,378,206
100873747,74,27,12
100873748,224,138,111
100873749,6,7,3
100873750,0,3,2
100873753,500,244,167
100873754,7,3,0
100873755,6,6,2
100873756,10,6,5
100873757,1461,810,413
100873758,733,441,258
100873759,97,31,24
100873760,7,9,3
100873761,0,1,0
100873762,0,10,0
100873763,0,0,0
100873764,0,2,0
100873765,9,11,6
100873766,0,0,0
100873767,3,7,5
100873768,0,0,0
100873769,3,0,1
100873770,0,0,0
100873771,0,0,0
100873772,0,0,0
100873773,0,1,1
100873774,1,0,0
100873775,0,0,0
100873776,0,0,0
100873777,0,0,0
100873778,6,6,8
100873779,6,1,3
100873780,0,0,0
100873781,10,6,5
100873782,3,3,5
100873856,31,42,36
100873857,132,177,173
100873917,7,16,17
100873920,2,6,5
100873921,5,8,10
100873922,7,2,3
100873924,13,15,1
100873930,20,16,4
100873932,57,24,45
100873933,28,8,27
100873935,27,26,16
100873937,12,23,28
100873939,38,77,30
100873940,16,7,10
100873941,46,28,55
100873942,38,40,31
100873944,6,1,3
100873945,2,0,0
100873946,0,3,1
100873947,8,7,7
100873948,3,6,5
100873949,47,28,18
100873954,34,44,38
100873955,2,1,0
100873962,24,7,5
100873964,0,0,0
100873965,7,7,4
100873969,26,31,32
100873970,33,25,52
100873972,34,23,28
100873973,26,17,36
100873974,20,15,10
100873975,17,20,35
100873976,29,57,53
100873977,8,9,10
100873979,28,35,14
100873980,23,19,13
100873982,44,44,25
100873983,54,40,35
100873984,6,31,30
100873985,1,6,11
100873986,69,114,118
100873989,172,127,214
100873990,36,23,16
100873993,2,3,3
100873995,40,50,38
100873997,35,68,64
100873998,29,16,9
100874002,83,44,54
100874004,8,3,5
100874007,12,13,11
100874010,181,238,307
100874011,0,0,0
100874012,420,145,110
100874014,27,8,6
100874016,18,16,23
100874018,258,136,86
100874019,4,0,1
100874021,27,7,18
100874027,0,1,0
100874028,2,0,0
100874029,130,6,15
100874031,4,2,0
100874032,46,18,7
100874037,26,61,37
100874038,122,241,192
100874039,85,78,63
100874041,3,2,0
100874042,27,20,7
100874043,19,4,6
100874047,135,65,32
100874048,20,8,4
100874051,34,38,27
100874052,10,5,1
100874053,1,0,1
100874054,62,40,17
100874055,2,0,8
100874056,28,32,32
100874058,289,238,174
100874059,0,0,0
100874063,9,7,8
100874064,484,344,418
100874068,6,3,2
100874070,35,34,40
100874071,13,6,13
100874074,137,103,113
100874078,4,3,8
100874081,86,88,94
100874082,11,18,16
100874083,33,14,11
100874084,44,24,36
100874085,7,1,11
100874086,282,233,252
100874087,609,473,581
100874088,9,8,1
100874089,23,11,10
100874090,226,149,88
100874091,0,0,0
100874092,7,4,9
100874093,27,18,22
100874094,37,17,7
100874095,2,0,0
100874096,48,36,36
100874097,27,17,16
100874100,6,0,17
100874101,0,0,1
100874102,6,2,3
100874107,17,24,30
100874110,0,0,0
100874111,61,28,21
100874114,20,2,5
100874115,10,0,2
100874118,2,0,2
100874120,12,5,5
100874122,4,5,5
100874123,74,81,48
100874126,0,1,0
100874127,11,2,0
100874128,4,14,10
100874130,113,42,28
100874131,68,8,17
100874137,2,0,0
100874139,0,0,0
100874143,0,0,0
100874145,0,4,2
100874147,5,5,2
100874150,0,0,0
100874151,25,18,7
100874155,0,0,0
100874157,0,0,0
100874158,7,12,10
100874159,64,133,118
100874161,0,1,0
100874164,0,0,0
100874167,2,0,0
100874168,0,0,0
100874169,1,2,2
100874172,0,0,0
100874173,36,11,16
100874175,2,3,3
100874176,0,0,0
100874179,3,4,2
100874182,0,0,0
100874184,5,2,1
100874185,12,14,9
100874187,1,0,0
100874188,162,24,83
100874190,8,0,2
100874194,0,0,0
100874195,0,0,0
100874196,0,0,0
100874197,41,18,37
100874198,91,113,89
100874200,5,3,0
100874201,16,5,6
100874203,8,9,0
100874204,8,11,3
100874205,88,38,31
100874206,3,6,4
100874207,17,23,14
100874208,0,2,0
100874211,103,9,27
100874212,90,62,73
100874214,41,4,2
100874216,10,22,22
100874218,20,14,14
100874219,1,2,4
100874221,7,7,14
100874222,207,144,174
100874226,15,23,21
100874231,32,7,8
100874234,85,123,95
100874235,34,38,17
100874236,4,4,6
100874237,167,254,165
100874239,27,36,25
100874241,106,41,40
100874242,43,49,61
100874243,149,198,171
100874244,0,0,1
100874245,5,1,0
100874246,76,37,24
100874249,16,3,10
100874251,334,220,205
100874253,12,5,12
100874255,66,24,18
100874259,11,2,2
100874261,83,16,18
100874264,19,6,10
100874270,5,9,2
100874273,5,0,3
100874275,0,2,0
100874278,205,136,50
100874281,25,20,23
100874282,0,2,0
100874284,76,71,62
100874286,10,14,26
100874291,210,93,97
100874295,11,18,14
100874300,17,2,2
100874309,86,56,32
100874313,152,114,84
100874322,31,10,8
100874323,0,0,0
100874325,6,23,15
100874326,111,147,95
100874330,125,0,6
100874342,25,12,6
100874343,3,11,8
100874353,46,30,13
100874355,21,22,37
100874361,291,117,89
100874362,2,0,2
100874363,0,0,0
100874364,0,0,0
100874365,0,0,0
100874366,0,0,0
100874369,7,12,7
100874370,31,38,19
100874372,64,72,46
100874374,0,0,0
100874375,541,843,948
100874377,5,5,12
100874392,0,0,0
100874433,96,98,110
100874528,7,1,6
100874530,0,0,0
100874531,3,4,2
100885775,12,0,2
100885776,293,111,109
100885777,20,31,17
100885778,68,60,30
100885779,0,8,0
100885780,7,8,9
100885781,0,0,0
100885782,11,5,14
100885789,22,9,36
100885795,27,36,21
100885796,56,17,28
100885798,0,1,0
100885848,78,35,36
100885850,0,0,1
100886964,635,87,44
100887744,0,0,0
100887750,885,440,386
100887754,2,7,5
100887755,0,0,0
10089,13,4,7
1009,4381,2319,3251
10090,1779,975,1116
10092,2640,1929,2611
10093,711,689,763
10094,3718,3748,4120
10095,265,157,142
10096,5626,4567,5926
10097,11778,12219,14507
10098,3629,4246,4324
10099,12902,8785,11109
100996249,0,0,9
100996251,233,136,139
100996255,6,9,2
100996259,47,40,45
100996263,0,0,0
100996266,2,0,2
100996273,149,124,94
100996274,356,209,182
100996279,13,18,25
100996280,0,0,4
100996286,12,4,3
100996291,14,7,2
100996295,61,22,22
100996301,0,0,0
100996307,122,154,163
100996318,7,7,1
100996324,2,0,0
100996325,0,0,0
100996331,0,0,0
100996335,0,0,0
100996338,1,0,0
100996342,76,82,77
100996348,75,49,35
100996349,0,0,0
100996351,3,11,1
100996365,0,0,0
100996379,3,0,0
100996385,54,115,110
100996401,0,0,4
100996414,0,0,0
100996415,0,0,0
100996425,60,33,24
100996437,70,46,56
100996447,166,156,146
100996455,70,49,83
100996465,4,13,6
100996485,246,175,170
100996490,35,8,16
100996492,913,895,1168
100996511,685,431,413
100996539,41,57,41
100996541,4,3,6
100996567,4,0,0
100996569,61,47,45
100996570,158,44,25
100996571,198,215,175
100996573,413,174,74
100996574,4,2,0
100996579,0,0,0
100996582,102,0,0
100996583,0,0,0
100996590,15,1,7
100996597,0,0,0
100996598,29,20,7
100996609,18,16,4
100996624,2,0,0
100996631,12,4,4
100996634,413,77,32
100996635,322,485,1203
100996637,0,0,0
100996643,60,70,5
100996645,97,400,292
100996648,41,5,12
100996654,15,7,4
100996664,512,142,152
100996665,0,0,2
100996669,6,3,6
100996671,13,8,17
100996679,0,0,0
100996693,8,11,3
100996694,0,0,0
100996701,0,0,2
100996702,52,38,28
100996712,395,178,180
100996713,11,2,2
100996721,0,2,0
100996724,8371,6050,5053
100996738,0,0,0
100996746,0,0,0
100996758,16,17,14
100996761,118,325,175
100996763,400,259,91
100996792,3,0,6
100996813,27,33,40
100996876,24,17,10
100996928,0,0,0
100996939,0,0,0
100996941,0,1,0
101,65,42,25
1010,786,1968,1341
10100,385,177,317
10101,359,301,255
10102,987,1114,1021
10103,94,55,25
10105,1049,504,665
101054525,20,3,0
101055625,12,12,20
101059906,2,0,0
101059914,0,0,0
101059915,3,7,5
101059918,9,20,2
101059938,12,48,8
101059948,2,0,0
101059953,66,162,21
10106,4925,2147,2254
101060004,0,0,0
101060017,0,0,0
101060019,0,0,0
101060022,4,2,2
101060024,0,8,0
101060026,31,51,47
101060091,47,53,26
101060146,53,17,8
101060171,40,3,6
101060179,0,0,0
101060181,28,25,8
101060200,585,411,381
101060211,0,0,0
101060226,428,365,122
101060233,0,0,0
101060254,48,35,47
101060264,20,4,0
101060301,0,0,0
101060321,3,4,0
101060341,8,0,4
101060351,5,3,0
101060376,4,14,1
101060385,1,11,0
101060389,3,22,7
101060391,35,21,28
101060498,15,3,12
101060524,0,0,0
101060542,0,2,2
101060544,380,218,180
101060553,123,123,124
101060569,4,2,1
101060684,721,561,301
101060691,371,524,464
10107,0,0,0
10109,2960,3225,3512
10110,800,179,192
101101772,248,65,44
101101773,750,111,101
101101775,67,28,27
101101776,31,45,1
10111,8120,6640,6454
10112,25,21,21
10113,795,604,655
10114,16246,8595,9552
101154687,0,0,0
101154753,77,24,29
10116,8076,9409,11401
10117,5,5,15
101180901,0,0,0
101180976,0,1,4
1012,1399,3539,5045
10120,1478,2146,1545
10121,2932,3732,4130
10123,2755,3344,2841
10124,979,1144,1697
101241891,0,0,0
101241892,824,974,857
101241902,0,0,0
101243544,1,0,0
101243545,544,314,337
101243555,39,19,19
10125,1836,3916,3470
10126,790,577,983
10127,1306,977,1210
10128,9574,10403,11428
10129,8200,10271,10905
1013,2,0,2
10130,3050,1946,2222
10131,2656,2366,2360
10133,9143,13080,11881
10134,2562,2544,2758
101340250,0,0,0
101340251,3,2,0
101340252,0,0,0
10135,2339,2230,2548
10136,0,0,0
10137,4417,3232,3552
10138,1948,2209,2710
10139,873,690,783
1014,0,0,0
10140,3910,1121,1224
101409253,53,10,28
101409254,0,0,0
101409256,51,61,29
101409257,8,2,0
101409258,27,25,26
101409261,35,25,21
10141,2,2,2
101410533,12,4,12
101410534,269,857,505
101410535,19,16,19
101410536,0,0,0
101410537,0,5,2
101410538,19,19,22
101410540,6,1,6
101410541,20,7,11
101410542,189,22,22
101410543,39,30,18
101410544,5,0,0
101410545,16,10,8
10142,29337,16559,17636
10143,5,3,0
10144,3564,3231,2770
101447996,151,112,79
101448202,2,0,0
10146,6725,3902,4431
10147,8169,8438,7096
10148,39,21,16
10149,113,69,74
1015,27,33,25
10150,14015,9943,11587
10151,75,38,45
101515984,36,21,7
10152,15841,17040,19534
10153,2941,1864,2151
10154,5336,4009,4577
10155,1628,1184,1220
101559451,14,4,2
10156,84,71,24
10157,5667,2128,1792
10158,0,4,0
10159,3828,5015,5450
101593348,36,40,20
1016,1377,3708,3760
10160,3311,2962,3101
10161,1611,690,782
10162,809,388,383
10163,3294,1079,1058
10164,67,16,12
10165,1539,598,562
10166,407,382,367
101669762,16,69,39
101669764,4,1,0
101669766,87,34,98
101669767,14,39,30
10168,2840,1923,2030
10169,639,361,423
1017,175,28,46
10170,182,103,100
10171,889,518,360
10172,631,476,534
101730217,2,2,3
101735302,44,72,48
10174,1102,408,358
10175,1242,1006,992
101752334,0,0,0
101752399,639,623,354
101752400,217,133,134
10178,4040,4547,6404
10179,552,324,322
1018,0,0,0
10180,9567,5184,4478
101805488,30,0,2
101805491,1,8,6
101805492,6,0,0
10181,11859,6721,6184
10184,2315,1045,1346
10186,1417,1541,1297
101867536,234,45,81
10188,3376,3065,2569
10189,856,509,661
1019,834,464,460
10190,753,655,796
101926888,18,13,10
101926889,115,86,44
101926890,22,26,31
101926892,20,20,9
101926895,161,44,56
101926896,0,0,0
101926897,21,21,127
101926898,19,30,22
101926900,0,7,3
101926903,159,169,105
101926904,2,0,0
101926905,22,10,7
101926906,2,0,0
101926908,70,116,118
101926911,16,17,28
101926913,43,26,39
101926915,230,305,243
101926924,46,16,23
101926925,17,13,4
101926926,72,35,19
101926928,2,4,4
101926930,1,2,0
101926933,11,5,1
101926935,500,349,145
101926940,0,0,0
101926941,65,126,96
101926942,4,3,9
101926943,56,24,30
101926944,8,13,8
101926950,58,27,54
101926951,0,4,9
101926955,1,4,1
101926960,5,1,1
101926962,1,13,5
101926963,19,9,5
101926964,540,270,159
101926966,11,1,11
101926971,23,15,10
101926975,52,150,109
101926978,4,5,1
101926982,25,2,3
101926985,14,39,31
101926987,42,44,42
101926996,142,168,121
101926997,62,50,29
101927003,192,181,279
101927007,0,0,0
101927015,4,0,1
101927016,0,0,0
101927017,0,2,0
101927018,33,22,17
101927020,0,0,0
101927021,270,118,162
101927023,30,4,10
101927027,479,384,391
101927029,40,14,26
101927034,65,23,4
101927040,58,33,23
101927043,91,7,22
101927045,162,60,18
101927048,0,0,0
101927049,68,20,18
101927051,13,5,12
101927053,14,9,3
101927055,106,103,144
101927056,60,32,28
101927058,0,0,0
101927059,0,1,2
101927062,4,5,1
101927066,77,40,74
101927067,23,6,11
101927069,119,93,58
101927070,97,30,12
101927074,0,0,1
101927075,5,2,5
101927078,97,64,108
101927079,1,2,0
101927081,1,2,3
101927082,0,0,0
101927084,261,170,111
101927087,26,4,8
101927096,39,26,25
101927100,68,47,56
101927102,24,25,22
101927111,302,220,211
101927112,4,6,11
101927115,18,6,16
101927117,87,59,50
101927120,0,2,6
101927123,20,4,8
101927124,188,104,73
101927125,2,2,0
101927129,3,2,2
101927131,5,3,0
101927132,12,6,2
101927134,342,54,67
101927136,0,3,0
101927139,392,167,177
101927141,2,1,0
101927142,15,17,21
101927143,19,21,4
101927147,105,88,52
101927149,4,0,2
101927150,217,102,82
101927151,316,389,347
101927152,92,11,17
101927153,12,5,3
101927155,37,26,36
101927156,5,3,2
101927157,7,3,0
101927159,31,38,59
101927160,2,3,0
101927164,26,18,14
101927166,2,0,0
101927167,29,22,15
101927171,0,0,0
101927176,13,20,10
101927178,27,19,13
101927179,0,2,2
101927181,92,146,44
101927186,0,1,4
101927188,55,6,7
101927189,7,12,8
101927190,68,31,37
101927193,63,80,114
101927195,0,0,0
101927196,49,48,20
101927204,206,92,102
101927207,2,0,0
101927210,0,0,0
101927211,93,49,54
101927215,67,69,110
101927216,76,37,41
101927217,346,161,137
101927219,0,0,0
101927220,2,6,11
101927221,71,31,45
101927224,0,0,0
101927228,4,6,0
101927229,4,4,6
101927230,13,0,0
101927233,256,101,88
101927237,31,45,58
101927239,3,4,1
101927242,1,0,0
101927243,8,5,3
101927244,2,0,5
101927245,12,3,9
101927248,364,93,124
101927249,65,72,72
101927250,12,10,6
101927257,193,157,102
101927258,12,10,4
101927260,102,108,134
101927262,54,75,44
101927267,10,0,2
101927269,2,4,6
101927272,13,7,2
101927273,13,4,6
101927274,3,10,0
101927275,90,60,61
101927277,2,5,2
101927278,14,22,19
101927279,28,11,3
101927280,10,6,22
101927282,2,4,0
101927284,169,19,11
101927285,18,30,18
101927286,50,93,113
101927288,147,64,77
101927289,5,3,5
101927292,6,14,6
101927295,0,2,1
101927296,39,50,42
101927305,4,2,3
101927310,3,10,10
101927311,2,23,17
101927313,28,4,2
101927314,358,207,107
101927318,4,2,0
101927320,129,65,108
101927322,7,10,4
101927323,6,0,5
101927324,0,0,0
101927332,0,2,0
101927334,1,1,0
101927342,0,0,4
101927345,2,20,4
101927346,19,2,0
101927347,1,6,6
101927348,2,3,7
101927350,5,1,2
101927352,27,24,13
101927353,4,5,9
101927354,79,16,28
101927356,165,152,240
101927358,0,5,6
101927359,963,542,602
101927360,38,40,17
101927363,0,0,0
101927364,64,0,0
101927365,93,59,57
101927374,120,120,168
101927375,2,6,4
101927376,11,24,8
101927378,6,0,0
101927379,6,4,4
101927380,95,86,97
101927381,2,6,0
101927391,508,321,214
101927394,351,224,245
101927396,0,0,0
101927401,104,91,66
101927402,39,45,70
101927403,4,2,4
101927405,2,1,0
101927406,112,72,343
101927410,5,1,0
101927411,2,2,0
101927412,2,0,0
101927415,118,51,57
101927416,111,118,82
101927417,28,4,12
101927418,24,12,13
101927419,0,1,0
101927420,24,17,29
101927421,0,0,0
101927422,10,8,3
101927423,18,21,17
101927430,7,18,15
101927431,6,8,2
101927433,0,0,0
101927434,12,40,29
101927435,31,14,19
101927437,20,6,8
101927438,18,7,1
101927446,10,2,4
101927449,6,0,2
101927450,26,9,15
101927455,289,344,470
101927457,6,2,0
101927459,375,91,80
101927460,6,0,1
101927464,0,6,2
101927465,22,35,23
101927468,149,153,94
101927469,0,0,0
101927472,17,6,5
101927476,4,1,1
101927477,37,37,38
101927478,5,1,0
101927481,36,21,22
101927482,39,48,39
101927487,0,0,0
101927488,4,0,0
101927489,2,0,2
101927492,10,8,6
101927494,2,2,0
101927495,11,13,3
101927497,22,6,13
101927498,23,62,48
101927501,0,0,0
101927502,8,7,9
101927503,0,0,0
101927509,226,115,102
101927513,2,10,2
101927523,1,1,0
101927524,7,28,31
101927526,1,0,0
101927528,2,3,5
101927532,239,113,62
101927534,8,24,10
101927539,77,60,19
101927541,33,8,4
101927543,50,18,8
101927546,18,26,5
101927547,149,67,66
101927549,1,0,4
101927550,204,134,126
101927553,0,3,1
101927554,195,315,221
101927557,21,11,5
101927559,154,201,119
101927560,52,39,24
101927562,0,0,0
101927565,70,2,0
101927571,0,0,0
101927572,8,8,2
101927574,4,0,2
101927575,9,22,5
101927577,6,0,0
101927579,0,1,2
101927580,9,12,6
101927581,1,2,2
101927583,14,13,3
101927586,4,2,9
101927587,62,74,38
101927588,11,23,24
101927590,38,79,85
101927591,233,127,173
101927592,5,1,8
101927595,14,17,20
101927597,177,68,54
101927599,195,106,104
101927604,9,2,0
101927606,1,0,0
101927612,338,363,341
101927616,1,2,0
101927619,25,17,27
101927620,39,38,39
101927621,323,293,301
101927623,15,4,2
101927624,14,1,4
101927628,17,1,0
101927630,12,0,3
101927631,106,71,54
101927636,52,93,88
101927637,2,6,2
101927640,9,4,1
101927641,239,49,77
101927642,4,5,2
101927650,2,2,1
101927651,12,8,15
101927653,8,3,0
101927655,0,0,0
101927657,2,1,0
101927659,46,36,75
101927660,0,2,2
101927661,0,6,8
101927666,11,8,5
101927667,249,89,169
101927668,40,43,96
101927671,0,1,1
101927678,3,2,1
101927682,80,63,47
101927683,0,0,1
101927685,6,16,8
101927686,2,0,0
101927688,8,9,1
101927691,23,34,39
101927692,206,111,66
101927694,0,1,0
101927697,1,2,4
101927698,19,5,6
101927700,6,5,1
101927701,1,0,0
101927703,4,6,2
101927704,4,0,0
101927708,3,4,3
101927709,2,0,0
101927715,1,0,0
101927718,0,0,0
101927720,50,45,30
101927721,5,0,0
101927722,2,2,1
101927726,14,21,27
101927727,13,3,7
101927728,141,232,203
101927730,52,33,15
101927735,18,54,39
101927736,28,28,21
101927740,8,6,0
101927746,16,14,12
101927750,6,14,5
101927751,10,41,60
101927755,47,32,32
101927759,273,510,225
101927761,47,43,38
101927762,5,5,3
101927763,24,33,26
101927764,54,17,9
101927765,151,103,80
101927766,6,10,6
101927767,2,5,5
101927768,382,150,165
101927769,2,2,2
101927770,56,26,5
101927774,2,2,0
101927777,154,230,211
101927780,14,9,2
101927787,0,0,0
101927789,137,42,15
101927795,2,2,0
101927796,4,6,2
101927797,2,2,16
101927798,0,0,0
101927802,40,44,27
101927808,96,81,85
101927811,50,23,18
101927813,0,0,0
101927814,6,13,10
101927815,2,0,0
101927817,134,85,49
101927821,0,0,0
101927822,11,2,6
101927824,30,38,30
101927827,2,2,3
101927828,2,0,4
101927829,0,0,0
101927830,24,20,15
101927832,27,41,53
101927835,26,11,22
101927839,23,15,17
101927843,0,5,0
101927844,0,19,11
101927845,10,6,2
101927847,3,0,6
101927849,45,26,47
101927851,2,2,0
101927853,109,65,18
101927854,64,90,141
101927855,9,36,6
101927859,0,0,1
101927862,64,38,39
101927865,10,14,17
101927866,18,0,0
101927869,1,0,0
101927870,20,3,12
101927873,25,12,13
101927876,12,30,8
101927878,1,0,0
101927881,3,10,12
101927884,2,0,0
101927891,135,105,91
101927900,2,0,0
101927901,10,25,14
101927905,229,294,88
101927907,114,309,384
101927908,21,23,44
101927911,36,37,14
101927914,1,10,3
101927915,0,0,0
101927917,50,37,39
101927919,8,14,7
101927921,0,13,10
101927922,3,0,3
101927924,11,6,6
101927926,6,2,9
101927931,0,0,2
101927932,13,2,8
101927934,7,2,4
101927944,173,96,83
101927948,78,23,37
101927950,58,63,51
101927953,0,0,0
101927954,18,11,13
101927955,49,21,32
101927957,406,158,102
101927964,0,0,0
101927967,139,24,39
101927969,34,28,52
101927972,16,18,19
101927973,22,16,12
101927980,19,18,26
101927983,29,23,16
101927987,60,109,104
101927989,58,34,48
101927990,19,2,0
101927992,4,0,0
101927994,1,3,7
101928000,40,68,17
101928001,92,54,40
101928002,12,9,2
101928008,9,5,11
101928009,4,1,4
101928012,9,5,6
101928017,21,14,10
101928020,509,307,270
101928021,30,7,14
101928022,10,4,2
101928030,6,0,0
101928031,2,0,0
101928033,56,5,8
101928034,2,1,0
101928035,8,9,6
101928036,0,0,0
101928039,1,1,0
101928042,0,0,0
101928043,11,5,9
101928048,8,3,2
101928052,15,18,13
101928053,278,90,79
101928058,0,0,0
101928062,187,110,82
101928063,95,32,36
101928067,6,53,62
101928068,146,157,75
101928069,49,23,13
101928075,18,17,6
101928079,65,39,44
101928085,300,67,40
101928093,1,0,0
101928098,11,15,5
101928099,1,4,3
101928100,135,42,51
101928103,106,43,45
101928104,2,2,2
101928105,3,6,8
101928107,14,0,1
101928108,0,0,0
101928113,386,88,44
101928118,707,73,71
101928120,5,8,5
101928122,2,7,3
101928123,47,27,8
101928128,3,20,8
101928131,2,0,0
101928132,2,4,0
101928134,21,20,11
101928135,14,1,14
101928136,8,16,14
101928137,4,9,5
101928138,0,0,2
101928140,0,0,0
101928141,0,1,0
101928142,3,0,0
101928143,15,7,10
101928147,2,2,0
101928150,70,23,26
101928151,4,1,4
101928153,131,170,151
101928154,24,20,10
101928158,3,2,0
101928161,55,38,28
101928162,0,3,0
101928163,0,0,1
101928165,32,10,15
101928167,2,2,4
101928168,2,2,1
101928174,53,48,53
101928176,94,28,44
101928177,31,61,42
101928182,2,1,1
101928185,154,58,56
101928190,0,0,0
101928191,22,29,11
101928193,24,23,10
101928195,1,0,0
101928200,0,2,5
101928201,0,0,0
101928203,50,36,36
101928205,122,43,19
101928208,11,24,21
101928211,16,16,19
101928222,24,7,6
101928223,2,0,4
101928226,16,28,6
101928227,46,11,6
101928231,22,14,4
101928232,4,2,0
101928238,107,60,60
101928241,0,0,1
101928242,0,0,0
101928243,7,5,9
101928244,3,0,3
101928248,13,3,3
101928253,0,0,0
101928254,20,18,6
101928259,1,0,2
101928266,74,33,35
101928268,20,17,28
101928269,13,2,4
101928270,69,0,2
101928271,0,4,0
101928272,8,2,2
101928273,0,0,0
101928276,0,2,3
101928279,114,130,104
101928280,2,1,4
101928283,57,53,42
101928287,80,34,35
101928290,58,15,5
101928292,0,0,0
101928295,6,21,22
101928298,0,0,0
101928303,49,24,29
101928304,60,13,15
101928306,0,1,0
101928307,665,744,749
101928314,60,63,96
101928318,0,0,0
101928322,36,78,63
101928323,134,46,62
101928324,111,39,28
101928327,48,32,48
101928333,18,33,27
101928334,10,4,16
101928335,58,138,100
101928336,12,7,6
101928340,0,0,1
101928344,25,18,9
101928345,35,27,17
101928353,1,1,0
101928358,36,15,40
101928363,16,12,9
101928364,0,0,0
101928370,61,23,38
101928371,4,9,3
101928372,7,1,0
101928376,35,80,38
101928377,160,179,96
101928378,273,75,61
101928381,7,2,5
101928386,40,84,66
101928388,2,0,0
101928398,1,0,0
101928401,4,1,0
101928402,18,21,12
101928403,47,20,41
101928404,23,7,11
101928406,7,8,4
101928414,75,33,4
101928416,24,75,45
101928417,30,47,50
101928418,0,4,0
101928419,8,9,5
101928420,4,2,0
101928422,1,0,0
101928429,143,76,82
101928433,350,328,274
101928435,21,11,19
101928436,16,33,41
101928437,12,0,1
101928438,112,82,119
101928440,2,0,0
101928441,17,46,41
101928442,1,2,0
101928443,4,5,3
101928445,49,49,49
101928446,56,77,54
101928448,9,9,5
101928449,10,16,30
101928453,70,100,104
101928455,7,5,5
101928460,5,2,9
101928461,134,180,123
101928465,48,86,14
101928468,0,0,0
101928469,62,47,69
101928470,89,21,20
101928471,43,25,18
101928476,2,0,0
101928483,18,2,5
101928484,2,2,2
101928489,161,40,72
101928491,49,41,64
101928492,21,7,8
101928495,0,0,0
101928496,1,3,2
101928505,16,23,16
101928509,36,15,9
101928513,23,4,0
101928514,18,11,12
101928516,0,0,0
101928517,1,0,0
101928519,124,8,15
101928523,8,2,5
101928525,3,0,0
101928526,2,0,0
101928530,16,12,9
101928535,3,1,4
101928536,0,2,1
101928537,20,17,26
101928539,7,32,12
101928540,2,3,6
101928545,228,93,78
101928548,3,2,4
101928550,145,8,8
101928551,4,10,18
101928555,45,54,88
101928559,0,0,1
101928565,4,0,3
101928566,0,0,0
101928567,0,2,0
101928569,9,5,3
101928571,9,14,8
101928578,257,121,159
101928580,1,1,1
101928583,153,23,45
101928587,0,0,0
101928589,0,0,0
101928590,460,564,591
101928592,360,139,111
101928596,45,23,35
101928597,63,5,4
101928600,4,4,0
101928601,63,54,51
101928602,0,8,0
101928603,6,2,0
101928604,22,32,22
101928605,29,5,5
101928607,18,17,5
101928611,0,0,0
101928616,23,16,5
101928618,0,0,0
101928621,160,83,43
101928622,22,41,39
101928626,2,2,3
101928627,16,0,0
101928630,28,16,22
101928632,3,1,0
101928635,38,34,50
101928638,19,6,2
101928639,0,2,1
101928646,10,14,19
101928649,33,22,32
101928650,11,2,4
101928651,127,45,31
101928656,11,3,10
101928661,3,0,0
101928663,20,4,18
101928668,2,8,2
101928673,169,93,104
101928674,1,4,0
101928675,2,0,0
101928682,3,10,2
101928684,0,3,2
101928687,14,6,7
101928689,21,19,19
101928694,15,2,12
101928696,58,50,37
101928697,0,0,0
101928698,0,0,0
101928700,32,49,26
101928701,17,19,11
101928708,16,7,7
101928710,7,0,1
101928718,11,12,17
101928720,2,0,0
101928722,28,7,3
101928726,6,0,4
101928727,113,89,76
101928728,70,38,42
101928730,0,0,0
101928731,283,112,112
101928733,11,33,20
101928734,32,6,16
101928736,144,149,73
101928737,30,39,35
101928738,39,14,5
101928739,7,11,2
101928741,17,33,9
101928744,21,2,4
101928747,142,76,57
101928748,2,0,0
101928751,5,7,14
101928764,59,27,6
101928766,32,5,5
101928767,30,25,19
101928769,0,8,5
101928770,1,0,0
101928773,2,2,2
101928775,0,0,0
101928776,7,2,11
101928778,6,10,2
101928781,21,30,16
101928782,0,0,0
101928784,351,119,68
101928786,199,232,215
101928790,276,171,195
101928791,1,4,10
101928793,12,2,4
101928794,53,45,33
101928795,0,0,0
101928796,0,0,0
101928797,12,8,0
101928804,0,0,0
101928808,3,3,0
101928809,24,13,10
101928812,151,21,57
101928823,6,11,0
101928834,28,7,2
101928837,8,0,6
101928840,195,0,49
101928841,97,99,63
101928844,2,0,0
101928846,139,53,47
101928847,39,38,43
101928850,2,0,0
101928851,4,0,4
101928855,87,65,54
101928857,0,0,0
101928858,4,7,5
101928861,40,33,28
101928865,22,51,16
101928868,4,3,0
101928869,32,48,41
101928870,72,47,62
101928879,0,0,0
101928880,8,4,0
101928882,18,12,0
101928885,106,79,78
101928886,2,0,2
101928887,42,65,67
101928891,20,56,34
101928893,8,0,3
101928894,2,0,0
101928896,28,14,7
101928909,102,99,56
101928911,6,2,4
101928913,95,16,8
101928917,4,5,4
101928922,45,7,11
101928924,0,0,0
101928927,16,2,3
101928931,15,13,8
101928932,1,2,0
101928936,2,8,10
101928937,81,87,95
