Geneid,featureCounts on data 230: Counts_HISAT2 on data 2 and data 1: aligned reads (BAM),featureCounts on data 232: Counts_HISAT2 on data 4 and data 3: aligned reads (BAM),featureCounts on data 234: Counts_HISAT2 on data 6 and data 5: aligned reads (BAM),featureCounts on data 236: Counts_HISAT2 on data 8 and data 7: aligned reads (BAM),featureCounts on data 240: Counts_HISAT2 on data 12 and data 11: aligned reads (BAM),featureCounts on data 246: Counts_HISAT2 on data 18 and data 17: aligned reads (BAM),featureCounts on data 248: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 250: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 254: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 262: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 282: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM)
1501,19409,14941,10912,12325,16150,15965,13791,18241,17997,15914,10437
150135,0,2,0,0,0,0,0,0,0,0,0
150142,26,6,15,4,53,8,4,8,5,4,8
150147,80,42,109,42,224,84,60,52,48,43,31
150159,307,336,152,121,296,136,114,167,246,91,202
150160,2,0,0,4,2,0,0,2,2,0,1
150165,2,0,0,0,0,0,0,0,0,2,1
150185,0,0,0,0,0,0,0,0,0,0,0
150197,4,2,1,3,4,6,2,4,4,5,1
150209,1890,2018,969,1203,2210,1932,1502,2019,1691,1386,1461
150221,5,0,0,0,2,2,0,0,2,0,4
150223,201,127,118,110,142,183,189,150,117,171,107
150244,2,2,4,0,0,4,6,2,1,2,0
150248,11,2,13,2,75,12,10,10,10,3,3
150274,218,155,117,108,278,173,149,229,178,191,159
150275,1605,1058,902,644,1088,872,1109,1163,825,745,1050
150280,30,21,13,15,18,8,6,18,12,6,12
150290,436,472,391,279,1014,192,227,375,369,192,333
150291,10,16,13,17,26,24,25,23,49,17,8
150297,32,152,10,4,4,4,8,54,3,2,30
1503,706,863,659,514,832,699,660,785,597,505,690
150350,0,7,28,0,27,2,4,2,0,2,25
150353,34,42,40,36,54,45,34,40,33,24,40
150356,407,442,127,118,587,169,139,259,204,59,216
150365,22,32,31,22,41,35,20,35,43,22,16
150368,4,2,5,5,28,10,0,6,5,8,3
150372,82,53,22,39,122,38,59,86,45,37,97
150379,47,32,39,22,32,45,35,68,32,24,57
150381,256,259,128,124,375,143,137,229,174,120,198
150383,150,110,88,79,134,103,99,83,88,78,66
150384,18,19,13,6,12,9,23,28,17,15,23
1504,1,1,1,0,2,0,4,0,5,0,0
150465,5667,4182,3673,2853,4209,4253,4068,4124,3701,3289,2947
150468,53,20,15,18,33,63,23,9,24,24,16
150472,948,940,575,597,840,747,879,808,634,655,755
150483,47,36,68,4,330,7,7,8,8,5,47
150527,0,0,0,0,0,0,0,0,0,0,0
150538,127,24,83,48,78,148,94,75,94,70,16
150568,351,254,194,200,278,266,191,225,214,231,138
150572,80,5,33,11,24,50,49,97,24,60,2
150577,0,3,1,1,2,2,4,2,6,0,8
150590,220,168,135,112,203,81,170,116,127,111,139
1506,36,35,29,45,68,44,17,53,48,25,27
150622,5950,4910,1648,1438,5199,2347,2264,3118,2359,1754,3289
150677,12,13,8,1,54,18,5,20,20,0,12
150678,623,420,337,339,638,604,495,587,454,459,290
150681,1,2,0,0,2,0,2,0,0,0,0
150684,879,727,499,457,768,614,518,709,474,585,495
150696,95,124,109,125,201,157,72,193,142,85,67
150709,1305,1323,789,677,1390,861,722,1322,946,718,1172
150726,3358,3067,2956,3955,3291,5157,4810,5169,6927,4384,2251
150737,404,299,275,106,798,154,199,150,136,97,236
150759,912,2395,1090,2362,2536,1917,994,3080,3454,2270,1386
150763,185,118,78,59,269,97,101,154,121,60,106
150771,43,13,15,6,25,24,16,27,11,14,10
150776,373,317,293,140,671,517,302,334,597,235,337
150786,1428,863,930,838,606,535,597,934,600,800,962
1508,13078,10294,8403,5680,10822,10867,9379,9011,7705,5836,7120
150864,1760,1535,1173,1037,1353,1515,1780,1551,1542,1058,1367
1509,2550,2334,1289,1090,2552,2310,2292,2106,1599,986,1481
150921,0,0,0,4,3,0,4,0,2,0,0
150935,3,3,5,4,4,5,6,10,8,12,0
150946,981,1294,767,781,1403,913,757,1006,1104,709,1047
150962,1023,797,685,518,960,676,822,782,787,540,758
150967,3862,2907,2901,1678,2279,3328,3803,2583,2607,1692,2226
150992,4,2,6,2,4,4,12,6,6,0,5
151,81,50,12,6,31,6,8,17,2,6,34
1510,2,0,2,2,1,0,2,2,2,5,6
151009,464,367,496,391,249,611,451,470,560,388,209
151011,3065,2786,1071,929,3354,896,1149,1508,1016,642,1323
151050,2638,2543,1657,1475,3034,1572,1902,2798,2034,1578,1829
151056,353,371,315,408,525,348,374,444,390,310,445
1511,4,0,0,0,2,2,0,0,4,1,4
151112,34,24,57,11,117,19,32,20,7,11,53
151121,10,12,4,0,10,5,6,4,5,19,7
151126,672,586,688,550,509,1431,996,849,868,679,220
151171,20,27,33,54,43,80,40,67,72,14,17
151174,89,52,50,41,68,26,58,49,18,13,32
151176,94,71,50,77,79,82,98,84,91,88,36
151188,486,291,221,142,474,265,277,298,234,149,266
151194,1012,728,473,429,737,551,574,815,562,436,582
151195,1167,835,904,758,915,898,1079,963,1192,733,608
1512,5036,1987,1436,954,3897,1254,1389,2218,1122,836,2039
151230,19,18,6,15,9,16,17,11,10,10,4
151234,13,28,24,13,34,22,13,25,18,14,16
151242,326,127,102,62,139,120,137,174,129,137,88
151246,557,422,267,270,419,225,224,372,276,234,341
151254,326,416,193,132,484,248,326,382,346,182,317
151258,83,165,92,75,135,305,90,158,203,179,76
151278,0,2,0,0,0,0,0,0,0,0,0
151295,9,9,6,11,12,10,12,11,13,0,2
1513,191,254,107,147,250,217,153,252,175,134,149
151300,0,0,0,0,2,0,0,0,8,0,0
151306,11,10,2,8,11,11,8,4,8,2,4
151313,989,822,547,473,976,699,681,671,573,423,670
151325,6,3,4,0,8,7,0,0,3,8,0
151354,1390,1602,1281,895,822,1728,1442,1336,1212,1098,1048
151393,785,789,444,530,758,596,435,783,578,456,473
1514,3395,2243,1548,1129,3165,1742,1696,1958,1211,1097,1600
151449,13,4,2,6,14,23,19,11,17,10,0
151473,1817,1389,1325,1090,1012,1667,1758,1372,1072,1153,1128
151475,9,6,6,5,15,7,11,23,1,6,14
151477,157,127,70,95,146,99,120,245,153,131,108
151484,38,39,54,36,65,46,24,33,39,21,134
1515,79,77,45,14,81,27,15,28,37,17,59
151507,78,70,66,77,99,53,64,87,100,98,107
151516,158,165,57,51,169,87,77,155,130,48,92
151525,468,500,275,231,523,518,451,510,399,349,470
151531,241,299,214,225,270,251,205,273,206,218,211
151534,4,4,4,4,4,0,6,0,4,0,4
151556,7327,5625,4473,3224,3630,5404,5609,4877,4379,3435,5767
151613,6248,6709,4452,4364,7757,4663,5148,6515,5820,4048,5281
151636,859,630,472,359,1066,447,410,766,377,281,572
151647,135,104,65,50,72,89,96,64,71,69,23
151648,122,101,50,35,96,61,58,111,92,35,89
151649,57,113,78,62,73,88,78,88,105,40,61
151651,579,846,538,102,3470,208,485,271,223,186,682
151658,3,10,12,0,50,2,0,3,0,0,5
1517,36,49,8,23,39,16,13,40,20,20,31
151742,11892,8687,7701,5357,7025,9976,11074,7957,7369,5306,5496
151790,2521,1975,1829,508,6424,392,517,640,438,281,1246
1518,0,0,0,10,0,1,1,0,1,5,0
151827,957,715,616,355,1728,459,475,558,503,350,721
151835,274,258,195,189,151,737,304,680,402,480,64
151871,1,0,0,0,0,0,0,0,0,3,0
151887,2549,1726,639,377,1580,309,613,812,618,309,964
151888,30,27,11,17,21,16,12,26,16,14,8
1519,0,0,0,0,1,0,1,0,0,0,0
151903,823,600,358,426,644,486,509,501,367,422,346
151963,578,396,325,298,318,505,457,359,264,321,334
151987,2744,1717,1350,1037,2007,1592,1660,1631,1220,1201,1218
152,80,52,71,78,83,77,112,110,98,89,115
1520,907,555,478,382,1418,545,601,855,226,293,752
152002,502,475,343,390,444,416,473,436,357,318,344
152006,3249,2762,2229,1843,2793,2700,3132,3039,2646,2101,2174
152007,523,253,93,87,531,110,100,186,157,69,195
152015,45,64,25,43,80,58,22,57,69,52,15
152024,3,4,3,2,4,0,2,0,5,0,3
152065,10,6,10,4,24,12,5,10,10,7,17
152078,62,88,19,17,9,22,54,35,17,15,32
152098,421,386,233,260,338,369,456,555,416,411,299
1521,23,21,3,6,14,18,5,12,12,10,9
152100,295,167,161,164,299,256,247,266,159,143,199
152110,1925,2229,2368,1571,3404,1899,1812,1715,1746,1572,2027
152118,2,4,3,2,2,2,4,0,3,0,3
152137,6942,6062,3203,3152,5377,3329,3554,5366,3902,3770,4129
152138,0,6,11,15,8,7,14,16,11,10,0
152185,1656,1618,1290,1058,2640,1079,1074,1603,1397,1139,1153
152189,81,51,24,53,26,42,71,51,50,47,23
152195,36,68,48,43,113,50,75,69,71,34,60
1522,1296,952,647,364,1213,594,757,790,473,342,640
152206,479,452,488,225,1857,271,203,414,359,294,473
152217,448,354,300,248,403,414,400,369,278,281,323
152225,5,0,2,0,2,0,0,2,0,0,1
152273,202,219,153,208,243,279,225,274,254,288,157
1523,4147,4464,2706,2547,5212,3447,2930,3780,4157,3048,3317
152302,104,108,113,105,173,194,129,147,173,149,84
152330,2493,2245,2184,1771,1259,2771,2929,1829,2076,2172,884
1524,2521,730,1618,1607,3066,1162,1644,2804,263,1081,1906
152404,2048,1884,1289,982,3011,1551,1599,1625,1556,772,1450
152405,0,7,17,2,17,21,5,7,12,9,4
152485,2614,3564,1926,2451,3086,2330,2551,3531,3278,2537,3029
1525,3415,2342,2014,1448,2015,1641,2108,1737,1542,1458,1743
152503,3493,3090,1569,1436,4146,1850,1728,2465,2061,1239,1946
152518,1215,1265,794,706,1388,967,1017,1231,951,777,1001
152519,72,80,85,39,35,53,62,69,40,30,103
152559,2426,1638,1360,833,1944,1504,1711,1321,1010,856,1551
152573,31,43,5,0,6,11,9,54,5,0,39
152578,0,8,4,2,4,0,7,3,4,6,4
152579,1272,1114,791,678,1153,1062,1110,1104,862,716,761
152586,11,11,28,1,79,0,3,7,0,0,7
152641,12,7,4,2,16,16,7,10,4,4,3
152687,1453,1245,929,959,1538,1206,1210,1400,1201,943,857
1527,0,0,0,0,0,0,0,0,0,0,0
152742,105,68,81,69,67,59,106,118,85,42,86
152756,405,311,211,190,445,248,271,311,227,151,311
152789,5770,5539,4099,5499,4464,6077,6063,7375,5965,4949,4889
1528,626,416,293,287,445,364,428,456,318,284,291
152815,1593,1575,1015,782,2064,1162,1050,1543,1161,747,1268
152816,46,13,14,7,37,10,20,26,19,6,24
152831,201,277,143,213,161,149,140,172,206,71,92
152877,69,104,35,31,127,52,33,99,55,59,39
152926,13825,8442,7532,6905,8442,9682,10474,9923,7781,8790,7175
152940,20,16,10,11,22,19,17,24,27,17,19
152992,573,775,495,777,1119,842,657,1145,1275,771,697
153,422,428,553,418,316,676,553,478,564,439,445
153020,1139,1063,987,447,1392,926,833,678,679,627,1149
153090,2045,2337,1642,2101,2332,2872,2489,2992,2922,2464,1522
153129,1208,868,664,498,1000,677,648,823,720,631,756
153163,28,60,38,22,75,19,9,12,30,6,44
153201,4,0,5,6,2,1,1,1,4,3,1
153218,30,34,13,32,42,21,34,29,20,10,14
153222,7335,5086,3232,2773,5534,4559,4832,4876,3922,3196,4008
153241,3107,2685,1780,1262,3155,1645,1665,2060,1477,1357,2207
153328,454,530,265,214,460,245,162,317,341,261,305
153339,10637,7547,4961,3868,5711,5768,6919,6489,4370,4745,4889
153364,1536,1432,1068,644,857,992,1331,1130,891,797,1223
153396,1611,1445,1020,976,1507,1291,1412,1407,1007,955,1189
1534,1385,1316,1007,839,1464,1322,1417,922,1065,554,847
153443,1587,1375,842,813,1220,914,999,1279,950,880,1002
153469,54,98,37,28,62,71,56,57,63,40,60
153478,163,138,241,45,573,24,28,50,47,25,70
1535,253,171,171,136,400,113,136,247,50,65,201
153527,5767,3348,3329,2851,4068,4037,4421,3853,2605,3707,3093
153562,0,0,0,0,0,2,2,2,0,4,0
153571,35,53,17,26,37,2,21,21,33,6,34
153572,102,164,39,20,100,2,63,51,82,20,99
153579,205,247,306,686,422,261,365,499,237,305,116
1536,2154,1054,1205,730,3059,1050,1451,2277,222,751,1393
153642,672,459,315,226,400,332,442,342,292,194,301
153643,944,522,932,46,4016,89,52,74,53,26,490
153657,291,308,265,159,609,150,206,199,154,113,240
153684,75,115,122,36,424,60,57,107,77,50,74
1537,1791,1573,981,840,1338,1478,1431,1279,944,918,1103
153733,2334,1622,1113,1077,1573,1093,1337,1569,997,968,1105
153743,341,264,161,142,242,216,277,169,135,189,207
153745,0,2,0,1,0,0,2,0,0,2,0
153768,545,448,417,341,757,529,459,701,591,637,309
153769,70,46,218,96,268,137,107,105,102,108,439
153770,63,46,31,33,62,63,53,56,56,34,46
1538,6,0,0,2,2,1,2,0,4,0,4
153830,5150,4039,3498,2141,3278,3881,3979,2981,2817,2065,2902
1539,0,0,0,2,1,0,4,1,0,0,0
153910,6,2,0,4,6,8,2,3,6,5,0
153918,13,23,17,26,18,10,9,37,25,13,20
154,373,199,160,173,420,136,158,255,124,114,190
1540,13438,11942,7342,5120,7805,7572,9033,7994,6345,5535,8336
154007,1452,1089,717,586,1324,691,808,1027,817,723,918
154043,889,628,225,143,891,306,271,322,269,169,362
154064,3,2,3,3,1,2,3,1,10,1,2
154075,74,180,53,83,57,33,101,107,84,50,87
154089,3,0,0,0,0,0,0,2,2,0,0
154091,2241,1895,1236,1179,1667,1078,1801,1434,1582,913,1438
154092,54,17,6,8,119,23,15,23,3,7,27
154141,163,257,63,43,245,61,48,53,47,34,91
154150,2,4,4,8,2,12,11,17,8,2,0
154197,31,86,45,14,37,46,29,48,34,44,17
154214,2497,1856,1230,912,1982,1077,1517,1685,1471,862,1978
154215,4674,3243,2176,1741,2945,2113,3591,2607,2505,1466,1478
154288,2,4,6,7,2,4,5,5,2,0,0
1543,16,40,7,11,3,26,13,17,40,16,6
154313,468,425,851,171,2405,160,188,212,140,169,399
154386,29,27,19,22,58,15,33,35,25,36,30
1544,1,1,0,1,2,1,2,0,0,0,2
154442,74,38,25,18,54,47,53,57,13,21,34
154449,18,17,5,2,33,8,6,9,20,4,10
154467,158,116,66,66,142,82,91,113,86,88,58
1545,573,713,341,314,800,388,431,398,412,151,392
154661,2312,2372,1763,1317,1146,2039,2207,2102,1590,1593,2068
154664,38,34,50,27,103,7,16,27,18,4,63
154743,1654,1223,867,716,937,1007,1146,1153,896,880,860
154761,5,6,2,1,0,4,2,9,2,3,0
154790,188,265,111,150,95,274,244,244,249,121,111
154791,73,53,34,29,62,42,59,55,28,29,44
154796,9456,9341,4947,4609,11844,6003,5675,7759,6800,4832,7585
1548,15,48,24,58,50,64,31,53,112,11,13
154807,4194,3066,2313,1766,2383,2823,3340,2539,2248,1587,1944
154810,4553,5036,2916,2585,5195,3077,3375,4879,3255,2848,3158
154822,6,30,8,6,49,19,17,41,24,14,6
154860,24,104,62,11,151,26,8,50,9,6,92
154865,1014,913,990,368,2729,471,402,552,486,334,797
154872,5,0,0,0,2,2,3,3,2,0,1
154881,2869,2335,1327,1476,2198,1480,1773,2122,1706,1078,1698
1549,16,32,12,48,28,37,4,44,73,17,6
154907,4,2,9,3,4,2,1,1,6,0,0
155,0,0,0,4,4,5,4,9,5,2,2
155006,8,9,6,19,10,9,11,9,17,18,10
155038,516,352,309,284,584,349,350,537,158,363,403
155051,8,9,4,6,21,11,9,18,8,20,6
155054,404,348,222,202,370,329,302,296,295,337,229
155060,223,475,233,367,697,361,294,571,460,325,247
155061,739,675,471,457,808,782,755,729,785,430,531
155066,3796,3080,2104,2142,2710,3640,3915,3308,2659,2064,1888
1551,34,20,13,2,13,14,24,20,25,12,20
155184,0,0,2,0,0,0,0,1,0,0,2
155185,285,385,265,461,421,339,305,458,602,258,327
1553,0,8,5,3,5,2,3,10,7,0,3
155368,18,13,23,8,50,33,13,4,15,9,2
155370,1545,1553,772,757,1424,1046,1238,1215,829,814,953
155382,92,68,47,61,77,83,98,118,66,71,59
155400,207,244,101,192,291,260,176,334,292,236,119
155435,6296,7240,3823,5648,7259,5319,4148,8185,7005,5356,4903
155465,13,8,19,1,65,0,0,0,1,0,4
1555,0,1,0,1,2,1,1,0,1,0,0
1556,22,57,34,52,50,43,37,84,88,49,25
1557,73,54,66,75,97,52,96,181,124,128,11
1558,98,146,124,121,217,173,124,196,193,131,143
1559,3,0,0,4,1,0,3,2,5,0,0
156,3204,2316,2145,2688,2865,3983,3716,3529,3604,3400,1738
1562,45,32,46,49,51,50,71,56,67,40,10
1564,0,0,0,2,0,0,0,1,0,2,1
1565,5,0,13,16,12,1,2,3,13,3,9
157,8857,7318,5524,6634,4848,8162,8275,7577,7355,6686,4467
1571,277,223,179,247,255,339,139,337,384,221,144
1572,10,13,16,8,18,9,4,23,37,13,9
157247,957,1222,712,688,1182,812,770,986,1124,623,842
157273,0,2,0,0,0,0,0,0,0,0,0
157285,206,205,279,197,348,396,245,170,311,272,220
1573,1534,1576,579,673,1804,663,833,1381,1018,611,1253
157310,100,134,69,33,149,82,65,114,42,54,54
157313,32,20,13,12,63,11,10,18,14,0,21
157376,91,113,57,74,29,33,74,67,41,25,55
157378,4401,2842,2380,2312,2217,3265,3654,3006,2522,3038,1604
157381,17,21,37,19,49,24,16,24,16,13,12
157506,602,387,424,301,666,245,327,413,345,232,666
157556,19,19,15,7,19,14,16,18,15,18,10
157567,4464,2894,2370,1827,2198,2853,3355,2599,1868,2166,1935
157570,50,48,25,35,66,50,40,27,43,19,31
157574,529,638,527,490,657,721,596,638,532,490,582
1576,75,55,40,61,81,60,48,91,82,30,58
157627,1469,1512,1572,2076,1819,3184,2420,2823,3619,1608,1350
157638,3114,1619,935,462,3141,501,764,806,724,306,962
157657,800,592,438,301,1085,339,466,405,393,204,369
157680,8902,8967,6000,6141,9951,7307,6791,8260,7832,6221,6559
157693,38,39,16,5,22,66,12,47,38,21,24
157695,1386,1340,1135,841,1592,987,1229,1351,1147,716,1188
157697,1340,1354,776,1045,1566,998,1017,1539,1035,910,761
1577,237,239,191,148,277,252,229,264,341,135,219
157724,0,2,0,0,0,0,0,5,0,0,0
157739,16,33,10,16,52,25,8,39,12,6,23
157753,1254,654,481,331,610,402,524,358,371,260,331
157769,3716,2613,1754,1152,2459,1775,2328,2132,1510,1330,1888
157773,195,191,146,116,296,175,119,202,145,98,167
157777,256,326,167,163,310,203,201,304,228,117,221
157807,1048,950,785,589,717,885,896,881,642,706,868
157848,0,0,0,1,1,7,0,4,2,0,0
157855,0,3,4,0,22,2,2,2,6,1,0
157869,425,172,84,72,438,133,129,132,131,49,153
1579,5,13,9,13,22,14,6,14,22,8,10
157922,7414,6521,4510,4991,6040,6103,6604,6479,5875,5151,4986
157927,4,0,1,0,0,2,2,4,3,0,0
157983,29,11,15,11,31,6,6,22,1,8,19
158,1658,1328,1028,844,1324,1132,1257,1230,904,865,913
1580,6,4,4,4,39,2,22,2,4,0,3
158035,83,126,58,36,257,68,41,97,53,50,110
158038,2544,2409,2617,2106,1393,3236,3084,2250,2687,2379,1229
158046,67,119,47,54,221,20,51,53,55,26,58
158055,8,12,22,4,47,12,9,4,15,7,6
158056,112,121,105,90,309,121,85,173,121,83,73
158062,1,0,1,3,5,0,0,6,3,0,0
158067,103,73,109,56,439,70,57,61,73,36,106
1581,10,13,1,2,0,9,6,2,8,5,2
158131,106,106,152,60,84,92,114,221,109,46,17
158135,1780,2087,1009,1272,2490,2098,1509,2202,2036,1551,1023
158158,90,124,99,17,425,29,64,51,43,10,99
158160,96,152,82,95,161,142,125,123,107,73,99
1582,14,12,11,16,25,17,16,17,14,10,12
158219,1383,1278,953,790,728,1543,1162,1291,1048,963,726
158228,150,130,83,51,216,64,113,63,82,32,116
158234,1449,1194,801,759,1451,967,865,1182,977,699,984
158248,33,35,56,19,217,18,21,20,23,23,25
158257,320,229,274,151,329,344,278,313,164,174,282
158293,2447,2238,1388,1480,1988,2112,2079,2211,2066,1551,1483
158297,17,11,23,8,46,7,6,7,8,3,18
1583,40,68,59,21,338,41,18,22,33,20,40
158314,0,0,5,3,13,2,3,2,4,4,2
158326,1492,1393,1032,537,2425,612,547,1214,937,551,725
158358,9213,7836,5109,5493,8671,6278,6746,7830,6940,6028,5898
158376,25,25,21,36,56,22,16,32,39,10,11
158381,22,16,10,14,28,26,11,15,23,13,15
158399,40064,37717,27269,24616,25782,37233,43141,36601,32207,26054,28942
1584,0,0,0,0,2,0,0,0,0,0,2
158401,501,635,430,203,590,292,298,489,376,183,627
158405,2359,2480,1179,821,2829,1125,1087,1894,1649,793,1848
158427,1217,990,583,602,1305,887,791,962,796,555,742
158431,1484,1805,1153,1580,2058,1693,1411,2081,1773,1247,1363
158434,19,84,48,29,141,52,20,49,44,14,70
158435,46,46,42,52,84,75,52,62,64,42,39
158471,24701,17347,8659,6089,23246,15567,13358,15397,10677,6173,10140
1585,2,0,0,0,2,0,2,0,0,0,0
158506,11,18,16,6,19,15,22,21,25,15,9
158511,0,6,2,3,5,9,0,4,3,7,4
158521,0,1,1,0,1,0,0,4,2,0,4
158572,100,54,71,25,124,61,56,49,46,42,47
158584,110,186,107,111,138,164,131,206,132,98,166
158586,835,748,593,393,727,691,691,717,535,446,637
1586,26,29,25,17,64,32,15,16,52,17,25
158696,328,408,362,360,304,573,440,402,456,377,326
1587,0,0,0,2,0,0,1,0,5,0,1
158724,6,16,15,27,9,68,38,22,43,26,15
158747,3220,2234,965,728,1954,901,1114,1256,773,547,1221
158763,246,787,287,155,394,97,238,245,207,141,600
158787,294,215,294,45,1363,34,52,60,61,36,187
158798,101,106,118,25,504,35,33,32,16,16,47
1588,58,97,25,13,22,9,20,38,12,1,85
158800,12,23,19,10,20,29,0,32,27,2,8
158801,140,161,158,62,310,71,55,121,96,40,141
158809,0,0,0,0,0,0,0,0,0,0,0
158830,2,2,2,0,2,0,0,1,1,0,2
158833,9,15,7,16,17,19,3,15,10,2,10
158835,2,0,0,0,2,8,0,2,0,0,0
158866,1127,900,547,362,731,575,642,619,530,423,587
158880,830,654,463,312,1001,344,454,479,311,275,573
1589,0,0,0,0,0,0,0,0,0,0,0
158931,3416,2608,1825,2124,2514,3067,3190,2455,2316,2500,1615
158960,241,148,123,113,321,135,100,148,84,95,109
158983,2,0,0,0,0,0,2,0,0,0,0
159,5891,3735,2665,2072,3681,3113,3721,3077,2216,2190,2254
1590,0,0,0,0,0,0,1,0,2,0,1
159013,824,645,431,394,873,426,470,532,507,322,535
159090,2316,1890,1455,1482,1963,1695,2289,2261,1864,1535,1864
159091,346,276,236,214,701,209,195,251,228,158,365
1591,3,34,47,40,31,48,12,28,10,35,21
159119,10,10,14,12,6,16,14,16,24,11,5
159125,0,0,0,0,0,0,0,0,0,0,0
159162,1,1,0,0,0,0,0,0,0,0,0
159163,0,0,0,0,0,0,0,0,0,0,0
159195,8734,8176,2565,2537,11940,3822,3052,5856,3941,2238,4131
1592,179,83,57,83,39,60,99,103,42,62,46
159296,0,2,0,0,0,0,0,2,0,0,0
1593,1214,899,364,274,1403,351,332,484,391,205,518
159371,94,106,51,55,101,89,34,66,69,57,58
1594,7,25,10,16,20,14,9,25,17,18,16
1595,11223,7147,4916,3859,5027,5538,6996,5454,4228,3092,4682
159686,676,491,806,430,2874,108,361,336,331,309,456
159963,65,44,49,20,61,20,29,42,27,17,63
159989,70,102,185,13,571,21,16,49,15,15,79
16,14823,11156,6952,5820,10927,11310,10573,9662,7342,6353,7898
160,1883,2017,1405,1490,2005,2538,2287,2085,2008,1318,1086
1600,393,595,452,813,511,559,705,709,906,663,304
160065,14,36,16,18,19,43,26,31,33,29,32
1601,728,751,454,407,1026,497,458,708,372,403,500
160140,222,220,153,75,453,91,101,157,103,75,149
1602,690,488,973,364,692,782,721,610,631,496,1436
160287,34,94,48,44,48,109,112,80,131,55,52
160298,82,105,68,93,102,81,135,142,146,59,81
1603,1953,1762,883,630,2110,937,982,1268,994,792,1075
160313,3,10,1,0,4,2,0,0,1,0,4
160335,6756,4490,1818,1458,6829,1948,2211,3337,2279,1419,2465
160364,6,1,2,2,22,9,2,10,0,4,2
160365,7,14,19,17,26,9,6,10,2,3,15
1604,2893,1331,726,460,1446,534,830,844,601,483,745
160418,4523,3358,2411,1847,2742,2822,3509,2711,2137,1920,2432
160419,1,10,8,11,0,11,4,18,7,2,10
160428,1140,1304,824,968,1263,1184,1009,1462,1283,1044,759
160492,456,390,512,87,1640,35,66,134,91,41,323
1605,2682,2386,1446,1324,3359,1787,1796,1861,2247,1181,1826
160518,7945,7475,5907,4803,5921,6732,7613,6994,6473,5830,5854
1606,625,547,743,777,801,871,797,896,1007,833,465
160622,520,490,458,484,434,932,559,691,672,456,284
1607,11398,7952,10854,9025,8745,10340,11584,12234,10557,12339,10321
160728,19,24,16,15,9,13,19,42,12,17,15
160760,1668,2246,1529,1031,1467,1659,1656,1754,1308,1099,1413
160762,0,0,0,0,0,0,0,0,0,0,0
160777,145,102,228,43,1239,17,29,37,59,22,128
1608,5764,5846,2384,3602,2821,2416,3902,4732,3858,2207,2819
160851,7219,7471,7245,4163,5384,5405,7032,7031,5756,4331,10681
160857,452,334,178,101,531,174,175,221,164,119,238
160897,3483,2371,1995,1144,2305,1954,2571,2242,1468,1293,1670
1609,511,620,418,623,774,891,767,814,766,534,342
161,165,129,141,118,202,286,211,154,159,114,119
1610,129,106,20,17,140,18,23,43,35,14,33
161003,99,51,367,8,1144,2,13,0,6,0,175
1611,619,536,396,331,739,447,475,708,622,426,465
161142,24,85,31,33,69,60,41,63,58,54,47
161145,354,444,319,304,330,569,473,454,416,445,236
161159,5,1,4,0,4,0,0,0,3,0,1
161176,899,787,389,237,1845,258,227,572,423,221,459
161198,196,277,176,161,215,221,230,212,152,160,136
1612,4551,4961,3341,3443,4881,4634,3807,4858,4008,3596,4065
161247,0,8,2,6,6,2,2,3,4,2,2
161253,40,88,89,7,150,20,16,22,45,13,111
161291,15,32,32,9,34,31,11,23,19,29,49
1613,926,842,634,498,943,885,859,1013,769,615,538
161357,3707,3817,2320,2749,2084,3024,3332,3873,3245,2734,2410
161394,614,706,639,338,2177,329,423,498,338,349,547
161424,1340,1040,717,524,1351,870,928,847,779,483,705
161436,5053,5051,3788,3518,4740,3999,3854,5169,4038,3758,4531
161497,9,65,43,92,50,91,61,111,122,64,35
1615,5591,4356,2693,2192,4084,2350,2891,3339,2413,2148,3231
161502,141,113,283,36,837,66,38,58,80,37,102
161514,0,3,2,0,2,2,0,2,0,0,2
161582,27,36,40,34,101,32,31,33,23,18,38
1616,2,0,0,2,0,0,2,0,0,1,0
161635,45,38,14,37,72,30,37,47,35,20,42
1617,0,0,0,0,0,0,0,0,0,0,0
161725,98,76,56,54,75,40,52,88,83,42,54
161742,10912,7299,5516,4933,6566,4858,6542,7897,6362,5780,8150
161753,8,11,6,13,26,7,4,16,7,6,4
161779,600,482,334,245,327,323,354,316,254,227,289
1618,4,10,0,0,2,0,2,7,2,0,0
161823,1117,1283,581,767,1149,829,849,883,757,735,819
161829,42,13,23,14,20,24,25,23,11,26,5
161835,1008,1034,925,944,1715,783,954,1274,974,1053,1113
161882,90,76,71,98,130,136,82,178,103,80,58
161931,7,15,15,31,16,17,30,9,20,19,31
162,3620,3035,2183,2083,3357,2975,2984,3263,2312,1994,2343
1620,4788,3807,2859,2209,2501,3771,3437,3020,2842,2294,2811
162073,1243,923,735,582,1373,725,832,1141,796,611,829
162083,0,6,0,0,0,0,1,8,0,0,2
1621,17,23,6,21,31,27,24,65,40,35,19
1622,6562,4439,2000,2376,5222,2400,2533,3454,3020,2166,2346
162239,2452,1490,1420,996,1110,1477,1634,1320,1091,1047,1245
