Geneid,featureCounts on data 410: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 418: Counts_HISAT2 on data 30 and data 29: aligned reads (BAM),featureCounts on data 420: Counts_HISAT2 on data 32 and data 31: aligned reads (BAM),featureCounts on data 428: Counts_HISAT2 on data 40 and data 39: aligned reads (BAM),featureCounts on data 432: Counts_HISAT2 on data 44 and data 43: aligned reads (BAM),featureCounts on data 436: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 442: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM),featureCounts on data 444: Counts_HISAT2 on data 56 and data 55: aligned reads (BAM),featureCounts on data 456: Counts_HISAT2 on data 68 and data 67: aligned reads (BAM)
100126336,0,0,0,0,0,0,0,0,0
100126337,0,0,0,0,0,0,0,0,0
100126338,0,0,0,0,0,0,0,0,0
100126339,0,0,0,0,0,0,0,0,0
100126340,0,0,0,0,0,0,0,0,0
100126341,0,0,0,0,0,0,0,0,0
100126342,0,0,0,0,0,0,0,0,1
100126343,7,5,2,6,6,14,1,3,1
100126345,0,2,0,0,0,1,0,0,2
100126346,0,0,0,0,0,0,0,0,0
100126347,0,0,0,1,0,0,0,0,0
100126348,4,1,3,12,7,0,1,4,15
100126349,16,5,8,13,11,3,3,4,5
100126350,0,1,0,0,2,0,3,0,1
100126351,1,0,0,0,0,0,0,0,0
100126352,0,0,0,0,0,0,0,0,0
100126354,0,0,0,0,0,0,0,0,0
100126355,0,4,1,0,3,2,1,0,2
100126356,0,1,0,0,1,0,0,0,0
100126447,3,0,1,0,0,2,0,0,0
100126476,0,0,0,0,0,0,0,0,0
100126481,0,0,0,0,0,0,0,0,0
100126484,0,0,0,0,0,0,0,0,0
100126488,13,26,0,3,16,7,2,16,6
100126510,0,0,0,0,0,0,0,0,0
100126512,14,10,4,5,38,5,8,8,13
100126514,0,0,0,0,0,0,0,0,0
100126517,0,1,0,2,0,2,0,0,0
100126520,6,3,2,2,2,0,1,0,0
100126533,1,4,1,1,4,0,5,2,2
100126693,0,0,2,0,0,0,0,0,0
100126780,0,0,0,0,0,0,0,0,0
100126781,0,0,0,0,0,0,0,0,0
100126784,625,549,382,900,427,606,194,280,440
100126791,171,84,37,66,74,16,34,77,45
100126793,170,117,78,263,122,154,50,60,80
100126798,0,0,0,0,0,0,0,0,0
100126799,0,0,0,0,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0,0
100127206,5,3,5,15,5,3,0,3,8
100127888,18,6,7,6,1,14,2,4,12
100127889,97,91,45,109,149,19,77,61,91
100127967,2,0,0,1,0,1,0,0,0
100127983,16,24,15,44,54,15,18,17,32
100128006,11,9,11,9,10,13,6,5,3
100128023,0,0,0,0,0,11,2,4,2
100128025,2,0,2,7,8,1,2,4,6
100128054,50,27,16,62,53,23,10,9,30
100128055,7,6,5,10,14,15,4,4,6
100128071,0,1,0,2,0,6,0,2,2
100128076,4,16,0,3,2,4,3,3,9
100128081,152,92,83,115,53,18,19,40,103
100128098,6,5,5,14,5,0,5,2,5
100128108,10,11,0,15,10,17,10,8,7
100128124,6,3,1,4,0,0,0,5,4
100128126,44,50,14,44,33,18,15,13,11
100128127,44,34,34,57,28,27,16,14,30
100128139,0,0,0,0,1,0,0,1,0
100128164,61,31,21,51,23,30,31,13,71
100128176,55,31,19,58,25,8,10,8,21
100128191,14,16,14,70,13,6,13,14,32
100128233,2,4,1,22,9,0,2,4,8
100128239,159,92,115,234,99,143,71,70,225
100128252,719,943,753,1681,846,478,426,552,1154
100128264,561,769,394,1257,509,119,336,363,764
100128285,37,25,16,33,14,9,6,6,33
100128288,280,222,112,464,272,33,110,153,195
100128292,0,0,0,0,0,0,0,0,0
100128317,11,4,2,5,11,0,4,2,1
100128327,4,8,0,10,4,3,3,3,10
100128338,0,0,0,1,1,0,0,0,0
100128361,97,56,41,128,54,52,49,46,65
100128378,4,1,0,4,0,0,2,0,2
100128385,12,13,18,37,22,10,7,4,11
100128398,385,311,287,450,365,74,114,167,299
100128420,1,0,3,2,6,2,2,2,0
100128494,191,136,51,200,108,98,66,73,67
100128496,2,1,2,0,2,0,3,2,2
100128505,142,98,47,122,91,41,47,54,63
100128511,12,9,11,16,11,7,11,5,15
100128531,130,92,67,143,59,94,41,49,72
100128553,3,2,0,4,6,2,2,0,3
100128554,187,99,136,392,196,27,97,145,152
100128560,9,11,12,16,13,19,2,13,11
100128568,19,7,10,9,10,19,5,1,7
100128569,76,43,33,108,33,47,23,27,43
100128573,6,10,4,9,7,2,0,3,8
100128590,619,522,179,663,443,88,233,314,410
100128593,1,3,0,2,0,7,0,0,1
100128627,112,50,28,73,56,6,26,32,28
100128640,104,84,29,91,58,80,25,37,62
100128653,44,42,9,85,20,52,13,19,33
100128675,64,16,20,147,47,57,11,47,44
100128682,1,0,0,0,1,0,0,1,0
100128714,74,43,26,84,33,19,9,25,36
100128731,276,323,249,639,443,329,154,155,350
100128750,3,1,0,0,3,2,0,2,1
100128770,8,12,1,7,8,14,5,1,4
100128782,1014,617,510,913,867,305,402,472,662
100128787,0,0,0,0,0,0,0,0,0
100128788,14,14,2,14,6,13,4,5,13
100128811,10,12,12,10,6,0,4,12,2
100128822,96,94,81,89,112,14,80,67,61
100128881,27,17,19,46,22,33,12,13,32
100128885,37,41,12,63,61,10,16,15,22
100128890,151,106,144,200,124,41,36,105,83
100128893,0,0,0,0,0,0,0,0,0
100128905,0,0,2,0,0,0,0,0,0
100128927,11,11,3,30,17,33,6,9,10
100128946,63,48,45,65,51,61,26,25,37
100128977,0,0,0,2,0,4,0,0,0
100128993,2,6,0,2,4,2,0,0,0
100128998,0,0,3,1,0,0,0,0,0
100129027,27,11,4,17,12,30,3,4,5
100129034,1906,1523,711,2973,1556,652,663,830,1266
100129046,66,60,21,76,42,29,27,30,24
100129055,42,40,22,63,68,6,31,34,47
100129066,0,0,0,1,0,0,0,0,3
100129075,30,26,22,50,32,0,19,28,33
100129083,0,0,0,0,0,0,0,0,0
100129094,0,2,0,6,6,2,0,0,2
100129098,0,0,2,2,2,0,0,0,0
100129128,14,6,4,10,19,1,0,0,9
100129138,11,8,24,13,9,53,6,4,6
100129148,21,20,10,13,26,1,8,19,8
100129175,0,0,2,0,0,0,0,0,0
100129195,136,156,87,185,154,42,72,103,119
100129196,11,5,10,14,15,25,2,14,3
100129203,116,148,56,167,156,80,32,53,127
100129213,30,26,2,34,47,6,20,11,13
100129215,76,36,34,84,25,60,19,18,48
100129216,30,17,9,23,32,1,7,12,10
100129223,680,605,390,620,619,212,328,351,411
100129239,0,0,0,0,0,0,0,0,0
100129250,83,133,73,191,142,52,40,71,119
100129269,5,15,7,11,9,2,0,3,11
100129271,0,0,0,0,0,0,0,0,0
100129278,2,2,0,2,9,4,2,0,8
100129307,0,0,1,0,0,0,0,1,3
100129316,39,20,11,37,20,20,7,11,11
100129345,2,0,0,2,2,0,0,0,0
100129354,13,10,0,5,5,4,0,9,4
100129361,0,2,2,2,3,2,0,4,0
100129385,6,4,1,7,1,0,2,2,1
100129387,1206,767,599,1281,764,560,561,357,746
100129396,120,94,25,44,22,14,29,21,36
100129405,80,62,51,97,51,59,26,26,46
100129407,0,0,0,5,2,4,0,3,0
100129424,56,28,37,84,68,54,23,29,31
100129427,0,2,0,0,0,0,0,0,0
100129434,157,112,88,154,96,55,63,82,145
100129460,554,590,421,953,865,85,356,383,640
100129461,104,87,67,113,82,53,43,66,54
100129464,11,24,12,29,29,12,7,6,14
100129480,217,185,168,245,212,76,95,97,182
100129482,6510,6171,4260,7378,6270,1748,3065,3357,5242
100129503,26,23,19,41,13,18,15,5,10
100129515,6,2,0,0,1,0,6,3,0
100129518,35,29,36,52,44,17,32,31,61
100129520,8,4,0,4,5,0,0,2,0
100129528,0,0,0,4,0,0,2,0,0
100129534,114,89,73,109,57,58,34,45,100
100129543,103,98,63,200,156,3,70,36,67
100129550,939,760,435,926,757,230,363,405,755
100129583,221,191,175,386,247,42,110,124,273
100129597,0,2,0,0,0,0,1,0,0
100129603,2,0,0,4,0,2,4,0,3
100129617,137,76,46,120,57,28,12,26,56
100129620,64,48,44,56,61,8,36,24,48
100129636,0,0,0,0,0,0,0,0,0
100129654,14,6,0,13,38,1,1,0,6
100129662,50,34,23,40,35,28,12,30,21
100129669,3,2,3,2,1,0,2,2,2
100129697,3,6,2,12,0,6,1,0,4
100129716,36,25,15,55,30,11,15,29,49
100129722,0,0,0,0,0,1,0,0,0
100129726,4,10,2,25,7,12,2,7,13
100129792,191,259,191,391,346,26,163,190,291
100129794,26,35,19,27,30,12,16,23,37
100129827,59,52,32,98,77,36,25,33,55
100129842,2936,3552,2785,5457,3895,569,1790,1871,3712
100129845,8,0,0,8,0,0,1,2,1
100129858,55,54,32,83,44,14,28,26,53
100129860,2,2,0,6,0,0,0,0,0
100129917,236,186,119,409,150,244,85,109,164
100129924,17,7,7,9,0,13,4,0,0
100129931,39,25,15,52,15,21,8,17,9
100129935,4,10,0,2,5,0,1,5,1
100129940,18,13,2,27,26,25,11,11,11
100129961,180,158,169,421,269,87,134,130,230
100129973,67,103,60,138,124,86,58,64,108
10013,1838,1670,1282,2956,1604,1705,687,876,1473
100130015,61,69,33,76,45,70,18,36,32
100130017,0,0,0,0,0,3,0,0,0
100130075,18,16,8,25,8,12,8,8,17
100130086,34,27,28,24,15,29,3,8,32
100130093,116,72,103,133,92,109,41,51,80
100130097,445,262,164,320,217,171,135,121,250
100130100,159,112,73,140,113,75,56,62,97
100130148,0,2,2,0,0,0,0,2,0
100130155,6908,5583,3231,6723,6432,751,2607,3051,5641
100130197,12,12,5,12,18,2,3,14,10
100130231,27,36,11,21,27,6,5,16,11
100130238,220,77,61,183,63,160,34,29,88
100130264,33,20,16,28,47,15,20,12,20
100130274,0,0,0,0,0,0,0,0,0
100130275,0,0,0,0,0,0,0,1,0
100130298,6,2,3,19,17,10,0,7,0
100130301,9,12,10,4,13,3,13,4,2
100130302,0,0,0,2,4,0,0,1,2
100130311,165,128,98,172,70,91,43,53,107
100130331,76,133,118,149,114,46,33,39,72
100130342,16,15,6,6,8,4,3,1,8
100130345,13,15,7,82,100,10,17,36,27
100130348,20,17,6,30,9,19,2,0,7
100130357,444,227,112,331,241,129,83,120,166
100130361,0,0,0,0,0,0,0,0,0
100130370,174,71,99,304,123,196,57,110,148
100130386,12,12,5,16,6,6,2,2,1
100130417,5,0,4,11,2,2,6,0,2
100130418,179,218,66,230,109,204,44,67,137
100130449,60,78,56,155,51,64,29,45,36
100130451,17,8,8,25,16,0,5,12,14
100130452,0,2,0,3,0,0,0,0,0
100130460,0,5,2,5,2,2,0,0,1
100130476,2,5,2,9,2,6,2,0,7
100130480,0,0,2,2,3,7,0,0,0
100130519,83,127,64,127,73,58,42,34,126
100130520,1,1,0,0,0,0,0,0,2
100130522,151,71,81,138,71,70,39,43,66
100130539,25,22,9,23,21,20,7,19,14
100130557,189,243,128,327,221,74,116,118,246
100130581,62,59,39,93,41,60,21,34,56
100130587,66,47,26,86,34,65,15,12,42
100130613,4,0,0,0,2,0,0,0,2
100130673,26,46,21,21,13,4,6,17,6
100130691,533,371,259,674,508,130,169,268,375
100130700,0,0,0,0,0,0,0,0,0
100130705,204,188,210,366,190,81,92,89,200
100130717,2,9,2,13,2,0,5,7,5
100130733,141,128,54,167,193,0,74,90,121
100130742,34,26,27,91,48,21,17,25,38
100130744,172,106,98,203,123,117,56,45,90
100130771,52,39,44,89,59,6,37,48,70
100130776,22,8,9,20,12,47,12,8,12
100130827,0,0,0,0,0,0,0,0,0
100130849,0,0,0,0,0,0,0,0,0
100130855,98,98,36,100,86,5,47,44,88
100130872,260,103,84,248,125,100,34,32,86
100130880,18,4,3,15,8,5,2,5,3
100130887,100,41,61,198,125,1,39,38,60
100130889,2,0,0,0,0,1,0,0,0
100130890,454,436,263,668,481,199,199,274,407
100130894,123,111,35,236,127,63,37,59,115
100130899,23,13,8,15,17,14,10,9,10
100130933,51,37,28,91,32,17,18,39,29
100130934,118,70,51,116,73,50,42,41,43
100130935,0,0,0,1,0,0,0,0,0
100130950,179,156,98,267,148,109,74,72,123
100130954,1,2,0,0,0,0,0,0,0
100130958,8,11,8,21,3,16,6,3,16
100130964,0,0,0,0,0,0,0,0,0
100130967,42,11,23,14,13,7,7,7,11
100130987,56,37,52,60,22,64,19,7,26
100130988,7,8,1,3,7,0,2,1,7
100130992,315,380,217,565,397,113,189,233,374
100131017,736,593,447,1199,451,1098,235,309,541
100131047,4,0,0,2,0,0,0,0,0
100131060,66,52,24,94,52,25,27,36,44
100131067,572,399,176,655,414,220,185,221,173
100131089,184,157,97,303,164,33,52,89,156
100131094,23,11,12,45,19,22,3,7,8
100131096,182,94,92,281,164,163,40,84,98
100131107,0,0,0,0,0,0,1,0,0
100131117,155,128,25,215,120,8,72,58,75
100131137,7,4,2,4,0,0,0,2,1
100131138,0,1,0,4,0,0,0,0,0
100131176,7,16,7,39,12,7,6,6,18
100131187,295,423,326,510,407,209,141,179,385
100131193,75,52,66,109,75,64,27,27,65
100131205,150,220,195,535,235,110,138,149,324
100131208,208,301,160,327,287,36,144,208,316
100131211,1045,885,549,1337,921,227,478,587,788
100131213,40,36,31,51,23,26,17,23,32
100131234,117,135,133,361,149,30,70,105,122
100131244,96,108,72,119,66,62,29,40,113
100131257,14,30,9,26,9,1,4,14,15
100131289,23,17,16,20,34,15,23,11,19
100131303,2,0,0,0,5,3,0,0,0
100131315,0,0,0,0,0,0,0,0,0
100131320,58,65,21,89,34,10,27,61,28
100131347,49,13,12,42,17,25,4,6,15
100131366,0,0,0,0,2,0,0,0,0
100131378,8,3,4,10,7,0,0,0,4
100131390,13,10,12,27,21,10,11,8,17
100131434,350,243,133,296,171,216,68,121,208
100131439,0,0,0,0,0,0,0,0,0
100131454,82,65,47,85,55,12,44,43,60
100131496,137,76,62,132,68,66,17,36,78
100131532,43,25,16,35,26,17,12,13,15
100131539,18,10,11,31,18,14,20,17,11
100131551,12,5,2,11,4,8,4,4,6
100131561,20,21,6,27,34,4,13,4,15
100131564,1103,1035,520,1271,1281,316,461,544,730
100131608,0,0,0,0,0,0,0,0,0
100131626,20,13,2,21,4,0,3,9,14
100131635,28,9,6,17,9,1,1,3,9
100131655,21,11,11,21,17,13,1,12,6
100131691,26,16,14,49,24,8,8,11,23
100131726,0,0,0,0,0,3,0,0,1
100131733,20,13,18,19,14,0,8,15,11
100131755,3852,2892,2218,4042,2880,1895,1393,1744,2493
100131801,418,580,527,804,531,445,250,341,553
100131814,28,13,6,41,26,5,13,15,56
100131816,0,0,0,0,0,0,0,0,0
100131825,181,114,57,102,95,26,39,44,66
100131827,1329,1162,823,1921,1280,552,642,711,1065
100131897,629,656,363,1238,773,139,240,389,545
100131902,0,0,0,0,0,0,0,0,0
100131980,1,3,0,10,2,0,0,0,1
100131997,57,69,43,60,55,51,36,26,50
100131998,382,299,342,453,224,188,172,155,311
100132004,10,5,4,11,8,0,5,0,9
100132057,302,218,131,398,263,109,131,113,188
100132062,16,14,6,20,0,6,1,2,4
100132074,59,44,16,81,9,28,10,21,27
100132077,61,62,58,118,41,27,27,24,49
100132078,3,1,0,4,0,0,1,5,2
100132101,9,4,0,8,5,0,0,9,0
100132103,56,76,57,77,34,11,18,24,30
100132111,111,140,87,138,90,125,72,123,128
100132116,255,155,108,275,148,82,68,114,160
100132146,0,0,0,0,0,0,0,0,0
100132154,16,8,2,4,5,0,4,0,10
100132159,44,41,32,56,17,6,12,23,24
100132163,29,23,11,26,18,56,14,7,19
100132169,21,3,24,6,10,3,7,12,13
100132174,2,0,8,0,2,1,0,0,1
100132215,206,129,103,232,154,238,86,84,175
100132247,2443,1216,1229,689,425,408,199,241,820
100132273,0,0,0,0,0,0,0,0,0
100132287,10,2,2,8,0,11,3,2,9
100132288,11,40,2,53,8,8,28,8,9
100132304,0,4,1,0,2,2,0,0,5
100132341,446,416,319,645,409,670,179,181,345
100132352,866,861,642,1552,950,436,492,412,983
100132354,6,14,15,6,5,11,7,8,6
100132356,125,121,97,200,123,85,65,69,99
100132386,0,0,0,0,0,0,0,0,0
100132396,0,0,0,0,0,0,0,0,0
100132399,0,0,0,0,0,0,0,0,0
100132403,7,15,32,26,6,8,1,11,6
100132406,171,208,89,404,138,108,134,62,153
100132417,0,11,6,2,37,4,1,4,12
100132463,2,3,2,4,4,0,0,1,6
100132464,0,0,0,0,0,0,0,0,0
100132476,0,0,0,0,0,0,0,0,0
100132526,93,90,85,158,65,144,31,36,56
100132529,0,3,5,10,3,3,2,4,3
100132541,343,366,274,590,417,90,145,173,513
100132565,2,1,0,1,0,0,0,0,1
100132594,39,25,13,31,26,5,12,14,14
100132596,0,0,0,0,0,0,0,0,0
100132618,108,123,48,188,130,1,71,88,105
100132677,48,42,34,91,63,17,25,26,25
100132707,145,116,33,204,223,40,69,108,129
100132708,0,0,0,0,0,0,0,0,0
100132724,139,145,63,223,180,28,70,83,89
100132735,0,0,0,4,2,0,0,0,0
100132741,6,2,2,9,11,0,1,3,4
100132774,73,61,15,57,45,14,17,18,34
100132781,113,88,49,164,128,56,66,76,75
100132813,793,522,321,653,493,221,252,349,445
100132815,1290,1264,875,2030,1444,687,650,650,1391
100132831,0,0,0,0,0,0,0,1,1
100132832,145,166,160,290,194,179,71,41,120
100132874,99,21,31,28,29,0,17,11,23
100132891,198,193,150,246,134,123,95,76,112
100132911,41,28,21,76,18,26,10,10,32
100132916,2,0,4,5,1,0,0,2,3
100132923,317,159,117,354,191,76,58,57,192
100132929,0,0,0,0,0,0,0,0,0
100132948,20,27,24,30,15,15,6,15,35
100132963,7,0,0,0,5,0,3,1,3
100132967,5,1,1,3,0,1,0,0,0
100132979,3,0,3,5,0,0,0,0,2
100132987,155,101,68,170,79,101,65,69,94
100132994,0,0,0,0,0,0,0,0,0
100133036,11,0,5,3,2,5,0,1,2
100133050,5,1,0,12,3,3,4,2,3
100133053,0,0,0,0,0,0,0,0,0
100133077,111,66,36,86,48,157,22,22,55
100133091,0,0,2,0,0,0,2,2,0
100133093,0,0,0,0,0,0,0,0,0
100133121,53,47,36,99,26,36,15,17,51
100133123,3,2,1,3,1,2,0,2,0
100133161,10,2,4,12,2,4,2,2,3
100133172,15,36,4,71,13,14,11,18,14
100133205,35,28,21,47,28,10,19,17,23
100133220,0,4,1,10,0,4,0,2,0
100133234,251,210,178,324,220,249,89,112,139
100133251,2,1,2,4,0,0,0,1,5
