signatureid,compound,concentration,time,cellline,similarity,pValue,sig_direction
LINCSCP_244831,"(2R,5R)-3-(2-Hydroxyethylidene)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",10uM,6h,MCF7,-0.80098304,8.14421785e-12,Down
LINCSCP_42440,Ebelactone-B,10uM,24h,NPC,-0.8007385,8.35379589e-12,Down
LINCSCP_207153,SKF-83822,10uM,6h,FIBRNPC,-0.79848115,1.054452251e-11,Down
LINCSCP_168723,Prothiaden Spofa,1.11uM,24h,YAPC,-0.79495095,1.508945662e-11,Down
LINCSCP_36565,PF-562271,0.5uM,24h,MCF7,-0.79475026,1.539682764e-11,Down
LINCSCP_12862,Lonidamine,100uM,6h,DV90,0.7938366,1.687248232e-11,Down
LINCSCP_51871,Rigosertib,0.5uM,24h,SKBR3,-0.79234083,1.958050553e-11,Down
LINCSCP_262870,Epirizole,10uM,24h,NPC,-0.79198274,2.02871903e-11,Down
LINCSCP_170065,DOCETAXEL,3.33uM,24h,YAPC,-0.79134679,2.160202759e-11,Down
LINCSCP_262741,SPECTRUM_000281,10uM,24h,NPC,-0.79066643,2.309764084e-11,Down
LINCSCP_305457,BRD-K10055064,5uM,24h,VCAP,-0.78896566,2.727595359e-11,Down
LINCSCP_47703,Sulfasalazine,10uM,6h,PC3,-0.78844889,2.86807431e-11,Down
LINCSCP_42167,NINDS_000152,10uM,24h,NPC,-0.7869781,3.306266387e-11,Down
LINCSCP_46244,MLS-0435555.0001,10uM,24h,PC3,-0.7831556,4.759693991e-11,Down
LINCSCP_37261,Vorinostat,0.5uM,24h,MCF7,-0.78261092,5.010360386e-11,Down
LINCSCP_17240,CHEMBL2152359,3uM,24h,HA1E,-0.77932955,6.804883118e-11,Down
LINCSCP_131934,CHEMBL1083527,10uM,24h,MCF7,0.7792162,6.876588162e-11,Down
LINCSCP_284601,Doxylamine,10uM,24h,SKB,-0.77849609,7.349057051e-11,Down
LINCSCP_44225,GR-79236,10uM,24h,PC3,-0.77796931,7.713907149e-11,Down
LINCSCP_283398,PK04_101107,10uM,24h,SKB,-0.77795651,7.722984776e-11,Down
LINCSCP_251467,Quizartinib,0.1uM,24h,MCF7,-0.77693169,8.483149368e-11,Down
LINCSCP_42674,Spironolactone,10uM,24h,NPC,-0.77627919,9.003381554e-11,Down
LINCSCP_260666,SA-244358,1uM,24h,NKDBA,-0.77593592,9.289006209e-11,Down
LINCSCP_25959,MLS001065838,10uM,24h,HT29,0.77482123,1.027663766e-10,Down
LINCSCP_207901,Nifedipine,10uM,6h,H1299,-0.7738654,1.120164074e-10,Down
LINCSCP_55297,Wortmannin,10uM,24h,U937,-0.77308266,1.201707592e-10,Down
LINCSCP_42291,Pinostrobin,10uM,24h,NPC,-0.77284518,1.227535428e-10,Down
LINCSCP_42306,STOCK1S-03920,10uM,24h,NPC,-0.77231944,1.286587748e-10,Down
LINCSCP_6387,SMR000178575,10uM,24h,A549,-0.77197006,1.327302651e-10,Down
LINCSCP_29539,Palbociclib,0.5uM,24h,MCF10A,-0.77075327,1.478793711e-10,Down
LINCSCP_11259,Pyrazolanthrone,10uM,24h,ASC,-0.77064329,1.493262034e-10,Down
LINCSCP_40149,pyrvinium-pamoate,10uM,6h,NCIH2073,-0.76906347,1.716404267e-10,Down
LINCSCP_36564,PF-562271,0.1uM,24h,MCF7,-0.76817475,1.855391887e-10,Down
LINCSCP_202121,Oxetane,3uM,6h,A549,-0.76795326,1.891647565e-10,Down
LINCSCP_42163,CHEMBL2142684,10uM,24h,NPC,-0.76760946,1.949250423e-10,Down
LINCSCP_168589,Camostat Mesilate,10uM,24h,YAPC,-0.76760719,1.949635123e-10,Down
LINCSCP_44688,2-Phenylaminoadenosine,10uM,24h,PC3,-0.76719662,2.020606636e-10,Down
LINCSCP_170132,CPI-613,1.11uM,24h,YAPC,-0.7661793,2.207102304e-10,Down
LINCSCP_262209,Phentolamine,10uM,24h,NPC,-0.76391706,2.681613632e-10,Down
LINCSCP_261664,CHEMBL2356468,10uM,24h,NPC,-0.76145356,3.307019625e-10,Down
LINCSCP_42846,Dids,10uM,24h,NPC,-0.76141776,3.317047725e-10,Down
LINCSCP_64873,Mibefradil,0.5uM,24h,VCAP,-0.76013307,3.696492339e-10,Down
LINCSCP_13411,CHEMBL475341,100uM,6h,H1299,-0.75948291,3.90376863e-10,Down
LINCSCP_67737,CGS-15943,40uM,24h,NKDBA,-0.75908907,4.034604301e-10,Down
LINCSCP_305634,BRD-K71424148,5uM,24h,VCAP,-0.75906755,4.04187211e-10,Down
LINCSCP_168477,"Temsirolimus (CCI-779, NSC 683864)",1.11uM,24h,YAPC,-0.75894961,4.081917093e-10,Down
LINCSCP_595,IN1541,10uM,24h,A375,-0.75872811,4.158138526e-10,Down
LINCSCP_154352,Colforsin,1.11uM,24h,PC3,-0.75864537,4.186951393e-10,Down
LINCSCP_40865,SPOX1_000836,10uM,24h,NEU,-0.75630883,5.082795717e-10,Down
LINCSCP_262625,Clozapine,10uM,24h,NPC,-0.75620196,5.127803133e-10,Down
LINCSCP_42353,WYE 125132,10uM,24h,NPC,-0.75556863,5.40234762e-10,Down
LINCSCP_2166,ST50903421,10uM,6h,A375,-0.75531371,5.51671625e-10,Down
LINCSCP_34704,Diloxanide Furoate,10uM,6h,MCF7,-0.75417275,6.057125714e-10,Down
LINCSCP_42867,Diltiazem,10uM,24h,NPC,-0.75220607,7.107425682e-10,Down
LINCSCP_65972,BRD-K43623238,1uM,24h,VCAP,-0.7511912,7.71432742e-10,Down
LINCSCP_44021,Dinoprostone,10uM,24h,PC3,-0.75007915,8.435242028e-10,Down
LINCSCP_6505,Lypressin,10uM,24h,A549,-0.74915974,9.078700353e-10,Down
LINCSCP_42184,ALD1-H_001031,10uM,24h,NPC,-0.74898299,9.207581265e-10,Down
LINCSCP_280604,TL Aurora 09,1uM,6h,PC3,0.74871418,9.406900226e-10,Down
LINCSCP_42807,3-Aminomethylbutanoic acid,10uM,24h,NPC,-0.74840619,9.640257714e-10,Down
LINCSCP_257474,VX-11E,0.5uM,6h,NCIH508,0.74756689,1.030415651e-9,Down
LINCSCP_244937,Olmesartan Medoxomil,10uM,6h,MCF7,-0.74750927,1.035127724e-9,Down
LINCSCP_168469,Ornidazole,10uM,24h,YAPC,-0.74708681,1.070301954e-9,Down
LINCSCP_264019,Ceramide,10uM,6h,NPC,-0.74705805,1.072737139e-9,Down
LINCSCP_51031,SMR000075319,60uM,6h,RMUGS,-0.7462847,1.140204609e-9,Down
LINCSCP_34572,BRD-K13688115-001-01-2,10uM,6h,MCF7,-0.74596845,1.168927799e-9,Down
LINCSCP_42906,7-Hydroxyflavone,10uM,24h,NPC,-0.74443933,1.317684147e-9,Down
LINCSCP_42274,AC1NAL7D,10uM,24h,NPC,-0.74310556,1.461811257e-9,Down
LINCSCP_36474,CHEMBL2132289,0.5uM,24h,MCF7,-0.74227145,1.559350321e-9,Down
LINCSCP_138312,Deferiprone,10uM,24h,MCF7,-0.74131804,1.678333605e-9,Down
LINCSCP_29788,SCHEMBL17378613,10uM,6h,MCF10A,-0.73972135,1.896927561e-9,Down
LINCSCP_168801,PI-103,1.11uM,24h,YAPC,-0.73911447,1.986828022e-9,Down
LINCSCP_34705,Proscillaridin-A,10uM,6h,MCF7,-0.73759652,2.229555579e-9,Down
LINCSCP_17469,MK-5108,0.04uM,24h,HA1E,-0.73749003,2.24759159e-9,Down
LINCSCP_244952,Allopurinol,10uM,6h,MCF7,-0.7363128,2.456327429e-9,Down
LINCSCP_137585,PF-04620110,0.04uM,24h,MCF7,-0.73618698,2.479684059e-9,Down
LINCSCP_13600,"16,16-Dimethyl prostaglandin e2",10uM,6h,H1299,-0.73513456,2.683399285e-9,Down
LINCSCP_17006,Albendazole,10uM,6h,HA1E,0.73501897,2.706709833e-9,Down
LINCSCP_290011,Hexylcaine,10uM,24h,VCAP,-0.73491901,2.727020157e-9,Down
LINCSCP_47106,CHEMBL2144875,10uM,24h,PC3,-0.73272542,3.21051594e-9,Down
LINCSCP_12509,NSC23766,100uM,6h,CL34,-0.73254032,3.254804498e-9,Down
LINCSCP_42662,AQ-RA-741,10uM,24h,NPC,-0.73191782,3.407997734e-9,Down
LINCSCP_18588,"Tazac, Axid, Axid Ar, Nizatidine",10uM,24h,HCC515,-0.7313339,3.557838751e-9,Down
LINCSCP_102196,Tamibarotene,10uM,24h,HELA,-0.73067332,3.734807252e-9,Down
LINCSCP_140357,Rifaximin,10uM,24h,MCF7,-0.73061333,3.751281506e-9,Down
LINCSCP_8480,BRD-K36065557,5uM,24h,A549,-0.73006763,3.904310102e-9,Down
LINCSCP_52845,Colforsin,10uM,24h,SKB,-0.72926777,4.139252837e-9,Down
LINCSCP_67749,Wortmannin,10uM,24h,NKDBA,-0.7285588,4.358542191e-9,Down
LINCSCP_260569,CGS-15943,10uM,24h,NKDBA,-0.72844036,4.396224901e-9,Down
LINCSCP_64307,MLS003128682,5uM,24h,VCAP,0.72843346,4.398429169e-9,Down
LINCSCP_33527,IN1048,10uM,6h,MCF7,-0.72837735,4.416393935e-9,Down
LINCSCP_63013,BRD-K18449990,5uM,24h,VCAP,-0.72836074,4.421725321e-9,Down
LINCSCP_24822,SAR245409,0.5uM,24h,HS578T,-0.72833246,4.43081716e-9,Down
LINCSCP_154350,Colforsin,10uM,24h,PC3,-0.72792778,4.56285842e-9,Down
LINCSCP_24563,AZD-1152-HQPA,0.5uM,6h,HS578T,-0.72773892,4.625739533e-9,Down
LINCSCP_29985,OSI-930,10uM,6h,MCF10A,-0.72757369,4.681417901e-9,Down
LINCSCP_26671,Hbdde,10uM,6h,HT29,-0.72737435,4.749431275e-9,Down
LINCSCP_153666,PF-04449913,10uM,24h,PC3,-0.72717209,4.819387716e-9,Down
LINCSCP_42154,CHEMBL1332325,10uM,24h,NPC,-0.72649797,5.059600253e-9,Down
LINCSCP_244913,Atorvastatin,10uM,6h,MCF7,-0.72639083,5.09880041e-9,Down
LINCSCP_157050,GSK256066,10uM,24h,PC3,-0.72511233,5.589117427e-9,Down
LINCSCP_251146,Chloroquine,3uM,6h,MCF7,0.72466005,5.772937168e-9,Down
LINCSCP_262402,"Haematoxylone, Tetramethyl-",10uM,24h,NPC,-0.72437102,5.893361466e-9,Down
LINCSCP_115424,Momelotinib,1.11uM,3h,HS578T,-0.7241548,5.984988809e-9,Down
LINCSCP_67745,CGS-15943,40uM,24h,NKDBA,-0.72291964,6.534604074e-9,Down
LINCSCP_24098,TP14,0.37uM,24h,HEPG2,-0.72289999,6.543718704e-9,Down
LINCSCP_261609,BRN 1087718,10uM,24h,NPC,-0.7223271,6.814779913e-9,Down
LINCSCP_47073,CHEMBL2359798,10uM,24h,PC3,-0.72190854,7.019444543e-9,Down
LINCSCP_39841,SCHEMBL6851809,10uM,6h,NCIH1694,-0.7212221,7.367645278e-9,Down
LINCSCP_296325,Dapsone,10uM,6h,VCAP,-0.72048184,7.761283226e-9,Down
LINCSCP_7855,MLS000626949,10uM,24h,A549,-0.72044431,7.781757529e-9,Down
LINCSCP_136474,Sufentanil,0.37uM,24h,MCF7,-0.72032388,7.847800447e-9,Down
LINCSCP_261900,AZD-1152-HQPA,10uM,24h,NPC,-0.71932938,8.413636729e-9,Down
LINCSCP_42786,MY 5445,10uM,24h,NPC,-0.71926356,8.452404198e-9,Down
LINCSCP_42619,GW441756X,10uM,24h,NPC,-0.71916494,8.510807578e-9,Down
LINCSCP_40895,AC1MGPVN,10uM,24h,NEU,-0.71911706,8.539298463e-9,Down
LINCSCP_64891,BRD-K29253960,10uM,24h,VCAP,-0.71838063,8.98895127e-9,Down
LINCSCP_17084,Indole-3-carbinol,10uM,24h,HA1E,-0.71741512,9.612207185e-9,Down
LINCSCP_35472,"HDACi1,2+3_mix",0.5uM,24h,MCF7,-0.71605201,1.056144543e-8,Down
LINCSCP_56222,Cyclopenthiazide,10uM,24h,VCAP,-0.7159153,1.066135485e-8,Down
LINCSCP_125909,Simeprevir,3.33uM,24h,HT29,-0.71590694,1.066749616e-8,Down
LINCSCP_167412,MK-0752,0.12uM,24h,YAPC,-0.71555245,1.093084931e-8,Down
LINCSCP_211057,Benproperine,10uM,6h,HA1E,-0.71520915,1.119169896e-8,Down
LINCSCP_10537,Erismodegib,10uM,6h,AGS,0.71476127,1.15407889e-8,Down
LINCSCP_42704,Ergoatetrine,10uM,24h,NPC,-0.71438702,1.184030667e-8,Down
LINCSCP_165580,Idelalisib,1.11uM,24h,SKL,-0.71427403,1.1932156500000001e-08,Down
LINCSCP_234760,JZL-184,10uM,6h,LOVO,0.71389311,1.224676223e-8,Down
LINCSCP_42748,Cidoxepin,10uM,24h,NPC,-0.71240451,1.355241585e-8,Down
LINCSCP_27230,ZINC03898662,10uM,6h,HT29,0.71207345,1.386001989e-8,Down
LINCSCP_128899,GSK 1059615,0.04uM,24h,HUVEC,-0.71207332,1.386014826e-8,Down
LINCSCP_261417,MLS001116217,10uM,24h,NPC,-0.71190973,1.401455668e-8,Down
LINCSCP_169544,Tipiracil (hydrochloride),1.11uM,24h,YAPC,-0.71129223,1.461206158e-8,Down
LINCSCP_261867,Arundine,10uM,24h,NPC,-0.71110057,1.480231811e-8,Down
LINCSCP_261362,4-Methoxy-2-(4-methoxyphenyl)quinazoline,10uM,24h,NPC,-0.71067264,1.523554271e-8,Down
LINCSCP_44682,SCHEMBL8922766,10uM,24h,PC3,-0.71014945,1.578136217e-8,Down
LINCSCP_42834,DUP-697,10uM,24h,NPC,-0.70944382,1.654661077e-8,Down
LINCSCP_244129,Fluoxetine,10uM,6h,MCF7,-0.70922168,1.67946325e-8,Down
LINCSCP_42420,Voriconazole Impurity D,10uM,24h,NPC,-0.70881362,1.725933953e-8,Down
LINCSCP_53913,O-Demethylated Adapalene,10uM,6h,SNUC5,-0.70864351,1.745661308e-8,Down
LINCSCP_42897,5-Methylfurmethide,10uM,24h,NPC,-0.70813829,1.805502076e-8,Down
LINCSCP_23779,SCHEMBL17497626,3uM,24h,HEPG2,-0.70793023,1.830701012e-8,Down
LINCSCP_28003,BRD-K80666761,5uM,24h,HT29,0.70771458,1.857166648e-8,Down
LINCSCP_45320,CHEMBL566899,10uM,24h,PC3,-0.70765188,1.864927652e-8,Down
LINCSCP_42386,PLX-4720,10uM,24h,NPC,-0.70684676,1.967339781e-8,Down
LINCSCP_30042,ABT737,1uM,6h,MCF10A,-0.70640261,2.026069109e-8,Down
LINCSCP_42920,CHEMBL179288,10uM,24h,NPC,-0.70584376,2.102301848e-8,Down
LINCSCP_155356,Alprostadil,3.33uM,24h,PC3,-0.7056592,2.12806297e-8,Down
LINCSCP_137823,Dapivirine (TMC120),0.37uM,24h,MCF7,-0.70500471,2.221820922e-8,Down
LINCSCP_29358,Phenethylisothiocyanate,10uM,6h,LOVO,0.7048419,2.245738116e-8,Down
LINCSCP_30068,HMN-214,0.1uM,6h,MCF10A,-0.7047721,2.256066136e-8,Down
LINCSCP_34702,Sarafloxacin,10uM,6h,MCF7,-0.70428888,2.328794297e-8,Down
LINCSCP_23581,CDK4 Inhibitor III,10uM,6h,HEPG2,-0.70402622,2.369242806e-8,Down
LINCSCP_4320,Kolestevan,10uM,6h,A549,-0.703928,2.38453719e-8,Down
LINCSCP_131010,PIK-93,3.33uM,3h,MCF10A,-0.70376401,2.410278683e-8,Down
LINCSCP_154351,Colforsin,3.33uM,24h,PC3,-0.70341666,2.465665001e-8,Down
LINCSCP_72448,Galeterone,3.33uM,24h,A375,-0.70340651,2.467301281e-8,Down
LINCSCP_138185,CI-1040,0.04uM,24h,MCF7,-0.70322135,2.497329094e-8,Down
LINCSCP_30231,SPECTRUM_001095,10uM,24h,MCF7,-0.70320153,2.500564085e-8,Down
LINCSCP_47700,Oxcarbazepine,10uM,6h,PC3,-0.70276809,2.572288095e-8,Down
LINCSCP_18479,Securinine,10uM,24h,HCC515,-0.70252165,2.613923174e-8,Down
LINCSCP_172762,Picotamide,0.37uM,24h,YAPC,-0.70238595,2.637117396e-8,Down
LINCSCP_154338,Dabrafenib,10uM,24h,PC3,-0.70159371,2.776431387e-8,Down
LINCSCP_59877,BRD-K44261129,5uM,24h,VCAP,0.70145482,2.801554502e-8,Down
LINCSCP_1371,MLS002264436,10uM,24h,A375,0.70132603,2.825039859e-8,Down
LINCSCP_311648,BRD-K00819343,10uM,24h,VCAP,-0.70115057,2.857334904e-8,Down
LINCSCP_26520,ST012525,10uM,6h,HT29,0.70096657,2.891571347e-8,Down
LINCSCP_7215,Graveoline,10uM,6h,A549,-0.70048654,2.982709407e-8,Down
LINCSCP_262768,Glycerol Monopalmitate,10uM,24h,NPC,-0.70027991,3.022762045e-8,Down
LINCSCP_218057,CHEMBL3183436,0.37uM,24h,HCC515,-0.69955516,3.167269179e-8,Down
LINCSCP_223408,Albendazole,10uM,6h,HT29,0.69944153,3.190503211e-8,Down
LINCSCP_133150,WYE 125132,0.04uM,3h,MCF7,-0.69870926,3.344111067e-8,Down
LINCSCP_73674,5-(6-Aminopurin-9-yl)-2-methyltetrahydrofuran-3-ol,0.37uM,24h,A375,-0.6983038,3.432114934e-8,Down
LINCSCP_262594,Ibudilast,10uM,24h,NPC,-0.69787561,3.527408268e-8,Down
LINCSCP_46726,AK-778/12434114,10uM,24h,PC3,-0.69783267,3.537099588e-8,Down
LINCSCP_29613,SB 239063,1uM,24h,MCF10A,-0.69746887,3.620216516e-8,Down
LINCSCP_46854,Lypressin,10uM,24h,PC3,-0.69715909,3.692429514e-8,Down
LINCSCP_243090,Warfarin,10uM,6h,MCF7,0.69702768,3.723468229e-8,Down
LINCSCP_52936,Dmbi,10uM,24h,SKB,-0.69699281,3.73174607e-8,Down
LINCSCP_53154,Cytochalasin B,10uM,6h,SKM1,-0.69683889,3.768488603e-8,Down
LINCSCP_281178,T5715534,10uM,24h,PHH,-0.69662602,3.819862332e-8,Down
LINCSCP_49940,Tamibarotene,10uM,24h,PHH,-0.69657866,3.831381887e-8,Down
LINCSCP_273037,Ethionamide,10uM,6h,PC3,-0.69654897,3.83861912e-8,Down
LINCSCP_28887,MLS000863584,10uM,6h,HUH7,-0.69590627,3.998464826e-8,Down
LINCSCP_153848,"Forskolin, NKH477",1.11uM,24h,PC3,-0.69587786,4.005674432e-8,Down
LINCSCP_11519,301836-43-1,10uM,24h,ASC,-0.69575622,4.036671865e-8,Down
LINCSCP_271430,CHEMBL2361177,10uM,24h,PC3,-0.69566266,4.060666861e-8,Down
LINCSCP_153444,IB-MECA,10uM,24h,PC3,-0.69564528,4.065140521e-8,Down
LINCSCP_168414,GDC-0980 (RG7422),0.04uM,24h,YAPC,-0.69535019,4.141778208e-8,Down
LINCSCP_25861,MLS002703293,10uM,24h,HT29,-0.69494242,4.249910124e-8,Down
LINCSCP_7317,Medrysone,10uM,24h,A549,0.69480504,4.286931611e-8,Down
LINCSCP_285810,Mesoridazine,10uM,6h,SKM1,-0.69395539,4.522694207e-8,Down
LINCSCP_96130,Prosteride,0.37uM,24h,HA1E,-0.6936606,4.607289104e-8,Down
LINCSCP_243345,Trichlorfon,10uM,24h,MCF7,-0.69322036,4.736390036e-8,Down
LINCSCP_33712,AM-580,10uM,6h,MCF7,-0.69317983,4.748441862e-8,Down
LINCSCP_53511,STK178014,50uM,6h,SKMEL28,-0.69273631,4.882242065e-8,Down
LINCSCP_42295,SCHEMBL10026606,10uM,24h,NPC,-0.69271497,4.888768189e-8,Down
LINCSCP_101197,Licochalcone A,3.33uM,24h,HELA,0.69251318,4.950878827e-8,Down
LINCSCP_155358,Alprostadil,0.37uM,24h,PC3,-0.69194268,5.130506737e-8,Down
LINCSCP_42379,ST078797,10uM,24h,NPC,-0.69000433,5.787439904e-8,Down
LINCSCP_51044,ML162,10uM,6h,RMUGS,-0.68950878,5.967595236e-8,Down
LINCSCP_43696,Phorbol 12-myristate-13-acetate,10uM,6h,OV7,-0.68934982,6.026485224e-8,Down
LINCSCP_22896,"2-(4,5-Dihydro-1H-imidazol-2-yl)quinoxaline",10uM,6h,HEPG2,-0.6891427,6.1040393e-8,Down
LINCSCP_24514,TORIN1,0.5uM,6h,HS578T,-0.68879753,6.235356082e-8,Down
LINCSCP_45689,KUC104140,10uM,24h,PC3,-0.68860009,6.311656068e-8,Down
LINCSCP_81763,SB-216763,10uM,24h,A549,-0.68840253,6.388877784e-8,Down
LINCSCP_7186,Dihydrosamidin,10uM,6h,A549,-0.68824375,6.451577718e-8,Down
LINCSCP_42827,Roquinimex,10uM,24h,NPC,-0.68818488,6.474970175e-8,Down
LINCSCP_169641,Pomalidomide,0.37uM,24h,YAPC,-0.68811991,6.500881423e-8,Down
LINCSCP_8308,MLS003130213,5uM,24h,A549,0.68794613,6.570661899e-8,Down
LINCSCP_46053,Lorazepam,10uM,24h,PC3,-0.68731432,6.830310423e-8,Down
LINCSCP_253051,SA-1459167,1uM,24h,MCF7,-0.68728946,6.840721118e-8,Down
LINCSCP_159180,Taselisib,0.12uM,24h,PC3,-0.68714952,6.899599834e-8,Down
LINCSCP_137449,VRT752271,3.33uM,24h,MCF7,-0.68703973,6.946123845e-8,Down
LINCSCP_52126,BRD-K10010115,10uM,24h,SKB,-0.68700261,6.96191707e-8,Down
LINCSCP_42230,Iloprost,10uM,24h,NPC,-0.68679083,7.052681774e-8,Down
LINCSCP_152839,DMXAA (Vadimezan),10uM,24h,PC3,-0.68665123,7.113119458e-8,Down
LINCSCP_154353,Colforsin,0.37uM,24h,PC3,-0.68655948,7.153101614e-8,Down
LINCSCP_42464,Quisinostat,10uM,24h,NPC,-0.68649948,7.179362216e-8,Down
LINCSCP_47346,Pyrimethamine,10uM,24h,PC3,-0.68645693,7.198041213e-8,Down
LINCSCP_53548,CHEMBL1242477,20uM,6h,SNGM,-0.68604125,7.382911131e-8,Down
LINCSCP_262120,Aliskiren,10uM,24h,NPC,-0.68590895,7.442680201e-8,Down
LINCSCP_244903,Phthalylsulfathiazole,10uM,6h,MCF7,-0.68565945,7.5566256e-8,Down
LINCSCP_46189,Latrunculin B,10uM,24h,PC3,-0.6852273,7.757850748e-8,Down
LINCSCP_28564,Wortmannin,0.12uM,24h,HT29,0.68522501,7.758929883e-8,Down
LINCSCP_260687,BRD-K98339888,1uM,24h,NKDBA,-0.68483762,7.943593811e-8,Down
LINCSCP_52124,CHEMBL2130568,10uM,24h,SKB,-0.68479887,7.962289069e-8,Down
LINCSCP_42882,ZK-93423,10uM,24h,NPC,-0.68479835,7.962537023e-8,Down
LINCSCP_227753,"Ethyl {3-[(3,5-dimethoxybenzoyl)amino]phenyl}carbamate",10uM,6h,HT29,0.6840621,8.325684737e-8,Down
LINCSCP_158100,Dinoprost,0.37uM,24h,PC3,-0.68366939,8.525659788e-8,Down
