signatureid,compound,concentration,time,cellline,similarity,pValue,sig_direction
LINCSCP_54051,PKC Beta Inhibitor,10uM,6h,SW480,-0.83354162,1.9458104e-13,Up
LINCSCP_130919,Withaferin A,10uM,3h,MCF10A,0.83267165,2.1719829e-13,Up
LINCSCP_10655,AC1LDBAO,20uM,6h,AGS,0.8312342,2.6011689e-13,Up
LINCSCP_43698,5-(6-Aminopurin-9-yl)-2-methyltetrahydrofuran-3-ol,10uM,6h,OV7,0.82611374,4.8784928e-13,Up
LINCSCP_1210,T5291115,10uM,24h,A375,0.82193294,8.0313082e-13,Up
LINCSCP_36434,Withaferin A,0.5uM,6h,MCF7,0.81941075,1.07819127e-12,Up
LINCSCP_24820,Pazopanib,10uM,24h,HS578T,0.81930116,1.09196405e-12,Up
LINCSCP_74490,Emedastine,1.11uM,24h,A375,-0.81769691,1.31366969e-12,Up
LINCSCP_64566,SCHEMBL16226502,20uM,6h,VCAP,0.81727187,1.37919172e-12,Up
LINCSCP_58045,MLS001173269,10uM,6h,VCAP,0.81482461,1.82087266e-12,Up
LINCSCP_53358,Pifithrin,70uM,6h,SKMEL1,-0.81455948,1.87604995e-12,Up
LINCSCP_86358,Linifanib,10uM,3h,BT20,-0.80878035,3.55490482e-12,Up
LINCSCP_40389,"3,5-Bis(4-methylbenzylidene)piperidin-4-one",10uM,6h,NCIH596,0.80776055,3.9704456e-12,Up
LINCSCP_163911,Pictilisib,3.33uM,3h,SKBR3,0.80756967,4.05316431e-12,Up
LINCSCP_29132,Temozolomide,10uM,6h,JHUEM2,-0.80744432,4.10836939e-12,Up
LINCSCP_234756,501919-59-1,100uM,6h,LOVO,0.80740518,4.12575215e-12,Up
LINCSCP_53478,(S)-Tipifarnib,10uM,6h,SKMEL28,0.80454989,5.59958073e-12,Up
LINCSCP_64547,SCHEMBL16226068,1uM,6h,VCAP,0.80415229,5.84057237e-12,Up
LINCSCP_53649,NSC23766,100uM,6h,SNU1040,0.80387694,6.01318181e-12,Up
LINCSCP_49908,Thiostrepton,10uM,24h,PHH,0.80341818,6.31152298e-12,Up
LINCSCP_23122,AMBCB17415880,10uM,6h,HEPG2,0.80303011,6.57477213e-12,Up
LINCSCP_99522,TGX 221,10uM,24h,HCC515,0.80273405,6.78255227e-12,Up
LINCSCP_56288,Farnesylthioacetic acid,10uM,24h,VCAP,0.79997545,9.04099757e-12,Up
LINCSCP_121559,AGI-6780,10uM,24h,HT29,0.79611519,1.341770045e-11,Up
LINCSCP_65363,BRD-K90234489,10uM,24h,VCAP,0.7927977,1.871261598e-11,Up
LINCSCP_152139,NU-7026,10uM,24h,PC3,-0.7897915,2.516507793e-11,Up
LINCSCP_133039,Withaferin A,1.11uM,3h,MCF7,0.78838433,2.886098336e-11,Up
LINCSCP_35531,Vorinostat,0.01uM,24h,MCF7,0.78438914,4.235085895e-11,Up
LINCSCP_88311,SAR245409,10uM,24h,HA1E,-0.78187949,5.366625206e-11,Up
LINCSCP_201065,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.5uM,24h,A549,0.78132089,5.654682192e-11,Up
LINCSCP_138422,ACECAINIDE HYDROCHLORIDE,1.11uM,24h,MCF7,-0.77965306,6.604097491e-11,Up
LINCSCP_45025,79966-13-5,10uM,24h,PC3,0.77961414,6.627956984e-11,Up
LINCSCP_158643,Mirtazapine,10uM,24h,PC3,0.77952678,6.681797095e-11,Up
LINCSCP_163354,Radicicol,0.04uM,3h,SKBR3,0.7792236,6.87188591e-11,Up
LINCSCP_219271,Rolipram,10uM,6h,HEPG2,0.77788648,7.772809132e-11,Up
LINCSCP_19662,MLS001065891,10uM,6h,HCC515,0.77760358,7.977196698e-11,Up
LINCSCP_6733,XMD-132,10uM,6h,A549,0.7775987,7.980771375e-11,Up
LINCSCP_68909,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.1uM,6h,VCAP,0.77728082,8.216585394e-11,Up
LINCSCP_102136,Dacarbazine,10uM,24h,HELA,-0.77423039,1.083951185e-10,Up
LINCSCP_54783,SB225002,10uM,6h,T3M10,0.77254041,1.261448524e-10,Up
LINCSCP_127271,"16,16-Dimethyl prostaglandin e2",0.33uM,24h,HT29,0.77193015,1.332029315e-10,Up
LINCSCP_68861,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",1uM,6h,VCAP,0.77114162,1.428757118e-10,Up
LINCSCP_55795,CHEMBL210901,10uM,6h,VCAP,0.77112098,1.431374937e-10,Up
LINCSCP_10776,AC1O9BJ3,10uM,24h,ASC,0.76965582,1.629285652e-10,Up
LINCSCP_70042,AZD-1775,0.37uM,24h,A375,0.76915666,1.702414308e-10,Up
LINCSCP_126617,AHU-377 (hemicalcium salt),3.33uM,24h,HT29,0.76839076,1.820665138e-10,Up
LINCSCP_88449,Masitinib,10uM,24h,HA1E,-0.76802003,1.880648587e-10,Up
LINCSCP_48882,BRD-K51934037,10uM,6h,PC3,0.76788809,1.902441458e-10,Up
LINCSCP_123409,"8-Cyclohexyl-2,3,3a,4,5,6-hexahydro-1H-pyrazino[3,2,1-jk]carbazole",10uM,24h,HT29,0.7661226,2.217958825e-10,Up
LINCSCP_18106,Odq,10uM,6h,HCC515,0.76572163,2.296193217e-10,Up
LINCSCP_72167,Mecamylamine,3.33uM,24h,A375,0.76565234,2.309971673e-10,Up
LINCSCP_12475,BRD-K65971331,10uM,6h,CD34,-0.76557645,2.325154194e-10,Up
LINCSCP_53655,CHEMBL1242477,20uM,6h,SNU1040,-0.76392119,2.680666192e-10,Up
LINCSCP_88352,Ipatasertib,0.04uM,24h,HA1E,-0.76347105,2.785864846e-10,Up
LINCSCP_70386,XMD 8-92,3.33uM,24h,A375,-0.76344099,2.79302629e-10,Up
LINCSCP_9906,COL-3,10uM,6h,A549,-0.76129241,3.352386919e-10,Up
LINCSCP_218564,STK219801,20uM,6h,HCT116,0.7612648,3.360220092e-10,Up
LINCSCP_49870,MD-041,10uM,24h,PHH,0.76049331,3.586157002e-10,Up
LINCSCP_58737,BIIB 021,10uM,6h,VCAP,0.76047145,3.59276448e-10,Up
LINCSCP_156414,Nicotine,10uM,24h,PC3,-0.7586467,4.186488543e-10,Up
LINCSCP_23480,GSK 3BETA Inhibitor VIII,3uM,24h,HEPG2,-0.7579414,4.439836256e-10,Up
LINCSCP_10624,"3,5-Bis(4-methylbenzylidene)piperidin-4-one",10uM,6h,AGS,0.75771302,4.524922736e-10,Up
LINCSCP_69876,CDK9 Inhibitor,10uM,24h,A375,0.75696204,4.815670169e-10,Up
LINCSCP_145930,Gefitinib,0.37uM,3h,MDAMB231,0.75638374,5.051467787e-10,Up
LINCSCP_21257,Fluspirilene,5uM,6h,HCT116,0.75622928,5.116264438e-10,Up
LINCSCP_58708,ST072947,10uM,6h,VCAP,0.75599179,5.217419389e-10,Up
LINCSCP_145941,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",1.11uM,3h,MDAMB231,0.75525977,5.541204553e-10,Up
LINCSCP_58005,ML162,10uM,6h,VCAP,0.7551111,5.609235998e-10,Up
LINCSCP_29266,Teniposide,1uM,6h,LOVO,0.7544214,5.935264977e-10,Up
LINCSCP_104338,L-690330,0.04uM,24h,HELA,-0.75365061,6.320722218e-10,Up
LINCSCP_225231,CHEMBL1552615,10uM,6h,HT29,0.75279994,6.773453362e-10,Up
LINCSCP_309759,BRD-K34952911,10uM,24h,VCAP,0.75046037,8.18124218e-10,Up
LINCSCP_15348,Alimta,90uM,24h,HA1E,0.75043484,8.198029273e-10,Up
LINCSCP_59055,PU-H-71,10uM,6h,VCAP,0.74973835,8.668570633e-10,Up
LINCSCP_125015,Cytochalasin B,1.39uM,24h,HT29,0.74908065,9.136159917e-10,Up
LINCSCP_27381,BRD-K62242359,5uM,24h,HT29,0.74884417,9.310011615e-10,Up
LINCSCP_18133,N6-Methyladenosine,10uM,6h,HCC515,0.74764824,1.023797078e-9,Up
LINCSCP_143403,Dequalinium,0.12uM,24h,MCF7,0.74751021,1.035050699e-9,Up
LINCSCP_116778,ZSTK 474,0.37uM,24h,HT29,0.74725773,1.055937651e-9,Up
LINCSCP_236,Atpa,10uM,24h,A375,0.74669714,1.103741227e-9,Up
LINCSCP_50833,N9-Isopropylolomoucine,100uM,6h,RKO,0.74657333,1.114570442e-9,Up
LINCSCP_135920,SPARFLOXACIN,10uM,24h,MCF7,-0.74638845,1.130926447e-9,Up
LINCSCP_290011,Hexylcaine,10uM,24h,VCAP,0.7449513,1.265999803e-9,Up
LINCSCP_116859,CHEMBL1673039,0.12uM,24h,HT29,0.74401979,1.361510471e-9,Up
LINCSCP_135958,BRD-A00474148,1.11uM,24h,MCF7,0.7427388,1.503969672e-9,Up
LINCSCP_50914,AG 14361,20uM,6h,RMGI,0.74196868,1.59624685e-9,Up
LINCSCP_115393,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",3.33uM,3h,HS578T,0.74124377,1.687952232e-9,Up
LINCSCP_57208,CAY10618,10uM,6h,VCAP,0.74034051,1.80916097e-9,Up
LINCSCP_234807,848193-68-0,20uM,6h,LOVO,0.73751901,2.242669995e-9,Up
LINCSCP_43927,SCHEMBL16226068,0.5uM,6h,PC3,0.73719996,2.297416433e-9,Up
LINCSCP_43570,NO-ASA,10uM,6h,NPC,0.73702427,2.328096646e-9,Up
LINCSCP_74332,Valdecoxib,0.04uM,24h,A375,-0.73540053,2.630480211e-9,Up
LINCSCP_47494,AKOS021983165,10uM,24h,PC3,0.73483201,2.744815155e-9,Up
LINCSCP_43319,N-Bromoacetyltryptamine,10uM,6h,NPC,0.7342323,2.87047722e-9,Up
LINCSCP_58493,AC1O9BJ3,10uM,6h,VCAP,0.73395511,2.930369035e-9,Up
LINCSCP_267427,LY 2183240,10uM,6h,PC3,0.73388211,2.94633561e-9,Up
LINCSCP_212131,SMR000543856,10uM,6h,HA1E,0.73369189,2.988327404e-9,Up
LINCSCP_309737,BRD-K20510412,10uM,24h,VCAP,0.73280657,3.191279363e-9,Up
LINCSCP_150326,galantamine,0.37uM,24h,NPC.TAK,0.73134538,3.554833543e-9,Up
LINCSCP_149768,BRD-A25736793,0.12uM,24h,NPC.TAK,0.7303156,3.834060422e-9,Up
LINCSCP_12950,Glyburide,10uM,6h,EFO27,0.72968355,4.015516699e-9,Up
LINCSCP_57201,79966-13-5,10uM,6h,VCAP,0.72927116,4.138228352e-9,Up
LINCSCP_71,NSC25485,10uM,6h,A375,-0.72904939,4.205669212e-9,Up
LINCSCP_146265,761437-28-9,10uM,24h,MNEU.E,-0.72854905,4.361632978e-9,Up
LINCSCP_131306,GSK-1904529A,0.12uM,24h,MCF10A,0.72836137,4.421523074e-9,Up
LINCSCP_88549,Quizartinib,0.12uM,24h,HA1E,-0.72816404,4.485330238e-9,Up
LINCSCP_293904,CGS-15943,10uM,24h,VCAP,0.72804809,4.523221971e-9,Up
LINCSCP_68290,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",10uM,6h,VCAP,0.72672375,4.977921589e-9,Up
LINCSCP_86639,KW-2449,0.37uM,24h,CD34,0.72626333,5.145819164e-9,Up
LINCSCP_21303,Auranofin,10uM,6h,HEC108,0.72549764,5.436870561e-9,Up
LINCSCP_13064,5-Methoxy-alpha-methyltryptamine,10uM,6h,FIBRNPC,0.7253537,5.493285734e-9,Up
LINCSCP_264451,Radicicol,0.1uM,6h,PC3,0.72531246,5.509547666e-9,Up
LINCSCP_9337,"3,7-Bis(dimethylamino)phenothiazin-5-ium",1uM,6h,A549,-0.72493182,5.661810651e-9,Up
LINCSCP_273324,Piromidic acid,10uM,24h,PC3,-0.7242144,5.959602116e-9,Up
LINCSCP_221426,BRD-K68690198,10uM,6h,HEPG2,0.72287288,6.556313444e-9,Up
LINCSCP_138399,Labetalol,0.37uM,24h,MCF7,-0.72275458,6.61154284e-9,Up
LINCSCP_26251,CHEMBL1270004,10uM,6h,HT29,0.72214037,6.905385026e-9,Up
LINCSCP_24438,WYE 125132,1uM,6h,HS578T,-0.72163364,7.156991886e-9,Up
LINCSCP_9336,"3,7-Bis(dimethylamino)phenothiazin-5-ium",10uM,6h,A549,-0.72161333,7.167251801e-9,Up
LINCSCP_15657,79966-13-5,10uM,6h,HA1E,0.7215936,7.177235617e-9,Up
LINCSCP_93694,CLONAZEPAM,0.12uM,24h,HA1E,-0.72082768,7.57498764e-9,Up
LINCSCP_15078,UNII-Q85IYK36S4,10uM,24h,HA1E,0.72034715,7.835001412e-9,Up
LINCSCP_7208,Fusaric acid,10uM,6h,A549,0.71985804,8.108244483e-9,Up
LINCSCP_64549,SCHEMBL16226068,5uM,6h,VCAP,0.71896636,8.629558907e-9,Up
LINCSCP_75478,KW-2478,1.11uM,24h,A375,0.71894969,8.639595128e-9,Up
LINCSCP_45229,79966-13-5,10uM,6h,PC3,0.71838235,8.987874477e-9,Up
LINCSCP_89219,C-Fms Inhibitor,10uM,24h,HA1E,-0.7176831,9.435271839e-9,Up
LINCSCP_13493,Lexibulin,1uM,6h,H1299,-0.7171879,9.764663177e-9,Up
LINCSCP_117095,BRD-A25736793,0.12uM,24h,HT29,0.71709091,9.830431225e-9,Up
LINCSCP_50874,BMS 191011,10uM,6h,RKO,0.71644178,1.028140749e-8,Up
LINCSCP_10813,SPOX1_002925,10uM,24h,ASC,0.71628823,1.039088319e-8,Up
LINCSCP_43807,Elesclomol,10uM,6h,OV7,0.71618655,1.046398237e-8,Up
LINCSCP_161510,Pazopanib,10uM,24h,PC3,-0.71523123,1.117474085e-8,Up
LINCSCP_149841,BMS-509744,0.04uM,24h,NPC.TAK,0.71494054,1.13998561e-8,Up
LINCSCP_161675,Albendazole,0.37uM,24h,PC3,0.71415611,1.202873032e-8,Up
LINCSCP_163353,Radicicol,0.12uM,3h,SKBR3,0.71375045,1.236658082e-8,Up
LINCSCP_220660,Cyclosporin A,10uM,6h,HEPG2,0.71312023,1.290916217e-8,Up
LINCSCP_203175,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",10uM,24h,ASC,0.71276437,1.322532601e-8,Up
LINCSCP_68354,"Trichostatin A, Streptomyces Sp.",10uM,24h,VCAP,0.71214493,1.379306048e-8,Up
LINCSCP_39561,NVP-AUY922,10uM,6h,MDAMB231,0.71091088,1.49929113e-8,Up
LINCSCP_122707,AT13387,0.37uM,24h,HT29,-0.71034713,1.557300607e-8,Up
LINCSCP_253454,SA-1455938,3uM,24h,MCF7,-0.70923293,1.678198146e-8,Up
LINCSCP_70379,NCGC00346967-01,10uM,24h,A375,0.7085925,1.751617563e-8,Up
LINCSCP_108997,Elesclomol,1.11uM,24h,HELA,0.70758188,1.873629256e-8,Up
LINCSCP_68350,Vorinostat,10uM,24h,VCAP,0.70733897,1.904121487e-8,Up
LINCSCP_85752,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",10uM,3h,BT20,0.70723585,1.917206181e-8,Up
LINCSCP_24509,GSK-1070916,10uM,6h,HS578T,-0.70589918,2.094623059e-8,Up
LINCSCP_29304,Arachidonyl Trifluoromethylketone,80uM,6h,LOVO,0.70567413,2.125967497e-8,Up
LINCSCP_10799,SCHEMBL15422032,10uM,24h,ASC,0.70550576,2.149704892e-8,Up
LINCSCP_60911,CHEMBL3182510,5uM,24h,VCAP,-0.70538172,2.16734991e-8,Up
LINCSCP_171092,AT13387,0.12uM,24h,YAPC,0.70522579,2.189725199e-8,Up
LINCSCP_49824,SCHEMBL15422533,10uM,24h,PHH,0.70472707,2.262752727e-8,Up
LINCSCP_254463,BCL-2 Inhibitor,10uM,6h,MCF7,0.70445253,2.303921886e-8,Up
LINCSCP_9774,SCHEMBL16226502,0.01uM,6h,A549,0.70424407,2.335649086e-8,Up
LINCSCP_54535,PNU-74654,80uM,6h,SW948,0.70386862,2.393827315e-8,Up
LINCSCP_22212,MLS002276501,10uM,6h,HEPG2,0.7033925,2.469560384e-8,Up
LINCSCP_30129,SCHEMBL16226068,1uM,6h,MCF7,0.70332528,2.480432223e-8,Up
LINCSCP_68940,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.5uM,6h,VCAP,0.70301501,2.531195614e-8,Up
LINCSCP_10505,CT-200783,10uM,6h,AGS,0.70295812,2.540608055e-8,Up
LINCSCP_146849,STK219801,10uM,24h,NEU,0.70248929,2.619436509e-8,Up
LINCSCP_12957,Cerulenin,40uM,6h,EFO27,0.70237723,2.638615185e-8,Up
LINCSCP_254682,COL-3,10uM,6h,MCF7,-0.70233685,2.645559046e-8,Up
LINCSCP_50466,BRD-K46088987,10uM,6h,PHH,0.70163771,2.768516241e-8,Up
LINCSCP_16142,59826-53-8,10uM,6h,HA1E,0.70145615,2.801312438e-8,Up
LINCSCP_23281,CHEMBL1991045,10uM,6h,HEPG2,0.70128279,2.83296679e-8,Up
LINCSCP_214909,Immethridine,10uM,6h,HCC515,0.70055967,2.968652804e-8,Up
LINCSCP_9766,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.001uM,6h,A549,0.70040616,2.998230686e-8,Up
LINCSCP_108616,brefeldin-a,0.04uM,24h,HELA,0.70031321,3.016274652e-8,Up
LINCSCP_50916,Rilmenidine,10uM,6h,RMGI,0.70022702,3.033096168e-8,Up
LINCSCP_10645,N-[4-(1-Benzoylpiperidin-4-yl)butyl]-3-pyridin-3-ylpropanamide,0.5uM,6h,AGS,-0.70007339,3.063297806e-8,Up
LINCSCP_58937,Xanthohumol,10uM,24h,VCAP,0.7000664,3.064678433e-8,Up
LINCSCP_56307,Betahistine,10uM,24h,VCAP,0.69902292,3.277484803e-8,Up
LINCSCP_86464,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.12uM,3h,BT20,0.69885622,3.31273792e-8,Up
LINCSCP_191640,WZ 4002,10uM,6h,A549,0.69848487,3.392548998e-8,Up
LINCSCP_54911,Gallocatechin Gallate,90uM,6h,THP1,0.69835957,3.419882623e-8,Up
LINCSCP_60454,BRD-K02014458,5uM,6h,VCAP,-0.69825321,3.44324785e-8,Up
LINCSCP_68330,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",10uM,6h,VCAP,0.69728946,3.661875735e-8,Up
LINCSCP_83471,Azacitidine,0.04uM,24h,ASC.C,0.69693805,3.744778955e-8,Up
LINCSCP_106409,Voglibose,0.37uM,24h,HELA,0.69658534,3.829753803e-8,Up
LINCSCP_18073,Brefeldin A,10uM,6h,HCC515,0.69621271,3.921487791e-8,Up
LINCSCP_68544,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",10uM,6h,VCAP,0.69587756,4.005750332e-8,Up
LINCSCP_68234,Wortmannin,10uM,6h,SKMEL28,0.69571161,4.048097012e-8,Up
LINCSCP_13077,BRD-K30553817,10uM,6h,FIBRNPC,0.69556985,4.084603084e-8,Up
LINCSCP_118640,ZD-7288,0.04uM,24h,HT29,0.69538781,4.131932024e-8,Up
LINCSCP_67417,Radicicol,0.1uM,6h,MCF7,0.69483554,4.278687167e-8,Up
LINCSCP_68378,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",10uM,6h,VCAP,0.6946681,4.324134747e-8,Up
LINCSCP_64638,BRD-K25876174,10uM,24h,VCAP,0.69451513,4.366051514e-8,Up
LINCSCP_70232,Epigalocatechin Gallate,0.04uM,24h,A375,0.69387061,4.546873328e-8,Up
LINCSCP_295849,AK-968/11369213,10uM,6h,VCAP,0.69357524,4.632061484e-8,Up
LINCSCP_270267,BRD-K44890999,10uM,24h,PC3,0.69340753,4.681094134e-8,Up
LINCSCP_64555,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",1uM,6h,VCAP,0.69298096,4.808005287e-8,Up
LINCSCP_53628,Kinetin Riboside,10uM,6h,SNGM,0.69220204,5.048100603e-8,Up
LINCSCP_69709,Tivozanib,3.33uM,24h,A375,0.69218694,5.052864539e-8,Up
LINCSCP_23176,BRD-K33619512,10uM,6h,HEPG2,0.69155379,5.256428742e-8,Up
LINCSCP_148334,SB239063,0.12uM,24h,NPC.CAS9,0.69149217,5.276643828e-8,Up
LINCSCP_283242,AC55649,10uM,6h,RMGI,0.69147411,5.282584409e-8,Up
LINCSCP_9818,KU0060648,10uM,6h,A549,-0.69135465,5.322023541e-8,Up
LINCSCP_44649,NS1619,10uM,6h,PC3,0.69076842,5.519600579e-8,Up
LINCSCP_35589,CHEMBL2333346,10uM,6h,MCF7,0.69009239,5.755963332e-8,Up
LINCSCP_171404,Losmapimod,0.04uM,24h,YAPC,0.689664,5.910609478e-8,Up
LINCSCP_44968,Enzalutamide,0.1uM,24h,PC3,0.68860798,6.308589406e-8,Up
LINCSCP_113540,Radicicol,0.04uM,3h,HME1,0.68805571,6.526577325e-8,Up
LINCSCP_116492,C19H19FN4O3,0.04uM,24h,HT29,0.68802913,6.537247302e-8,Up
LINCSCP_10490,NSC23766,100uM,6h,AGS,0.688019,6.541316003e-8,Up
LINCSCP_63725,BRD-K66299073,5uM,24h,VCAP,0.68787936,6.597659714e-8,Up
LINCSCP_444,PRESTWICK3_000646,10uM,6h,A375,-0.68777229,6.641165723e-8,Up
LINCSCP_113620,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",3.33uM,3h,HME1,0.68736295,6.809989211e-8,Up
LINCSCP_139934,Cabozantinib,0.37uM,24h,MCF7,0.68695705,6.981349771e-8,Up
LINCSCP_62938,BRD-K84935204,5uM,24h,VCAP,-0.68656192,7.152034895e-8,Up
LINCSCP_58006,SMR000206936,10uM,6h,VCAP,0.68638982,7.227589373e-8,Up
LINCSCP_30786,DG-041,40uM,6h,MCF7,-0.6862267,7.299891387e-8,Up
LINCSCP_174299,Azelastine,10uM,24h,YAPC,0.68621092,7.30692115e-8,Up
LINCSCP_27408,BRD-K17565092,5uM,24h,HT29,0.68574045,7.519453432e-8,Up
LINCSCP_24619,Alvocidib,0.5uM,6h,HS578T,-0.68542445,7.665434591e-8,Up
LINCSCP_115926,BRD-A24396574-001-01-5,1.11uM,3h,HS578T,0.68430211,8.205632962e-8,Up
LINCSCP_106567,HYDROXYUREA,10uM,24h,HELA,0.68407223,8.32058048e-8,Up
LINCSCP_29838,OSI-027,10uM,6h,MCF10A,-0.68385358,8.43131423e-8,Up
LINCSCP_146311,BS-181,10uM,24h,MNEU.E,-0.68330873,8.713263518e-8,Up
LINCSCP_24587,AZD-8055,0.5uM,6h,HS578T,-0.68313593,8.804510625e-8,Up
LINCSCP_9285,Cucurbitacin-I,3uM,6h,A549,-0.68290098,8.930010487e-8,Up
LINCSCP_163265,Withaferin A,10uM,3h,SKBR3,0.68215204,9.341309667e-8,Up
LINCSCP_68839,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",10uM,6h,VCAP,0.68207301,9.385732532e-8,Up
LINCSCP_130215,Withaferin A,0.37uM,3h,LNCAP,0.68151524,9.70489464e-8,Up
LINCSCP_58583,SPOX1_000651,10uM,24h,VCAP,0.68141388,9.763973661e-8,Up
LINCSCP_37055,MLS004342434,0.5uM,24h,MCF7,0.68123842,9.867036363e-8,Up
LINCSCP_146494,PCI-32765,0.12uM,24h,NEU,0.68074703,1.016111131e-7,Up
