compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Caffeine,2,2,1,Adenosine receptor antagonist|Phosphodiesterase inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40525515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44573853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3824814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57692532,NA,NA,NA,NA,NA,NA,NA,NA
Tozasertib,9,9,1,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,NA,NA,NA,0.41244936,NA,NA,NA,-0.36992568,NA,NA,-0.42556627,NA,0.48994954,0.43515569,-0.32982374,0.38739341,NA,NA,-0.40779836,NA,NA,-0.43151309,0.44056693,-0.57184507,-0.57333495,NA,NA,NA,NA,NA,-0.34750825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47517976,NA,NA,NA,0.46178422,NA,0.56942717,NA,NA,NA,0.44342519,NA,NA,NA,-0.48132029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atorvastatin,3,3,1,HMGCR inhibitor,NA,NA,NA,0.43907083,NA,-0.39686367,NA,NA,-0.57147397,NA,NA,NA,NA,0.43061879,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33309475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42856449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triazine Scaffold, 30",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56964778,NA,NA,NA,NA,-0.39314123,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46888193,NA,NA,NA,NA,NA,NA,0.55450495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicardipine,2,2,1,Calcium channel blocker,NA,NA,0.40292315,-0.5661677,NA,NA,NA,NA,-0.38154401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39560729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verapamil,4,6,0.66666667,Calcium channel blocker,NA,NA,NA,0.53826094,NA,-0.36641685,0.42926394,NA,NA,NA,NA,NA,-0.40529144,-0.39836621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44873394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57398011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38426352,NA,NA,0.37211282,NA,NA,NA,-0.56326874,NA,NA,NA,NA,NA,NA
Acetylcysteine,0,2,0,Mucolytic agent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56324892,NA,-0.3564865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tubacin,0,3,0,HDAC inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,-0.56137607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36720511,-0.43696381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nifekalant,0,3,0,Potassium channel blocker,NA,NA,NA,-0.38368924,NA,NA,NA,NA,-0.37689175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56137478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpha-Tochopherol,0,2,0,Antioxidant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35767869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56134642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Z) Fluvoxamine,0,4,0,Selective serotonin reuptake inhibitor (SSRI),NA,NA,NA,-0.50317779,NA,NA,NA,NA,-0.39389505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55972416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Z) Fluvoxamine,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34516532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectinib,3,7,0.42857143,ALK tyrosine kinase receptor inhibitor|Tyrosine-protein kinase receptor RET inhibitor,NA,NA,NA,-0.45437996,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38142107,-0.55124738,NA,NA,NA,NA,NA,-0.41584826,NA,0.39163681,-0.39103831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44834522,NA,NA,NA,NA,-0.36243766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47220168,NA,NA,NA,NA,NA,NA,0.37135609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rabusertib,4,5,0.8,Serine/threonine-protein kinase Chk1  inhibitor,NA,NA,NA,-0.32164014,NA,NA,0.475975,NA,NA,NA,NA,NA,-0.49905412,-0.54869496,-0.55710494,NA,NA,NA,NA,NA,NA,NA,NA,-0.34548931,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3588103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35782912,NA,NA,NA,NA,NA,NA,0.4112748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pazopanib,6,12,0.5,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,NA,NA,-0.46423556,NA,0.43182443,NA,NA,NA,NA,NA,NA,-0.54779656,NA,NA,-0.33231384,NA,-0.47024588,NA,NA,0.37972707,0.46504283,-0.43437873,-0.41945881,0.43846778,NA,NA,NA,NA,NA,-0.45569408,NA,NA,-0.51640508,NA,NA,-0.39558018,-0.33369377,NA,NA,NA,0.39104323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48821121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37114808,-0.37872283,NA,NA,NA
Nevirapine,2,3,0.66666667,Reverse transcriptase inhibitor,NA,NA,NA,-0.45413147,NA,NA,NA,NA,NA,NA,NA,NA,0.40290626,-0.54518616,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51811695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33582574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clofibric acid,4,4,1,PPAR receptor agonist,NA,NA,NA,NA,NA,NA,-0.44093165,-0.32221867,0.5268171,NA,NA,NA,-0.54512527,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41631203,0.43746793,NA,NA,NA,NA,NA,NA,-0.47839965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48946788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azacitidine,4,8,0.5,DNA (cytosine-5)-methyltransferase 3A inhibitor (DNA|DNA (cytosine-5)-methyltransferase 1 inhibitor (DNA,NA,NA,NA,NA,NA,-0.54431653,NA,NA,0.44283441,NA,NA,NA,0.45621902,-0.49370163,NA,NA,NA,NA,NA,-0.49037874,NA,NA,NA,-0.43083943,NA,NA,NA,NA,NA,NA,-0.60098277,NA,NA,0.39298024,NA,NA,-0.41174591,-0.43910032,NA,NA,NA,NA,NA,-0.41903038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34152511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ofloxacin,4,2,2,Bacterial DNA gyrase inhibitor,NA,NA,NA,-0.40838262,NA,NA,NA,NA,0.39270607,NA,NA,NA,NA,0.47939711,NA,NA,NA,NA,NA,NA,NA,NA,0.48495986,-0.5441399,NA,NA,NA,NA,NA,NA,0.53992563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrabenazine,1,1,1,Vesicular monoamine transporter inhibitor,NA,NA,NA,NA,NA,NA,-0.54354795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49380275,NA,NA,NA,NA,NA,NA,NA,NA
Fluticasone Propionate,0,5,0,Glucocorticoid receptor agonist,NA,NA,NA,-0.377205,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43210086,-0.69337766,NA,NA,NA,NA,NA,NA,NA,NA,-0.40999948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54162557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluoropyruvate,1,6,0.16666667,Pyruvate dehydrogenase inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,-0.39650786,NA,NA,NA,-0.42396217,NA,-0.38366994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45953891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34571592,NA,NA,NA,NA,NA,NA,NA,-0.3536799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54148353,NA
Hydroxyprogesterone Caproate,0,5,0,Progesterone receptor agonist,NA,NA,NA,-0.54301669,NA,NA,NA,NA,NA,NA,NA,NA,-0.54114212,NA,-0.51591283,NA,NA,NA,NA,NA,NA,NA,NA,-0.4426972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.60489223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Repaglinide,2,4,0.5,Insulin secretagogue,NA,NA,NA,NA,NA,NA,NA,NA,0.54020841,NA,NA,NA,-0.32955935,0.38615623,NA,NA,NA,NA,NA,NA,NA,NA,-0.33123284,NA,NA,NA,NA,NA,NA,NA,-0.34400431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54110497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicotine,1,3,0.33333333,Acetylcholine receptor agonist,NA,NA,NA,NA,NA,NA,NA,NA,-0.48942253,NA,NA,NA,0.50576773,-0.3797636,-0.54020335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desoxycorticosterone,2,5,0.4,Mineralocorticoid receptor agonist,NA,NA,NA,0.45058551,NA,NA,-0.35371283,NA,-0.41377688,NA,NA,NA,-0.38318584,NA,-0.50860231,NA,NA,NA,NA,NA,NA,NA,NA,-0.53970314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37834854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dibenzepin,1,1,1,Norepinephrine reuptake inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38158655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53944894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primidone,0,2,0,GABA receptor antagonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33639508,-0.5393006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenothiazine,0,5,0,Dopamine receptor antagonist,NA,NA,-0.5136868,-0.39661344,NA,NA,NA,NA,NA,NA,NA,NA,-0.53810927,NA,-0.36934927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34662271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyrazinamide,1,2,0.5,Fatty acid synthase inhibitor,NA,NA,NA,0.39670624,NA,NA,NA,NA,NA,NA,NA,NA,-0.53704689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35991522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suprofen,1,2,0.5,Cyclooxygenase inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41448189,-0.5368028,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43637038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olaparib,12,9,1.33333333,PARP inhibitor,NA,NA,NA,NA,NA,-0.53414688,0.59542291,NA,-0.42022569,NA,NA,NA,-0.46303025,-0.42069655,0.55577899,-0.3693843,NA,0.37689508,NA,NA,0.58745926,0.61244179,0.47285334,0.41714726,0.61502245,NA,NA,NA,NA,NA,NA,NA,NA,-0.4249493,NA,NA,0.4895489,NA,NA,NA,NA,-0.34457066,-0.39748048,0.40482692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40310824,0.57813056,NA,NA,NA,NA,NA,0.44509251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
