signatureid,compound,cellline,similarity,region,comparison
LINCSCP_68192,Vorinostat,RMGI,-0.51408393,NAC,05p_overall
LINCSCP_4405,Nalbuphine,A549,-0.51354836,NAC,05p_overall
LINCSCP_139754,Propentofylline,MCF7,-0.51351743,NAC,05p_overall
LINCSCP_83570,Anacardic acid,ASC.C,-0.51237715,NAC,05p_overall
LINCSCP_14881,Aristolochic acid,HA1E,-0.51144143,NAC,05p_overall
LINCSCP_14332,Quercetin,HA1E,-0.51142217,NAC,05p_overall
LINCSCP_104462,Pomalidomide,HELA,-0.51115669,NAC,05p_overall
LINCSCP_165770,Entinostat,SKL,-0.51042618,NAC,05p_overall
LINCSCP_68220,"Trichostatin A, Streptomyces Sp.",SKLU1,-0.51032783,NAC,05p_overall
LINCSCP_71556,Carprofen,A375,-0.51008356,NAC,05p_overall
LINCSCP_102080,D-LACTITOL MONOHYDRATE,HELA,-0.50834444,NAC,05p_overall
LINCSCP_119950,Pantoprazole,HT29,-0.50692186,NAC,05p_overall
LINCSCP_6469,Aggc,A549,-0.50609471,NAC,05p_overall
LINCSCP_15689,Nifedipine,HA1E,-0.50522337,NAC,05p_overall
LINCSCP_105655,Acetaminophen,HELA,-0.50354002,NAC,05p_overall
LINCSCP_16671,Dacinostat,HA1E,-0.49939015,NAC,05p_overall
LINCSCP_155623,Brivanib,PC3,-0.49920715,NAC,05p_overall
LINCSCP_88796,Mocetinostat,HA1E,-0.49918161,NAC,05p_overall
LINCSCP_93470,Epitiostanol,HA1E,-0.49685332,NAC,05p_overall
LINCSCP_167552,Odanacatib (MK-0822),YAPC,-0.49619933,NAC,05p_overall
LINCSCP_69540,Radicicol,A375,-0.49041253,NAC,05p_overall
LINCSCP_16662,Pictilisib,HA1E,-0.48975291,NAC,05p_overall
LINCSCP_105698,BUTORPHANOL-(+)-TARTRATE (DEA license),HELA,-0.4880876,NAC,05p_overall
LINCSCP_17227,Curcumin,HA1E,-0.48797887,NAC,05p_overall
LINCSCP_109436,RESORCINOL,HELA,-0.4877445,NAC,05p_overall
LINCSCP_21381,(S)-Tipifarnib,HEC108,-0.4875748,NAC,05p_overall
LINCSCP_14213,Irinotecan,HA1E,-0.48632645,NAC,05p_overall
LINCSCP_53000,Piplartine,SKLU1,-0.48621812,NAC,05p_overall
LINCSCP_96688,Quisinostat,HA1E,-0.48600131,NAC,05p_overall
LINCSCP_29886,Infigratinib,MCF10A,-0.48521077,NAC,05p_overall
LINCSCP_21152,Rita,HCT116,-0.48403967,NAC,05p_overall
LINCSCP_16720,Dovitinib,HA1E,-0.48194172,NAC,05p_overall
LINCSCP_90846,Pelitinib,HA1E,-0.48060814,NAC,05p_overall
LINCSCP_101684,Bambuterol,HELA,-0.47994286,NAC,05p_overall
LINCSCP_155675,Amlexanox,PC3,-0.47983464,NAC,05p_overall
LINCSCP_169675,Pentamidine,YAPC,-0.47911347,NAC,05p_overall
LINCSCP_14424,Scriptaid,HA1E,-0.47795565,NAC,05p_overall
LINCSCP_169229,Resminostat,YAPC,-0.47788591,NAC,05p_overall
LINCSCP_71502,Sotrastaurin,A375,-0.47782322,NAC,05p_overall
LINCSCP_44968,Enzalutamide,PC3,-0.4750221,NAC,05p_overall
LINCSCP_55781,"(Z,E)-3-(imidazol-4-Ylmethylene)indolin-2-one",VCAP,-0.47478654,NAC,05p_overall
LINCSCP_94146,Idelalisib,HA1E,-0.47432305,NAC,05p_overall
LINCSCP_293920,Pentoxifylline,VCAP,-0.47317797,NAC,05p_overall
LINCSCP_21421,Parthenolide,HEC108,-0.47246945,NAC,05p_overall
LINCSCP_105647,(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid,HELA,-0.47180718,NAC,05p_overall
LINCSCP_64596,Vorinostat,VCAP,-0.47078022,NAC,05p_overall
LINCSCP_15924,"D,L Carbidopa",HA1E,-0.46881139,NAC,05p_overall
LINCSCP_68644,"Trichostatin A, Streptomyces Sp.",VCAP,-0.46761605,NAC,05p_overall
LINCSCP_131023,Fedratinib,MCF10A,-0.46632293,NAC,05p_overall
LINCSCP_754,Phenothiazine,A375,-0.46562757,NAC,05p_overall
LINCSCP_14664,Brazilin,HA1E,-0.46536635,NAC,05p_overall
LINCSCP_169750,Desoxypeganine,YAPC,-0.4653147,NAC,05p_overall
LINCSCP_137992,Berberine,MCF7,-0.46488463,NAC,05p_overall
LINCSCP_14217,Abexinostat,HA1E,-0.4647419,NAC,05p_overall
LINCSCP_94033,Clofazimine,HA1E,-0.46436024,NAC,05p_overall
LINCSCP_14030,Digoxigenin,HA1E,-0.46378281,NAC,05p_overall
LINCSCP_84000,Veliparib,ASC.C,-0.46359079,NAC,05p_overall
LINCSCP_104841,Nicotine,HELA,-0.46344734,NAC,05p_overall
LINCSCP_113029,Saracatinib,HME1,-0.46291311,NAC,05p_overall
LINCSCP_16241,MD-II-038,HA1E,-0.46185655,NAC,05p_overall
LINCSCP_171821,Ivacaftor (VX-770),YAPC,-0.46166036,NAC,05p_overall
LINCSCP_58172,Docetaxel Intermediate,VCAP,-0.46078765,NAC,05p_overall
LINCSCP_19468,Fumonisin-B1,HCC515,-0.4599723,NAC,05p_overall
LINCSCP_690,Flutamide,A375,-0.45996832,NAC,05p_overall
LINCSCP_16502,Amonafide,HA1E,-0.45989019,NAC,05p_overall
LINCSCP_112094,Rebastinib,HEPG2,-0.45845714,NAC,05p_overall
LINCSCP_170423,Diphenidol,YAPC,-0.45739409,NAC,05p_overall
LINCSCP_14868,Bisindolylmaleimide IX,HA1E,-0.45704248,NAC,05p_overall
LINCSCP_105009,Bopindolol  malonate,HELA,-0.45690864,NAC,05p_overall
LINCSCP_103896,Cevimeline hydrochloride,HELA,-0.45681195,NAC,05p_overall
LINCSCP_70676,Regorafenib,A375,-0.45532604,NAC,05p_overall
LINCSCP_105575,Vinburnine,HELA,-0.45393519,NAC,05p_overall
LINCSCP_74616,Ciprofloxacin,A375,-0.45333206,NAC,05p_overall
LINCSCP_103179,FAMPRIDINE,HELA,-0.45290883,NAC,05p_overall
LINCSCP_108865,METERGOLINE,HELA,-0.4526093,NAC,05p_overall
LINCSCP_75484,(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid,A375,-0.4516276,NAC,05p_overall
LINCSCP_51017,Tozasertib,RMGI,-0.45031123,NAC,05p_overall
LINCSCP_87529,Veliparib,CD34,-0.44945874,NAC,05p_overall
LINCSCP_12942,O-Demethylated Adapalene,EFO27,-0.44916229,NAC,05p_overall
LINCSCP_22901,Abexinostat,HEPG2,-0.44851567,NAC,05p_overall
LINCSCP_68190,"Trichostatin A, Streptomyces Sp.",RMGI,-0.44718594,NAC,05p_overall
LINCSCP_68193,"Trichostatin A, Streptomyces Sp.",RMUGS,-0.44632299,NAC,05p_overall
LINCSCP_12274,Fedratinib,BT20,-0.44605178,NAC,05p_overall
LINCSCP_21295,Quinacrine,HEC108,-0.44407493,NAC,05p_overall
LINCSCP_88427,Allitinib,HA1E,-0.44367817,NAC,05p_overall
LINCSCP_78642,Trazodone,A375,-0.44363094,NAC,05p_overall
LINCSCP_51027,Parthenolide,RMGI,-0.44350034,NAC,05p_overall
LINCSCP_293813,Ampiroxicam,VCAP,-0.44326686,NAC,05p_overall
LINCSCP_153595,Levocabastine,PC3,-0.44285262,NAC,05p_overall
LINCSCP_13690,Cdc,HA1E,-0.44115532,NAC,05p_overall
LINCSCP_15628,Quinoclamine,HA1E,-0.44091163,NAC,05p_overall
LINCSCP_104827,Ledipasvir,HELA,-0.4405907,NAC,05p_overall
LINCSCP_74496,Swainsonine,A375,-0.44050311,NAC,05p_overall
LINCSCP_218715,Calcitriol,HEC108,-0.43998366,NAC,05p_overall
LINCSCP_88369,Dinaciclib,HA1E,-0.43934549,NAC,05p_overall
LINCSCP_10590,Phenethylisothiocyanate,AGS,-0.43878871,NAC,05p_overall
LINCSCP_103353,Anacetrapib (MK-0859),HELA,-0.43827651,NAC,05p_overall
LINCSCP_16507,Tozasertib,HA1E,-0.43765224,NAC,05p_overall
LINCSCP_54834,Erastin,THP1,-0.43762294,NAC,05p_overall
LINCSCP_16460,Sorafenib,HA1E,-0.43727119,NAC,05p_overall
LINCSCP_296076,Podofilox,VCAP,-0.43708217,NAC,05p_overall
LINCSCP_22674,dactinomycin,HEPG2,-0.43672564,NAC,05p_overall
LINCSCP_72215,Diflunisal,A375,-0.43627406,NAC,05p_overall
LINCSCP_102228,Pterostilbene,HELA,-0.43596538,NAC,05p_overall
LINCSCP_128158,Sunitinib,HUES3,-0.43591942,NAC,05p_overall
LINCSCP_175878,Istaroxime (hydrochloride),YAPC,-0.43590458,NAC,05p_overall
LINCSCP_12935,Piplartine,EFO27,-0.43496112,NAC,05p_overall
LINCSCP_54596,Loperamide,SW948,-0.43455938,NAC,05p_overall
LINCSCP_94678,Romidepsin,HA1E,-0.43446973,NAC,05p_overall
LINCSCP_272191,Tetrahydrobiopterin,PC3,-0.43363723,NAC,05p_overall
LINCSCP_54482,Promazine,SW948,-0.43350521,NAC,05p_overall
LINCSCP_50951,Fcodpguefhccia-Uhfffaoysa-N,RMGI,-0.43343508,NAC,05p_overall
LINCSCP_283808,Tozasertib,SKB,-0.43338514,NAC,05p_overall
LINCSCP_128116,Dacomitinib,HUES3,-0.43334821,NAC,05p_overall
LINCSCP_104090,Bicalutamide,HELA,-0.43310082,NAC,05p_overall
LINCSCP_97345,Ibrutinib (PCI-32765),HA1E,-0.43309015,NAC,05p_overall
LINCSCP_39616,Gefitinib,MDAMB231,-0.43253945,NAC,05p_overall
LINCSCP_107117,penicillin,HELA,-0.43156692,NAC,05p_overall
LINCSCP_288134,MW-STK33-97,THP1,-0.43142799,NAC,05p_overall
LINCSCP_169655,Cisapride,YAPC,-0.43042769,NAC,05p_overall
LINCSCP_49939,PU-H-71,PHH,-0.42972811,NAC,05p_overall
LINCSCP_116771,Selumetinib,HT29,-0.42933091,NAC,05p_overall
LINCSCP_104219,Temozolomide,HELA,-0.42767569,NAC,05p_overall
LINCSCP_137834,Pomalidomide,MCF7,-0.42759424,NAC,05p_overall
LINCSCP_105600,Ketorolac,HELA,-0.42724448,NAC,05p_overall
LINCSCP_41777,"Trichostatin A, Streptomyces Sp.",NKDBA,-0.42718532,NAC,05p_overall
LINCSCP_22931,Daunorubicin,HEPG2,-0.42689559,NAC,05p_overall
LINCSCP_2781,Syrosingopine,A375,-0.42682242,NAC,05p_overall
LINCSCP_119911,Praziquantel,HT29,-0.42670522,NAC,05p_overall
LINCSCP_104866,Fluconazole,HELA,-0.4264815,NAC,05p_overall
LINCSCP_74468,Berberine,A375,-0.42635936,NAC,05p_overall
LINCSCP_169230,Ketotifen,YAPC,-0.42592128,NAC,05p_overall
LINCSCP_104928,Voriconazole,HELA,-0.42590419,NAC,05p_overall
LINCSCP_75103,Olaparib,A375,-0.42581411,NAC,05p_overall
LINCSCP_168259,Castanospermine,YAPC,-0.42479531,NAC,05p_overall
LINCSCP_103493,Gallopamil,HELA,-0.423243,NAC,05p_overall
LINCSCP_88280,Mitoxantrone,HA1E,-0.42262507,NAC,05p_overall
LINCSCP_109308,Probucol,HELA,-0.4213888,NAC,05p_overall
LINCSCP_281939,"Trichostatin A, Streptomyces Sp.",PHH,-0.42073435,NAC,05p_overall
LINCSCP_107778,Febuxostat,HELA,-0.4206314,NAC,05p_overall
LINCSCP_191746,Fluconazole,A549,-0.4205291,NAC,05p_overall
LINCSCP_16718,Alvespimycin,HA1E,-0.41828269,NAC,05p_overall
LINCSCP_204163,Flurofamide,ASC,-0.41806329,NAC,05p_overall
LINCSCP_21201,Isoliquiritigenin,HCT116,-0.41791915,NAC,05p_overall
LINCSCP_34556,Mepenzolate,MCF7,-0.41740508,NAC,05p_overall
LINCSCP_51223,Vorinostat,RMUGS,-0.41686877,NAC,05p_overall
LINCSCP_167544,Amlodipine,YAPC,-0.41649182,NAC,05p_overall
LINCSCP_171908,Methimazole,YAPC,-0.41613508,NAC,05p_overall
LINCSCP_155589,Ampalex,PC3,-0.41551374,NAC,05p_overall
LINCSCP_101226,SAQUINAVIR MESYLATE,HELA,-0.41522993,NAC,05p_overall
LINCSCP_53586,Dorsomorphin,SNGM,-0.41514731,NAC,05p_overall
LINCSCP_154573,Piracetam,PC3,-0.41511177,NAC,05p_overall
LINCSCP_170498,Minaprine,YAPC,-0.41437972,NAC,05p_overall
LINCSCP_71484,Zaprinast,A375,-0.41409599,NAC,05p_overall
LINCSCP_23080,Dorsomorphin,HEPG2,-0.41380489,NAC,05p_overall
LINCSCP_106297,Pentoxifylline,HELA,-0.41362009,NAC,05p_overall
LINCSCP_136587,Diphenylpyraline,MCF7,-0.41330743,NAC,05p_overall
LINCSCP_114214,Mocetinostat,HME1,-0.41309354,NAC,05p_overall
LINCSCP_97940,Pimecrolimus,HA1E,-0.41257801,NAC,05p_overall
LINCSCP_16261,Givinostat,HA1E,-0.41234841,NAC,05p_overall
LINCSCP_294817,Sitagliptin,VCAP,-0.4117449,NAC,05p_overall
LINCSCP_170449,Amoxapine,YAPC,-0.4116759,NAC,05p_overall
LINCSCP_168640,Anastrozole,YAPC,-0.41115626,NAC,05p_overall
LINCSCP_68257,"Trichostatin A, Streptomyces Sp.",T3M10,-0.41081205,NAC,05p_overall
LINCSCP_295480,Fenretinide,VCAP,-0.41068892,NAC,05p_overall
LINCSCP_74775,Voriconazole,A375,-0.4103503,NAC,05p_overall
LINCSCP_175232,Lu AE58054 (Hydrochloride),YAPC,-0.41033705,NAC,05p_overall
LINCSCP_104398,amisulpride,HELA,-0.4100508,NAC,05p_overall
LINCSCP_122346,Cilomilast,HT29,-0.40992976,NAC,05p_overall
LINCSCP_14769,Quetiapine,HA1E,-0.4098372,NAC,05p_overall
LINCSCP_16747,sunitinib,HA1E,-0.40908814,NAC,05p_overall
LINCSCP_91382,Chrysin,HA1E,-0.4080001,NAC,05p_overall
LINCSCP_86860,Infigratinib,CD34,-0.4079654,NAC,05p_overall
LINCSCP_14,Sorafenib,A375,-0.40764491,NAC,05p_overall
LINCSCP_156793,Bupivacaine,PC3,-0.40762161,NAC,05p_overall
LINCSCP_103377,Glafenine,HELA,-0.40730665,NAC,05p_overall
LINCSCP_167158,Dextromethorphan,YAPC,-0.40719977,NAC,05p_overall
LINCSCP_17611,Pala,HCC15,-0.40703638,NAC,05p_overall
LINCSCP_59308,Merck-Ketone,VCAP,-0.40694733,NAC,05p_overall
LINCSCP_54856,Myriocin,THP1,-0.4065451,NAC,05p_overall
LINCSCP_170360,meloxicam,YAPC,-0.4059072,NAC,05p_overall
LINCSCP_72270,Tafamidis,A375,-0.40516131,NAC,05p_overall
LINCSCP_4361,Hydrocotarnine,A549,-0.40466075,NAC,05p_overall
LINCSCP_119875,Castanospermine,HT29,-0.40422977,NAC,05p_overall
LINCSCP_220487,Estradiol,HEPG2,-0.40417084,NAC,05p_overall
LINCSCP_33717,Lasalocid,MCF7,-0.40354943,NAC,05p_overall
LINCSCP_50972,Phenethylisothiocyanate,RMGI,-0.40349252,NAC,05p_overall
LINCSCP_49956,Dacinostat,PHH,-0.40347782,NAC,05p_overall
LINCSCP_169299,Lorglumide,YAPC,-0.40316784,NAC,05p_overall
LINCSCP_22567,Dacinostat,HEPG2,-0.40239774,NAC,05p_overall
LINCSCP_94057,Roxithromycin,HA1E,-0.40197637,NAC,05p_overall
LINCSCP_41584,Nullscript,NEU,-0.40170799,NAC,05p_overall
LINCSCP_19167,Periplocymarin,HCC515,-0.40163766,NAC,05p_overall
LINCSCP_104500,Pentamidine,HELA,-0.4013309,NAC,05p_overall
LINCSCP_8014,DL-Norepinephrine,A549,-0.4006126,NAC,05p_overall
LINCSCP_175925,NIKETHAMIDE,YAPC,-0.40053204,NAC,05p_overall
LINCSCP_289591,Raclopride,VCAP,-0.40041089,NAC,05p_overall
LINCSCP_53614,Vorinostat,SNGM,-0.40000157,NAC,05p_overall
LINCSCP_105689,Cyclobenzaprine,HELA,-0.39988262,NAC,05p_overall
LINCSCP_75382,Epirizole,A375,-0.39966843,NAC,05p_overall
LINCSCP_256748,Cytosporone B,NCIH1694,-0.39927423,NAC,05p_overall
LINCSCP_104155,Levothyroxine,HELA,-0.39907616,NAC,05p_overall
LINCSCP_57007,Quinacrine,VCAP,-0.39848051,NAC,05p_overall
LINCSCP_51071,Chaetocin,RMUGS,-0.39822317,NAC,05p_overall
LINCSCP_16735,Pilaralisib,HA1E,-0.39798638,NAC,05p_overall
LINCSCP_126037,Doxofylline,HT29,-0.39754017,NAC,05p_overall
LINCSCP_173669,Palovarotene,YAPC,-0.39720077,NAC,05p_overall
LINCSCP_138373,Esmolol,MCF7,-0.39708676,NAC,05p_overall
LINCSCP_165825,I-BET151,SKL,-0.39589638,NAC,05p_overall
LINCSCP_164214,Tivantinib,SKL.C,-0.3957739,NAC,05p_overall
LINCSCP_15038,Phenylalanyltyrosine,HA1E,-0.39570502,NAC,05p_overall
LINCSCP_296,Ichthynone,A375,-0.39570367,NAC,05p_overall
LINCSCP_105684,Protriptyline,HELA,-0.39539362,NAC,05p_overall
LINCSCP_74422,Guanadrel,A375,-0.39538142,NAC,05p_overall
LINCSCP_88894,Decitabine,HA1E,-0.39499788,NAC,05p_overall
LINCSCP_74533,MILNACIPRAN HYDROCHLORIDE,A375,-0.39475145,NAC,05p_overall
LINCSCP_137847,Cisapride,MCF7,-0.39465435,NAC,05p_overall
LINCSCP_103913,Piretanide,HELA,-0.39421037,NAC,05p_overall
LINCSCP_219091,Cyclosporin A,HEPG2,-0.39401322,NAC,05p_overall
LINCSCP_43666,Taurocholate,NPC,-0.39385248,NAC,05p_overall
LINCSCP_103545,Prothiaden Spofa,HELA,-0.3936966,NAC,05p_overall
LINCSCP_74490,Emedastine,A375,-0.3934452,NAC,05p_overall
LINCSCP_169628,Dapivirine (TMC120),YAPC,-0.39322277,NAC,05p_overall
LINCSCP_175048,Beta-Narcotine,YAPC,-0.39303127,NAC,05p_overall
LINCSCP_13066,"D,L Carbidopa",FIBRNPC,-0.39287972,NAC,05p_overall
LINCSCP_105504,Arundine,HELA,-0.39278391,NAC,05p_overall
LINCSCP_102051,Methylnaltrexone (Bromide),HELA,-0.39256498,NAC,05p_overall
LINCSCP_146168,Sunitinib,MNEU.E,-0.39247374,NAC,05p_overall
LINCSCP_103460,Anastrozole,HELA,-0.39230808,NAC,05p_overall
LINCSCP_168297,Praziquantel,YAPC,-0.39230094,NAC,05p_overall
LINCSCP_137779,EXALAMIDE,MCF7,-0.39228236,NAC,05p_overall
LINCSCP_52524,Trimipramine,SKB,-0.39218883,NAC,05p_overall
LINCSCP_208931,Nilutamide,HA1E,-0.3917657,NAC,05p_overall
LINCSCP_54340,Vorinostat,SW620,-0.39051208,NAC,05p_overall
LINCSCP_15308,Isoliquiritigenin,HA1E,-0.38996528,NAC,05p_overall
LINCSCP_147541,Allitinib,NPC.CAS9,-0.38943243,NAC,05p_overall
LINCSCP_155694,Acifran,PC3,-0.38916078,NAC,05p_overall
LINCSCP_59085,Dacinostat,VCAP,-0.38882058,NAC,05p_overall
LINCSCP_68248,Vorinostat,SW480,-0.38880911,NAC,05p_overall
LINCSCP_92986,Nebivolol,HA1E,-0.38851394,NAC,05p_overall
LINCSCP_174167,Semagacestat (LY450139),YAPC,-0.38803791,NAC,05p_overall
LINCSCP_104480,Valdecoxib,HELA,-0.38803132,NAC,05p_overall
LINCSCP_102066,Linagliptin,HELA,-0.38783964,NAC,05p_overall
LINCSCP_105528,Imipramine,HELA,-0.38781234,NAC,05p_overall
LINCSCP_14602,Alverine,HA1E,-0.3877833,NAC,05p_overall
LINCSCP_15105,etoposide,HA1E,-0.3874418,NAC,05p_overall
LINCSCP_101415,Disopyramide,HELA,-0.38732414,NAC,05p_overall
LINCSCP_108504,Candesartan,HELA,-0.38726694,NAC,05p_overall
LINCSCP_155483,Isoniazid,PC3,-0.38707158,NAC,05p_overall
LINCSCP_68249,"Trichostatin A, Streptomyces Sp.",SW620,-0.3868804,NAC,05p_overall
LINCSCP_119902,Medetomidine,HT29,-0.38683559,NAC,05p_overall
LINCSCP_137945,Desoxypeganine,MCF7,-0.38638536,NAC,05p_overall
LINCSCP_74314,Pomalidomide,A375,-0.38631138,NAC,05p_overall
LINCSCP_13721,Dictamnine,HA1E,-0.38559919,NAC,05p_overall
LINCSCP_57074,Fedratinib,VCAP,-0.38540542,NAC,05p_overall
LINCSCP_236665,Temozolomide,MCF7,-0.38537349,NAC,05p_overall
LINCSCP_121199,EXALAMIDE,HT29,-0.38537123,NAC,05p_overall
LINCSCP_52983,Fedratinib,SKLU1,-0.38481536,NAC,05p_overall
LINCSCP_6872,Famciclovir,A549,-0.38479017,NAC,05p_overall
LINCSCP_136345,Cnqx,MCF7,-0.38434534,NAC,05p_overall
LINCSCP_51126,Imiquimod,RMUGS,-0.3843215,NAC,05p_overall
LINCSCP_168595,Toremifene,YAPC,-0.38404498,NAC,05p_overall
LINCSCP_105725,Acetazolamide,HELA,-0.3832341,NAC,05p_overall
LINCSCP_170753,Vinburnine,YAPC,-0.38300508,NAC,05p_overall
LINCSCP_168167,Sitagliptin,YAPC,-0.38299653,NAC,05p_overall
LINCSCP_168914,Dolasetron,YAPC,-0.38254244,NAC,05p_overall
LINCSCP_30214,Bromhexine,MCF7,-0.3824992,NAC,05p_overall
LINCSCP_92244,Ketotifen,HA1E,-0.38239066,NAC,05p_overall
LINCSCP_19072,Mephentermine,HCC515,-0.38155467,NAC,05p_overall
LINCSCP_58933,Hnha,VCAP,-0.38117928,NAC,05p_overall
LINCSCP_104737,Nepafenac,HELA,-0.38055069,NAC,05p_overall
LINCSCP_55010,Sepantronium,THP1,-0.38048706,NAC,05p_overall
LINCSCP_106225,Losmapimod,HELA,-0.38047227,NAC,05p_overall
LINCSCP_69363,Tamatinib,A375,-0.38033999,NAC,05p_overall
LINCSCP_58756,Trichostatin,VCAP,-0.37971141,NAC,05p_overall
LINCSCP_58700,Pyroxamide,VCAP,-0.37967017,NAC,05p_overall
LINCSCP_150407,Alectinib,NPC.TAK,-0.37938569,NAC,05p_overall
LINCSCP_65051,Thapsigargin,VCAP,-0.37931853,NAC,05p_overall
LINCSCP_173985,Trazodone,YAPC,-0.37909583,NAC,05p_overall
LINCSCP_15631,Pevonedistat,HA1E,-0.37891782,NAC,05p_overall
LINCSCP_73941,Bicalutamide,A375,-0.37872696,NAC,05p_overall
LINCSCP_14200,Dobutamine,HA1E,-0.37872366,NAC,05p_overall
LINCSCP_106012,Cariprazine,HELA,-0.37861891,NAC,05p_overall
LINCSCP_15179,Brefeldin A,HA1E,-0.37854275,NAC,05p_overall
LINCSCP_16205,Idarubicin,HA1E,-0.37853422,NAC,05p_overall
LINCSCP_155375,Pyridostigmine,PC3,-0.3784609,NAC,05p_overall
LINCSCP_103442,Fosinopril,HELA,-0.3782671,NAC,05p_overall
LINCSCP_41622,Panobinostat,NKDBA,-0.37824386,NAC,05p_overall
LINCSCP_146792,Ricolinostat,NEU,-0.37785003,NAC,05p_overall
LINCSCP_104189,Donitriptan hydrochloride,HELA,-0.37760921,NAC,05p_overall
LINCSCP_74137,ZIDOVUDINE [AZT],A375,-0.3774807,NAC,05p_overall
LINCSCP_134262,Regorafenib,MCF7,-0.37740349,NAC,05p_overall
LINCSCP_168870,Glyburide,YAPC,-0.37728834,NAC,05p_overall
LINCSCP_105427,Lersivirine,HELA,-0.37725838,NAC,05p_overall
LINCSCP_109182,Atorvastatin,HELA,-0.37683099,NAC,05p_overall
LINCSCP_155735,Levothyroxine,PC3,-0.37674565,NAC,05p_overall
LINCSCP_14874,Apigenin Triacetate,HA1E,-0.37672979,NAC,05p_overall
LINCSCP_86151,rifampicin,BT20,-0.37620187,NAC,05p_overall
