compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Sotalol,0,3,0,Adrenergic receptor antagonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35057552,-0.4185267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5707246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raloxifene,4,4,1,Estrogen receptor beta modulator,NA,NA,NA,-0.35614149,NA,-0.47356095,NA,NA,NA,NA,NA,NA,0.58389767,-0.40887624,-0.56624463,NA,NA,NA,NA,NA,NA,NA,0.62597429,0.39847657,NA,NA,NA,NA,NA,NA,0.56430056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pantoprazole,1,2,0.5,ATPase inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45469285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56567167,NA,NA,NA,NA,0.42227643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tolazamide,0,10,0,ATP channel blocker,NA,NA,NA,-0.49002126,NA,NA,NA,NA,-0.37907657,NA,NA,NA,-0.42613451,-0.42774749,NA,NA,NA,NA,NA,NA,NA,NA,-0.4644597,-0.56255657,NA,NA,NA,NA,NA,NA,-0.45007552,-0.41809605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36405752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38283066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masitinib,6,7,0.85714286,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor,NA,NA,NA,0.40790114,NA,NA,NA,-0.32595816,NA,NA,NA,NA,NA,-0.47286985,NA,-0.40331594,NA,NA,NA,NA,NA,NA,-0.37767717,0.36140556,-0.42414404,NA,NA,NA,NA,NA,NA,NA,NA,-0.56000119,NA,NA,0.33696723,0.48784737,NA,NA,NA,0.49449859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41925271,NA,NA,NA,NA,NA,NA,NA,-0.43197587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aminoglutethimide,2,2,1,Glucocorticoid receptor antagonist,NA,NA,NA,0.41811825,NA,-0.44098762,-0.55960223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33499049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TIBOLONE,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55808761,-0.55892346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53764505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonidamine,0,6,0,Glucokinase inhibitor,NA,NA,-0.55520266,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36134432,-0.49293443,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45999235,NA,NA,NA,NA,NA,NA,NA,-0.39163064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40305105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gly-Gly-Palo,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34230971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44360488,NA,NA,NA,NA,NA,-0.55484754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apatinib Hydrochloride,0,7,0,HDAC inhibitor,NA,NA,NA,-0.44266664,NA,-0.44462369,-0.3582927,NA,-0.43528558,NA,NA,NA,-0.55427133,NA,-0.41941637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42072142,NA,NA,NA,NA,NA,NA,NA,NA
Panobinostat,1,6,0.16666667,HDAC inhibitor,NA,NA,NA,0.42158807,NA,NA,NA,NA,-0.4207071,NA,NA,NA,-0.54386673,NA,-0.4222146,NA,NA,NA,NA,NA,NA,NA,-0.41291863,-0.43938091,NA,NA,NA,NA,NA,NA,-0.49736819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesoridazine,1,5,0.2,Dopamine receptor antagonist,NA,NA,NA,NA,NA,NA,NA,NA,-0.46339962,NA,NA,NA,-0.54350367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36217918,NA,NA,-0.50731469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34429277,NA,NA,NA,NA,NA,-0.46081871,NA,NA,NA,NA,NA,NA,NA
Genistein,3,5,0.6,Tyrosine kinase inhibitor,NA,NA,NA,-0.54314349,NA,-0.44130415,NA,NA,0.56854441,NA,NA,NA,-0.47345252,0.42334057,NA,NA,NA,NA,NA,NA,NA,NA,0.3528416,-0.45350483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4556547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipatasertib,2,10,0.2,Serine/threonine-protein kinase AKT inhibitor,NA,NA,NA,-0.39113299,NA,NA,NA,NA,NA,NA,NA,NA,-0.47798839,NA,-0.47446191,NA,NA,NA,NA,NA,-0.44026513,NA,-0.37732441,-0.50092752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34854686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39579728,NA,NA,NA,-0.54116781,-0.3258185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37279923,-0.35664999,NA,NA,NA
Suprofen,0,3,0,Cyclooxygenase inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54004928,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41370634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35877672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimozide,5,6,0.83333333,Dopamine receptor antagonist|Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a,NA,NA,NA,-0.40928193,NA,NA,0.44655064,NA,-0.36196107,NA,NA,NA,-0.53937877,0.34790936,-0.35830938,NA,NA,NA,NA,NA,NA,NA,0.32525331,0.43863577,NA,-0.40988653,NA,NA,0.47581475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35686548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Withaferin A,3,10,0.3,IKK inhibitor,NA,NA,NA,-0.38629143,NA,-0.45440104,NA,NA,-0.62967901,NA,NA,NA,-0.56109123,0.45892472,NA,-0.50966626,0.50794427,NA,-0.42633173,0.44386014,NA,-0.53864562,NA,-0.41210963,-0.49663357,NA,NA,NA,NA,NA,-0.42447036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primidone,1,2,0.5,GABA receptor antagonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37318002,NA,NA,NA,NA,NA,NA,NA,-0.36854563,-0.53769243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Momelotinib,4,5,0.8,Tyrosine-protein kinase JAK1  inhibitor|Tyrosine-protein kinase JAK2 inhibitor,NA,NA,NA,NA,NA,-0.37349886,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47749789,NA,-0.53718948,0.38434668,NA,NA,0.34866477,0.38716353,-0.42408597,-0.36228229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43629721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carbamazepine,3,6,0.5,Sodium channel alpha subunit blocker,NA,NA,NA,-0.40188847,NA,NA,-0.35741088,NA,0.49230681,NA,NA,NA,-0.39846974,-0.51528979,0.45482579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53683163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35247809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36725811,NA,NA,NA,NA,NA
Enclomiphene,1,4,0.25,Estrogen receptor antagonist,NA,NA,NA,NA,NA,-0.41677887,NA,NA,NA,NA,NA,NA,0.40201334,NA,-0.53493715,NA,NA,NA,NA,NA,NA,NA,-0.41444146,NA,NA,NA,NA,NA,NA,NA,-0.38648922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sunitinib,2,9,0.22222222,Macrophage colony stimulating factor  receptor  inhibitor|Platelet-derived growth factor receptor inhibitor|Stem cell growth factor receptor inhibitor|Tyrosine-protein kinase receptor FLT3 inhibitor|Tyrosine-protein kinase receptor RET inhibitor|Vascular endothelial growth factor receptor inhibitor,NA,NA,NA,NA,NA,NA,-0.36888712,NA,NA,NA,NA,NA,-0.33400097,-0.44112333,NA,NA,NA,NA,NA,-0.48563602,-0.39226235,NA,-0.39555619,-0.4572803,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35178244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53271242,NA,NA,NA,NA,NA,NA,NA,0.36933526,NA,NA,NA,NA,NA,NA,NA,0.39316444,NA,NA,NA
Trazodone,1,7,0.14285714,Serotonin transporter inhibitor|Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c,NA,NA,NA,-0.35075646,NA,NA,-0.35482223,0.3959855,NA,NA,NA,NA,-0.50644657,NA,-0.40858052,NA,NA,NA,NA,NA,NA,NA,NA,-0.532361,NA,NA,NA,NA,NA,NA,-0.39812584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51993455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cholic acid,2,3,0.66666667,Bile acid,NA,NA,NA,NA,NA,NA,NA,NA,-0.43712947,NA,NA,NA,-0.52130472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53144854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44575188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48651558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farnesylthioacetic acid,0,5,0,Inhibitor of methyl esterification of farnesylated proteins,NA,NA,NA,NA,NA,NA,-0.40198126,NA,-0.52976979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41719009,NA,-0.34261137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45171391,NA,NA,NA,NA,NA,NA,NA,NA
Saracatinib,9,7,1.28571429,Src inhibitor,NA,NA,NA,NA,NA,0.41832631,-0.37816514,NA,0.34757567,NA,NA,NA,0.46335522,0.42308374,NA,0.43558836,-0.37484777,NA,0.35239335,-0.42275296,NA,-0.60482474,0.40925202,0.47180822,-0.52855817,NA,NA,NA,NA,NA,-0.39356121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39546114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36362877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benazepril,1,1,1,Angiotensin converting enzyme inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,-0.52754411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34056821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ofloxacin,2,3,0.66666667,Bacterial DNA gyrase inhibitor,NA,NA,NA,-0.40348003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49513978,NA,NA,NA,NA,NA,NA,NA,NA,0.42272807,-0.52702185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37950919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrendipine,3,6,0.5,Calcium channel blocker,NA,NA,-0.38464827,-0.52661837,NA,NA,0.3441504,NA,NA,NA,NA,NA,-0.4575705,0.35777016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45791798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3417126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39171459,NA,NA,NA,-0.3364208,NA,NA,NA,NA,NA,NA
