compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Sorafenib,5,6,0.83333333,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,NA,NA,-0.66933199,NA,-0.4020901,0.3858544,-0.57170258,NA,-0.54183471,NA,NA,-0.43982066,NA,0.37172263,0.37416445,0.40330368,NA,NA,NA,NA,NA,0.48357958,-0.39489827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trichostatin A, Streptomyces Sp.",18,13,1.38461538,CDK expression enhancer|HDAC inhibitor|ID1 expression inhibitor,NA,-0.43810353,-0.65088314,-0.66860231,0.5848521,0.5040321,0.5175571,0.44897624,0.52837145,NA,NA,NA,0.42514081,NA,NA,-0.61091433,NA,0.48737067,NA,0.50360093,0.41312875,NA,NA,NA,NA,NA,NA,0.4837825,NA,NA,NA,NA,-0.39317759,NA,-0.39799097,NA,NA,NA,NA,NA,-0.3913325,-0.55742088,NA,NA,NA,NA,NA,NA,NA,-0.55325022,0.66522585,NA,-0.37699856,NA,0.40125068,NA,0.46523731,0.69495659,-0.5766639,NA,NA,NA,NA,NA,NA,NA,0.58802778,NA,0.68595458,NA,0.55790233,-0.59857318,NA,NA,NA,NA,NA,NA,NA,-0.38474654,0.5439174,NA
Tivozanib,10,9,1.11111111,VEGFR inhibitor,NA,0.51046872,NA,NA,-0.55452889,0.69285383,NA,NA,-0.40715177,NA,NA,NA,0.51889468,NA,NA,-0.48660705,0.39131846,NA,0.46283692,NA,NA,NA,NA,0.56318222,NA,NA,NA,0.41049696,NA,-0.62686275,NA,NA,NA,NA,NA,NA,-0.4453894,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55157509,NA,-0.40125791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68354736,NA,NA,NA,NA,NA,NA,NA,-0.65739412,NA,NA,0.42409655,NA,NA,-0.49169448,NA,0.41031506,NA,NA
Panobinostat,6,4,1.5,HDAC inhibitor,NA,NA,-0.52362583,-0.49697011,0.56728728,0.4595273,NA,0.44661571,-0.37916053,NA,NA,NA,0.4482703,NA,NA,-0.65685657,NA,0.35907661,NA,0.40742405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apatinib Hydrochloride,8,2,4,HDAC inhibitor,NA,NA,0.52664544,-0.54269383,0.46650186,0.44919002,0.37767788,0.39372056,NA,NA,NA,NA,0.52815551,NA,NA,-0.65566358,NA,0.3859607,NA,0.41995832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimasertib,2,6,0.33333333,MEK inhibitor,0.39682741,NA,-0.65519843,NA,0.39198027,-0.44270462,-0.61892639,-0.56340485,NA,NA,NA,NA,NA,NA,NA,-0.4434548,NA,NA,NA,NA,-0.38565441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Refametinib,1,4,0.25,NA,NA,-0.39976425,NA,-0.36933624,-0.35532061,-0.65288801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56524434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUDAHWBOROXANE-UHFFFAOYSA-N,0,5,0,MAP kinase inhibitor|MEK inhibitor|Protein kinase inhibitor,NA,NA,-0.65128199,NA,NA,-0.60787658,-0.45642958,-0.54548011,NA,NA,NA,NA,NA,NA,NA,-0.44074634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gefitinib,3,12,0.25,EGFR inhibitor,-0.37115569,NA,-0.53333841,0.39903888,NA,NA,NA,-0.41487323,-0.40506342,NA,NA,-0.43390257,-0.47366845,NA,-0.64764556,-0.61835069,-0.55216808,NA,-0.41957568,NA,NA,0.40612311,-0.43085098,0.42190171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4714816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Droperidol,1,1,1,Dopamine receptor antagonist,NA,0.3673571,NA,NA,NA,-0.6355289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamatinib,10,11,0.90909091,SYK inhibitor,NA,-0.41360872,NA,-0.37320048,-0.40861678,NA,NA,0.40013683,NA,NA,NA,0.49616034,-0.38629772,-0.40646163,-0.41650023,-0.39388446,-0.63468167,NA,0.59435281,NA,NA,0.40143325,0.4680189,0.40800771,NA,NA,NA,0.46544139,NA,0.39500989,NA,0.38836157,NA,-0.6119633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.60294369,NA,NA,NA,NA,-0.49155351,NA,0.40904081,NA,NA,NA
Trametinib,0,9,0,MEK inhibitor,NA,NA,NA,NA,-0.42597755,-0.58360471,NA,-0.37643131,NA,NA,NA,-0.58846505,NA,-0.50173955,-0.63299158,-0.37237795,-0.5592282,NA,NA,NA,NA,-0.54316528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlotinib,4,11,0.36363636,EGFR inhibitor,0.55596549,-0.43108244,NA,0.49862946,-0.48018909,0.46553645,NA,-0.6119289,NA,NA,NA,-0.43881949,-0.44884324,0.56969619,-0.62744082,-0.53200856,-0.62380109,NA,NA,-0.38063642,-0.43481948,-0.48755296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belinostat,13,6,2.16666667,HDAC inhibitor,NA,NA,-0.44140826,-0.62653827,0.40942604,0.47436717,0.49218927,-0.49384875,-0.44838538,NA,NA,NA,0.37978006,NA,NA,-0.52826239,NA,0.48452,0.50293311,-0.4259738,NA,NA,NA,0.388221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47897428,0.55763158,0.39940777,NA,NA,NA,NA,NA,NA,NA,NA,0.40658296,NA,NA,NA,0.4817514,NA,0.49662898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abexinostat,8,3,2.66666667,HDAC inhibitor,0.39353103,0.42449474,-0.62219261,-0.50288217,0.53226948,0.36067273,0.49092352,NA,0.37265856,NA,NA,NA,0.42072408,NA,NA,-0.39764062,NA,NA,NA,NA,NA,NA,NA,0.56581292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lapatinib,6,7,0.85714286,EGFR inhibitor|ErbB2 inhibitor,NA,0.38963445,-0.40789203,-0.46960751,-0.4719308,NA,NA,NA,NA,NA,NA,0.58935759,0.5469583,0.46417484,-0.62138289,-0.36609811,-0.50206625,NA,0.39303304,NA,NA,0.59614818,NA,-0.44388501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pifithrin MU,7,6,1.16666667,HSP inhibitor,NA,NA,-0.46223577,-0.6213644,NA,0.45069116,NA,NA,-0.54958352,NA,0.40170494,NA,NA,NA,NA,0.39298612,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4473331,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39127214,NA,NA,NA,NA,NA,NA,0.4036999,NA,NA,NA,NA,NA,NA,NA,NA,0.42653485,NA,0.46347511,NA,NA,NA,NA,NA,NA,-0.39873587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37540787,NA,NA,NA
sorafenib,0,10,0,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,NA,NA,-0.59557651,-0.49252842,-0.40899245,-0.39102464,-0.49243735,-0.45301536,NA,NA,NA,-0.48405627,NA,-0.61772123,NA,NA,-0.49412954,NA,NA,NA,-0.40411373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dacinostat,8,4,2,HDAC inhibitor,NA,0.3814594,-0.61499013,-0.56823407,0.42037595,0.39648899,0.35113796,-0.48672273,NA,NA,NA,NA,0.46067171,NA,NA,-0.36541996,NA,0.35586759,NA,0.41012911,NA,NA,NA,0.4663459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rebastinib,3,11,0.27272727,Tyrosine-protein kinase ABL inhibitor,NA,-0.57455129,-0.40951524,-0.4110035,-0.42767589,0.5855521,-0.4729265,-0.37481572,NA,NA,NA,NA,0.45680682,NA,NA,NA,NA,NA,NA,NA,-0.4437629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61403121,NA,-0.5150183,NA,NA,NA,NA,NA,NA,NA,NA,0.4145251,NA,NA,NA,NA,NA,-0.36479123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59723097,NA,NA,NA,NA
Fluspirilene,6,2,3,Dopamine receptor antagonist,0.39165778,NA,-0.40705862,NA,0.40724113,0.47820265,NA,NA,NA,NA,0.38925843,NA,NA,NA,NA,NA,NA,NA,NA,0.37168123,NA,NA,NA,NA,NA,NA,NA,0.3861597,NA,NA,NA,NA,NA,NA,NA,NA,-0.61013948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tozasertib,4,17,0.23529412,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,0.44723617,-0.47152378,-0.61000642,-0.44451178,-0.47152728,-0.3894461,-0.4541109,0.53689202,-0.37149437,NA,NA,-0.45158675,-0.58235533,-0.38504297,-0.68883724,-0.42223153,-0.50764895,NA,NA,NA,NA,0.43829659,NA,NA,NA,0.38362588,NA,NA,-0.37701352,NA,NA,NA,-0.4383652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41913589,NA,NA,NA,NA,NA,-0.49312061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ponatinib,1,8,0.125,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,NA,NA,NA,-0.4086953,-0.46442818,-0.58891959,-0.57306543,-0.38663567,NA,NA,NA,0.51313807,NA,NA,NA,NA,NA,NA,NA,NA,-0.48091555,-0.38723636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.60716213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rimexolone,2,1,2,Glucocorticoid receptor agonist,NA,NA,NA,0.5050943,0.43298499,NA,NA,-0.60640973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglitazone,7,3,2.33333333,Peroxisome proliferator-activated receptor gamma agonist,-0.44948968,NA,0.47245956,-0.60179609,NA,-0.43303827,NA,NA,0.44040257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43009162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40541598,NA,NA,NA,0.34959362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39718487,NA,0.45019583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lestaurtinib,2,4,0.5,FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor,NA,NA,-0.60024016,-0.38930051,NA,0.40863593,NA,-0.45863845,NA,NA,NA,NA,NA,NA,NA,-0.46527804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47731262,NA
Manumycin-A,1,15,0.06666667,Farnesyltransferase inhibitor|NFkB pathway inhibitor,NA,NA,NA,-0.59868886,0.53206299,-0.39428387,NA,-0.37680983,-0.35547976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42638136,NA,NA,NA,NA,NA,NA,-0.55767759,NA,NA,NA,NA,-0.36412384,NA,-0.59174057,NA,-0.48791116,NA,NA,NA,NA,NA,NA,NA,-0.42936653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39729191,NA,NA,NA,-0.34811407,NA,NA,NA,NA,NA,NA,-0.74522481,NA,NA,NA,NA,NA,NA,-0.40229435,-0.41082912,NA,NA
Enzastaurin,2,9,0.22222222,PKC inhibitor,-0.41774848,-0.46858357,-0.50435677,-0.59765332,0.41395922,-0.36798388,NA,-0.47176486,NA,NA,NA,NA,-0.48420586,0.4542552,NA,NA,NA,NA,NA,-0.37640874,NA,NA,NA,-0.45625845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Infigratinib,7,9,0.77777778,FGFR inhibitor,NA,NA,0.5483119,NA,0.57258087,-0.3703643,-0.47083008,NA,NA,NA,NA,0.38763579,NA,0.44044505,NA,NA,NA,-0.44668676,NA,NA,-0.45776531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59546205,NA,-0.48673575,NA,NA,NA,NA,NA,NA,NA,NA,0.36997045,NA,NA,NA,0.48399074,NA,-0.42079013,NA,NA,NA,NA,NA,NA,-0.35273487,NA,NA,NA,0.36338932,NA,NA,-0.34876433,NA,NA,NA,NA
