compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Sirolimus,17,9,1.88888889,MTOR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,0.63208443,NA,NA,NA,0.51880854,NA,-0.50484993,0.61078912,NA,0.52598378,0.39879611,0.56728823,NA,0.55255954,0.46724581,NA,0.43444845,0.43449917,NA,NA,NA,NA,NA,NA,NA,-0.35255674,NA,NA,0.56758093,0.55822364,NA,NA,NA,NA,NA,0.50574737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42229806,NA,NA,NA,NA,NA,NA,0.39832674,NA,NA,NA,NA,0.54065467,NA,0.40720365,-0.36174002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinacrine,2,12,0.16666667,Cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator,-0.3547177,-0.459117,-0.39890087,-0.6227379,-0.49604923,NA,NA,NA,NA,-0.37915413,NA,NA,-0.35366795,-0.37868244,0.38878177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42171662,NA,-0.38790966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35914972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43212422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35214609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdc,0,3,0,Lipoxygenase inhibitor,NA,NA,NA,-0.60705665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38952315,NA,NA,-0.41156561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abexinostat,4,4,1,HDAC inhibitor,NA,NA,NA,-0.60276402,NA,-0.33160765,NA,NA,NA,NA,NA,NA,NA,NA,-0.34469995,NA,NA,NA,NA,NA,NA,NA,0.4811737,-0.34417345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45993973,NA,NA,NA,NA,NA,NA,NA,0.48174194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41147165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tozasertib,3,19,0.15789474,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,-0.43099793,NA,NA,-0.52191073,-0.38485657,NA,NA,NA,NA,NA,-0.32143317,-0.58118867,-0.45055539,-0.55716888,-0.40240407,0.60445739,NA,-0.42670552,0.51166804,NA,NA,-0.35729422,-0.42477589,NA,-0.42534975,-0.33204339,NA,-0.40878808,NA,NA,-0.4600469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4099898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43863998,-0.34077043,0.41127312,NA,NA,-0.42553207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasatinib,5,18,0.27777778,Bcr-Abl kinase inhibitor|Ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor|Tyrosine kinase inhibitor,NA,NA,NA,-0.56399495,NA,NA,NA,NA,NA,NA,NA,NA,-0.58098021,-0.39092129,-0.4127769,-0.45218537,-0.32820117,-0.50599005,-0.61874986,0.39129189,-0.36119863,-0.51908074,0.53664267,-0.5154883,NA,NA,NA,NA,NA,NA,-0.56021915,NA,NA,NA,NA,NA,-0.44508761,0.66162157,NA,NA,NA,0.60003031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4361645,NA,NA,NA,-0.40487014,-0.39542543,NA,NA,NA,NA,NA,NA,-0.37593149,NA,NA,NA,NA,NA,NA,-0.33239751,-0.36816355,NA,NA,NA
Sotalol,1,3,0.33333333,Adrenergic receptor antagonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55607927,NA,NA,NA,NA,NA,NA,-0.42488665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57403451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39416944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vinburnine,0,5,0,Adrenergic receptor antagonist,NA,NA,NA,-0.33262197,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56893686,NA,NA,NA,NA,NA,NA,NA,NA,-0.33071402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33509451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40590874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panobinostat,3,4,0.75,HDAC inhibitor,NA,NA,NA,-0.56233998,NA,0.37482317,NA,NA,NA,NA,NA,NA,-0.42201489,NA,-0.39757079,NA,NA,NA,NA,NA,0.39840068,NA,NA,-0.41902589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3910842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sorafenib,2,4,0.5,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,NA,NA,NA,-0.56075181,NA,NA,NA,0.48527449,NA,NA,NA,NA,-0.41216970000000003,NA,NA,-0.45069252,NA,NA,NA,NA,NA,NA,-0.38595941,NA,0.36721346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinaciclib,2,4,0.5,Cyclin-dependent kinase 1 inhibitor|Cyclin-dependent kinase 2 inhibitor|Cyclin-dependent kinase 5 inhibitor|Cyclin-dependent kinase 9 inhibitor,NA,NA,NA,-0.56047079,NA,-0.37164083,NA,NA,NA,NA,NA,NA,-0.33372898,NA,NA,NA,NA,NA,NA,NA,0.36523781,NA,NA,-0.38310415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34552093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aminopurvalanol,0,4,0,CDK inhibitor|Tyrosine kinase inhibitor,NA,NA,NA,-0.55058134,NA,NA,NA,NA,NA,NA,NA,NA,-0.47705898,NA,-0.35956499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55047663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycloheximide,0,2,0,Protein synthesis inhibitor,NA,NA,NA,-0.54859985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55179244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Givinostat,0,4,0,HDAC inhibitor,NA,NA,NA,-0.54822868,NA,NA,NA,NA,-0.44041329,NA,NA,NA,-0.33762991,-0.33649358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercetin,5,2,2.5,Polar auxin transport inhibitor,NA,NA,NA,-0.54114775,NA,NA,0.39832466,NA,0.33280005,NA,NA,NA,0.38751397,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39206945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37559009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36877548,NA,NA,NA,NA,NA,NA,NA,NA
Apafant,1,2,0.5,Platelet activating factor receptor antagonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54031812,NA,NA,NA,NA,NA,NA,NA,0.35725815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35178998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dacinostat,4,2,2,HDAC inhibitor,NA,NA,NA,-0.53817132,NA,0.37855295,NA,NA,NA,NA,NA,NA,-0.37792748,0.35640639,NA,NA,NA,NA,NA,NA,NA,NA,0.4477044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46232742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O-Demethylated Adapalene,4,2,2,Retinoid receptor agonist,NA,-0.53202796,NA,NA,NA,NA,NA,NA,0.36060097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39163059,NA,NA,NA,NA,NA,NA,NA,0.62231331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41699559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42072348,NA,NA,NA,NA,NA,NA,NA
Triptolide,1,1,1,RNA polymerase inhibitor,NA,NA,NA,-0.53176597,NA,NA,NA,NA,0.41573942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duloxetine,1,4,0.25,Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47212083,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35695164,NA,NA,NA,NA,NA,NA,-0.4225319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38662645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52828193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Z,E)-3-(imidazol-4-Ylmethylene)indolin-2-one",1,2,0.5,Angiogenesis inhibitor,NA,NA,NA,0.42661672,NA,NA,NA,NA,-0.52735855,NA,NA,NA,NA,NA,-0.47521924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quisinostat,1,4,0.25,HDAC inhibitor,NA,NA,NA,-0.52611901,NA,NA,-0.5404635,-0.39273789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43605215,-0.39374721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Topotecan,1,2,0.5,Topoisomerase inhibitor,NA,NA,NA,-0.5242089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37911648,NA,NA,NA,NA,NA,NA,0.40280102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Secnidazole,0,2,0,Acetylcholinesterase inhibitor|Microtubule inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5229334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36405587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curcumin,3,4,0.75,Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor,NA,NA,NA,-0.51900369,NA,NA,NA,NA,NA,NA,NA,NA,0.37640376,-0.41702105,NA,NA,NA,NA,NA,NA,NA,NA,0.51115641,-0.40911182,NA,NA,NA,NA,NA,NA,-0.37356517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40407544,NA,NA,NA
Trametinib,0,6,0,MEK inhibitor,NA,NA,NA,NA,NA,-0.36779137,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41386821,NA,-0.51613795,-0.55402784,NA,NA,-0.4448581,NA,NA,-0.38842322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selumetinib,3,20,0.15,MEK inhibitor,NA,NA,NA,0.40169911,NA,NA,NA,NA,NA,-0.32553728,NA,NA,-0.4239146,-0.40700573,-0.43321263,-0.4312074,0.64309762,-0.39257735,-0.36432275,-0.37110773,NA,-0.49621131,-0.46189916,-0.40854618,-0.41552009,NA,NA,NA,NA,NA,-0.55784223,-0.51248333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37724129,NA,NA,NA,NA,NA,0.48572144,NA,-0.39570957,NA,NA,NA,NA,NA,NA,NA,-0.45349836,NA,NA,-0.38212443,-0.42328947,NA,NA,-0.37476085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichostatin,3,5,0.6,CDK expression enhancer|HDAC inhibitor|ID1 expression inhibitor,NA,NA,NA,-0.50806347,NA,NA,NA,NA,NA,NA,NA,NA,-0.48893291,NA,NA,NA,NA,NA,NA,NA,0.39223373,NA,NA,-0.3648712,NA,NA,NA,NA,NA,NA,0.4706062,NA,NA,NA,NA,0.56907511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53345062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36777646,NA,NA,NA,NA,NA,NA,NA,NA
Gefitinib,2,10,0.2,EGFR inhibitor,NA,NA,NA,0.42282556,NA,NA,-0.4642723,NA,NA,NA,NA,NA,-0.49638473,-0.37215872,-0.34155951,-0.35614343,-0.41593236,NA,0.40092891,-0.44961387,NA,NA,NA,-0.49170688,-0.50740043,NA,NA,NA,NA,NA,-0.43693572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossypol,2,3,0.66666667,BCL inhibitor|MCL1 inhibitor,0.46575517,NA,NA,NA,NA,NA,NA,NA,-0.37385025,NA,-0.50109796,NA,NA,0.40735565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39250953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
