source,signatureid,compound,concentration,time,cellline,similarity,pValue,gene_direction,region,comparison,triple
entire_overall,LINCSCP_155356,Alprostadil,3.33uM,24h,PC3,-0.29853779,6e-20,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_2591,Penfluridol,10uM,6h,A375,-0.29805783,6e-20,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_32618,Withaferin-A,10uM,6h,MCF7,-0.29775184,7e-20,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_153444,IB-MECA,10uM,24h,PC3,-0.29753711,7e-20,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_46824,Reversine,10uM,24h,PC3,-0.29693625,9e-20,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_809,Menadione,10uM,24h,A375,-0.29587739,1.2e-19,none,AI,entire_overall,A375-24h-10uM
entire_overall,LINCSCP_15481,Perhexiline,10uM,6h,HA1E,-0.29453839,1.8e-19,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_244250,Suloctidil,10uM,6h,MCF7,-0.29450092,1.8e-19,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_71635,Indigo Red,10uM,24h,A375,-0.29119934,4.8e-19,none,AI,entire_overall,A375-24h-10uM
entire_overall,LINCSCP_2700,Ouabain,10uM,6h,A375,-0.29119496,4.8e-19,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_7446,Digoxin,10uM,6h,A549,-0.28997176,6.8e-19,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_3070,Azacitidine,10uM,6h,A375,-0.28898154,9e-19,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_46073,Latanoprost,10uM,24h,PC3,-0.28824689,1.11e-18,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_44021,Dinoprostone,10uM,24h,PC3,-0.28742275,1.41e-18,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_155876,Adapalene,3.33uM,24h,PC3,-0.28706195,1.56e-18,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_20390,Calmidazolium,10uM,6h,HCC515,-0.28468898,3.05e-18,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_44536,Colforsin,10uM,24h,PC3,-0.28277329,5.22e-18,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_18451,Anisomycin,10uM,6h,HCC515,-0.28216317,6.19e-18,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_154195,Irinotecan,3.33uM,24h,PC3,-0.28186861,6.71e-18,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_2272,Terreic-acid,10uM,6h,A375,-0.28164584,7.14e-18,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_7630,Puromycin Hydrochloride,10uM,6h,A549,-0.28094974,8.67e-18,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_244721,Iopanoic acid,10uM,6h,MCF7,-0.28017225,1.075e-17,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_5840,Tegaserod,10uM,6h,A549,-0.27909653,1.446e-17,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_30155,Withaferin A,10uM,6h,MCF7,-0.27824568,1.827e-17,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_46825,Xanthohumol,10uM,24h,PC3,-0.27726622,2.39e-17,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_244151,Primaquine,10uM,6h,MCF7,-0.27710701,2.496e-17,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_86,Brazilin,10uM,6h,A375,-0.27576915,3.593e-17,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_36435,Withaferin A,10uM,6h,MCF7,-0.27571955,3.641e-17,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_14945,Menadione,10uM,6h,HA1E,-0.27451518,5.046e-17,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_47280,Fdurd,10uM,24h,PC3,-0.27423116,5.448e-17,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_158097,Dinoprost,10uM,24h,PC3,-0.27383216,6.066e-17,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_172483,Arglabin,10uM,24h,YAPC,-0.27352223,6.594e-17,none,AI,entire_overall,YAPC-24h-10uM
entire_overall,LINCSCP_2448,Quisinostat,10uM,6h,A375,-0.27272386,8.171e-17,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_921,Narciclasine,10uM,6h,A375,-0.27266369,8.304e-17,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_20039,Cladribine,10uM,6h,HCC515,-0.27180998,1.0436e-16,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_7165,Ouabain,10uM,6h,A549,-0.27003234,1.6749e-16,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_2572,Brazilin,10uM,6h,A375,-0.26984763,1.759e-16,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_36179,Withaferin A,10uM,6h,MCF7,-0.26658509,4.1506e-16,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_153619,Clofarabine,3.33uM,24h,PC3,-0.26653935,4.2006e-16,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_244749,Wortmannin,10uM,6h,MCF7,-0.26410008,7.9195e-16,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_2784,Digoxin,10uM,6h,A375,-0.26316846,1.00722e-15,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_44197,Irinotecan,10uM,24h,PC3,-0.26185247,1.41233e-15,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_7126,Cucurbitacin I,10uM,6h,A549,-0.26118839,1.67382e-15,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_46053,Lorazepam,10uM,24h,PC3,-0.26113289,1.69772e-15,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_2834,Cyclosporin A,10uM,6h,A375,-0.26084879,1.82539e-15,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_44502,Coleoforsin,10uM,24h,PC3,-0.26039213,2.05065e-15,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_147,Menadione,10uM,6h,A375,-0.26023438,2.13464e-15,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_4756,Niclosamide,10uM,6h,A549,-0.25965203,2.47504e-15,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_44669,etoposide,10uM,24h,PC3,-0.25961886,2.49596e-15,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_4344,Digitoxigenin,10uM,6h,A549,-0.25872931,3.12658e-15,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_1062,pyrvinium-pamoate,10uM,6h,A375,-0.25805453,3.70709e-15,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_34618,Leflunomide,10uM,6h,MCF7,-0.25804649,3.71461e-15,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_48081,Morin,10uM,24h,PC3,-0.25670528,5.20333e-15,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_2529,Suloctidil,10uM,6h,A375,-0.25653177,5.43444e-15,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_20371,Withaferin-A,10uM,6h,HCC515,-0.25567723,6.72822e-15,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_35844,Withaferin A,10uM,6h,MCF7,-0.25541679,7.17956e-15,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_34599,Methylbenzethonium,10uM,6h,MCF7,-0.25480485,8.36042e-15,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_20679,Prostratin,10uM,6h,HCC515,-0.25363585,1.117044e-14,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_187912,Linopirdine,10uM,6h,A549,-0.25325212,1.228117e-14,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_153618,Clofarabine,10uM,24h,PC3,-0.25286111,1.352441e-14,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_201212,Perhexiline,10uM,6h,A549,-0.25217002,1.603108e-14,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_33489,Piplartine,10uM,6h,MCF7,-0.25167941,1.808214e-14,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_18588,"Tazac, Axid, Axid Ar, Nizatidine",10uM,24h,HCC515,-0.25047591,2.426822e-14,none,AI,entire_overall,HCC515-24h-10uM
entire_overall,LINCSCP_156840,Olaparib,10uM,24h,PC3,-0.24975496,2.892454e-14,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_266254,Piplartine,10uM,24h,PC3,-0.24936109,3.182797e-14,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_156667,Adarotene,3.33uM,24h,PC3,-0.24912999,3.366284e-14,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_270846,Raltitrexed,10uM,24h,PC3,-0.24907888,3.408241e-14,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_44926,O-Demethylated Adapalene,10uM,24h,PC3,-0.24845875,3.96014e-14,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_17855,Cilnidipine,10uM,24h,HCC515,-0.24805986,4.360558e-14,none,AI,entire_overall,HCC515-24h-10uM
entire_overall,LINCSCP_7449,Piplartine,10uM,6h,A549,-0.2477642,4.682742e-14,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_30198,Piplartine,10uM,6h,MCF7,-0.24771488,4.738722e-14,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_154338,Dabrafenib,10uM,24h,PC3,-0.24696103,5.680619e-14,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_6254,Sepantronium,10uM,6h,A549,-0.24615627,6.889024e-14,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_14318,Anisomycin,10uM,6h,HA1E,-0.24475292,9.62734e-14,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_2494,QL-X-138,10uM,6h,A375,-0.24455031,1.01022e-13,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_7436,Fccp,10uM,6h,A549,-0.24417126,1.1053082e-13,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_154799,ITRACONAZOLE HYDROCHLORIDE,10uM,24h,PC3,-0.24392294,1.1723076e-13,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_46078,Tegaserod,10uM,24h,PC3,-0.24300546,1.4562153e-13,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_43926,Withaferin A,10uM,24h,PC3,-0.2428025,1.5275935e-13,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_156666,Adarotene,10uM,24h,PC3,-0.2416683,1.9943387e-13,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_46683,Calmidazolium,10uM,24h,PC3,-0.24151438,2.0676058e-13,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_6634,Ruxolitinib,10uM,6h,A549,-0.2409023,2.3859737e-13,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_31799,Tegaserod,10uM,6h,MCF7,-0.24077573,2.4575741e-13,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_160965,Floxuridine,3.33uM,24h,PC3,-0.24068346,2.5110951e-13,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_169650,Cisapride,10uM,24h,YAPC,-0.24061308,2.5526795e-13,none,AI,entire_overall,YAPC-24h-10uM
entire_overall,LINCSCP_2919,Menadione,10uM,6h,A375,-0.24029652,2.748247e-13,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_46074,Carmofur,10uM,24h,PC3,-0.24016766,2.8319938e-13,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_19167,Periplocymarin,10uM,6h,HCC515,-0.23976798,3.108e-13,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_244349,Probenecid,10uM,6h,MCF7,-0.23970454,3.1541684e-13,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_162273,Cladribine,3.33uM,24h,PC3,-0.23929838,3.4660925e-13,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_72782,Alectinib,10uM,24h,A375,-0.23815329,4.5175467e-13,none,AI,entire_overall,A375-24h-10uM
entire_overall,LINCSCP_4289,Periplocymarin,10uM,6h,A549,-0.23770144000000001,5.0134945e-13,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_16292,MW-A1-14,10uM,6h,HA1E,-0.23745672,5.3039988e-13,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_178977,MW-A1-14,10uM,6h,A375,-0.23685904,6.0845966e-13,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_244947,Desloratadine,10uM,6h,MCF7,-0.23682315,6.1349032e-13,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_2675,Cucurbitacin I,10uM,6h,A375,-0.23636258,6.8177271e-13,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_15297,O-Demethylated Adapalene,10uM,24h,HA1E,-0.23528723000000001,8.7150939e-13,none,AI,entire_overall,HA1E-24h-10uM
entire_overall,LINCSCP_15653,Menadione,10uM,6h,HA1E,-0.23464986,1.0074555e-12,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_2352,Arundine,10uM,6h,A375,-0.23436559,1.07459406e-12,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_47351,Triamterene,10uM,24h,PC3,-0.23433318,1.08252111e-12,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_244329,DICUMAROL,10uM,6h,MCF7,-0.23416637,1.12423912e-12,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_5832,Irinotecan,10uM,6h,A549,-0.23339796,1.33764911e-12,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_6243,Obatoclax,10uM,6h,A549,-0.23295157,1.47934652e-12,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_872,Perhexiline,10uM,6h,A375,-0.23284911,1.51389095e-12,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_76,Selamectin,10uM,6h,A375,-0.232818,1.52453437e-12,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_44238,Alprostadil,10uM,24h,PC3,-0.23128277,2.15152324e-12,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_156242,Gemcitabine,3.33uM,24h,PC3,-0.23124218,2.17113725e-12,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_20506,Entinostat,10uM,6h,HCC515,-0.23122868,2.1776983e-12,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_10198,Gemcitabine,10uM,6h,A549,-0.23087975,2.35420124e-12,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_162272,Cladribine,10uM,24h,PC3,-0.23077007,2.41252347e-12,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_4318,Cercosporin,10uM,6h,A549,-0.22972744,3.04248642e-12,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_1916,Topotecan,10uM,6h,A375,-0.22969206,3.06646733e-12,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_674,Gossypol,10uM,24h,A375,-0.22968536,3.07103615e-12,none,AI,entire_overall,A375-24h-10uM
entire_overall,LINCSCP_152810,Nicardipine,3.33uM,24h,PC3,-0.22932271,3.32818902e-12,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_1054,Kinetin Riboside,10uM,6h,A375,-0.22868279,3.83432573e-12,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_111,Piplartine,10uM,6h,A375,-0.22858363,3.91922519e-12,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_244171,Bendroflumethiazide,10uM,6h,MCF7,-0.22824226,4.2257819e-12,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_91369,FAMPRIDINE,10uM,24h,HA1E,-0.22786509,4.59179742e-12,none,AI,entire_overall,HA1E-24h-10uM
entire_overall,LINCSCP_153702,Lintitript,10uM,24h,PC3,-0.2275844,4.88415582e-12,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_158608,Lidoflazine,3.33uM,24h,PC3,-0.22660448,6.05475459e-12,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_154434,Latanoprost,10uM,24h,PC3,-0.22655041,6.1267928e-12,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_153847,"Forskolin, NKH477",3.33uM,24h,PC3,-0.22629718,6.47543023e-12,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_15573,Piplartine,10uM,6h,HA1E,-0.22616491,6.66518657e-12,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_4744,O-Demethylated Adapalene,10uM,6h,A549,-0.2255298,7.65477926e-12,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_139744,CIANIDANOL,0.12uM,24h,MCF7,-0.22536226,7.93892646e-12,none,AI,entire_overall,MCF7-24h-0.12uM
entire_overall,LINCSCP_2672,Teniposide,10uM,6h,A375,-0.22511017,8.38602141e-12,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_155355,Alprostadil,10uM,24h,PC3,-0.22506137,8.47537241e-12,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_136691,Lacidipine,0.12uM,24h,MCF7,-0.22480043,8.96917155e-12,none,AI,entire_overall,MCF7-24h-0.12uM
entire_overall,LINCSCP_19473,Auranofin,10uM,6h,HCC515,-0.22470981,9.14715863e-12,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_46188,Latrunculin B,10uM,24h,PC3,-0.22431959,9.95387599e-12,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_158098,Dinoprost,3.33uM,24h,PC3,-0.22422659,1.015617056e-11,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_153858,Perhexiline,10uM,24h,PC3,-0.22414561,1.033559828e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_244124,Warfarin,10uM,6h,MCF7,-0.22402402,1.061084601e-11,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_158217,Ivacaftor (VX-770),10uM,24h,PC3,-0.22355517,1.174086369e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_875,Cucurbitacin-I,10uM,6h,A375,-0.222814,1.377140094e-11,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_46513,Decitabine,10uM,24h,PC3,-0.22245786,1.486550039e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_244691,Octopamine,10uM,6h,MCF7,-0.22149488,1.82672456e-11,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_105,Chloroxine,10uM,6h,A375,-0.22146578,1.838106681e-11,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_47346,Pyrimethamine,10uM,24h,PC3,-0.22143538,1.85007312e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_3038,Prostratin,10uM,6h,A375,-0.22116236,1.961006551e-11,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_1904,Etoposide,10uM,6h,A375,-0.21936108000000001,2.874122114e-11,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_155625,Resminostat,3.33uM,24h,PC3,-0.21926244,2.934646822e-11,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_16710,Nilotinib,10uM,6h,HA1E,-0.2188293,3.215475224e-11,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_2211,Entinostat,10uM,6h,A375,-0.21875501,3.266209587e-11,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_266276,Bisacodyl,10uM,24h,PC3,-0.21868856,3.312254345e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_155875,Adapalene,10uM,24h,PC3,-0.21868158,3.317123108e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_160682,AMSACRINE,10uM,24h,PC3,-0.21826193,3.623333306e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_2487,vicriviroc,10uM,6h,A375,-0.21795325,3.866034354e-11,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_152869,Cyproheptadine,10uM,24h,PC3,-0.2173353,4.400540223e-11,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_19494,Narciclasine,10uM,6h,HCC515,-0.2171248,4.598599415e-11,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_14571,Puromycin,10uM,6h,HA1E,-0.21698529,4.73463861e-11,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_2815,Omacetaxine Mepesuccinate,10uM,6h,A375,-0.21572468,6.15601098e-11,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_99492,Withaferin A,10uM,24h,HCC515,-0.21561641,6.295914769e-11,none,AI,entire_overall,HCC515-24h-10uM
entire_overall,LINCSCP_2195,Ispinesib,10uM,6h,A375,-0.21486618,7.354330494e-11,none,AI,entire_overall,A375-6h-10uM
