compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Rebastinib,2,15,0.13333333,Tyrosine-protein kinase ABL inhibitor,NA,-0.44064908,-0.658665,-0.61768927,-0.43673724,0.68530272,-0.71622533,0.3872347,NA,NA,NA,NA,NA,NA,NA,-0.39950728,NA,NA,-0.40744012,NA,-0.40282721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.81745772,-0.55058315,-0.62369885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50909042,-0.50172431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46569127,NA,NA,-0.70424366,NA,NA,NA,NA
Ponatinib,3,11,0.27272727,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,NA,NA,-0.49031652,-0.43767074,-0.42864598,-0.58752243,-0.70264992,NA,NA,NA,NA,-0.39133247,0.38799406,-0.53818584,NA,0.52607254,0.43839119,-0.61691176,NA,NA,NA,-0.62030035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.80618189,NA,-0.40635236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimasertib,2,7,0.28571429,MEK inhibitor,NA,-0.49704753,-0.7592236,NA,0.53511927,-0.67822404,-0.80458348,-0.73765925,0.38556316,NA,NA,NA,NA,NA,NA,-0.67749806,NA,NA,NA,NA,NA,NA,NA,-0.56569011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetocin,6,17,0.35294118,Histone lysine methyltransferase inhibitor,NA,NA,-0.42896556,-0.63682229,-0.55871288,0.44753403,NA,-0.58319525,-0.43170394,NA,NA,NA,NA,NA,NA,0.37551708,NA,NA,NA,NA,NA,NA,NA,NA,-0.49820495,-0.54429189,NA,NA,NA,NA,NA,NA,NA,NA,-0.76236547,NA,NA,0.49165054,NA,-0.80302272,NA,0.50456148,NA,NA,-0.39571132,0.62007559,NA,NA,NA,-0.40239957,NA,NA,-0.52281605,NA,NA,NA,NA,NA,NA,-0.50812249,NA,NA,NA,NA,NA,-0.51682001,NA,NA,NA,NA,NA,-0.62112496,0.53646251,NA,NA,-0.62427389,-0.52207427,NA,NA,NA,NA,NA
Amoxicillin,0,2,0,Penicillin binding protein inhibitor,NA,NA,-0.38148536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.80267433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tozasertib,4,19,0.21052632,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,0.43483611,-0.54198365,-0.64813207,-0.58246783,-0.54210947,-0.5078367,-0.78506435,-0.46428971,-0.4625705,NA,NA,0.60066155,-0.40246935,0.43633522,NA,-0.50115521,-0.48470439,NA,NA,NA,NA,0.46094326,NA,NA,NA,NA,-0.42753393,NA,-0.38824561,NA,NA,-0.43639739,-0.56982359,NA,NA,NA,NA,NA,-0.54404238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49023634,NA,NA,NA,NA,NA,NA,NA,NA,-0.39642431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45095021,NA,NA,NA
Lestaurtinib,2,6,0.33333333,FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor,NA,NA,-0.77981149,-0.3661779,-0.45551833,0.62155306,-0.68173496,-0.7173035,NA,NA,NA,NA,NA,NA,NA,-0.59471045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56780472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JNK-IN-2,0,5,0,JNK inhibitor,NA,NA,NA,NA,NA,-0.49594583,NA,NA,NA,NA,NA,-0.46441295,NA,-0.77356798,NA,NA,-0.41835728,NA,NA,NA,NA,-0.49095174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreson,1,2,0.5,Glucocorticoid receptor agonist,NA,-0.39137072,NA,NA,NA,NA,-0.76751545,NA,NA,NA,NA,NA,0.39383048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunicamycin From Streptomyces Sp.,7,1,7,GLCNAC phosphotransferase inhibitor,NA,0.48959423,0.46497813,0.48305506,0.41690078,0.41637767,-0.76005272,NA,0.40104821,NA,NA,NA,NA,NA,NA,NA,NA,0.50697951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axitinib,0,2,0,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,NA,NA,NA,-0.39673715,NA,-0.75749017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vorinostat,8,31,0.25806452,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,NA,-0.48374297,-0.71002209,-0.71846391,-0.59754534,0.60963984,0.44926611,-0.53024522,-0.55328427,NA,NA,NA,-0.56070426,NA,NA,-0.42934963,NA,-0.61808134,NA,-0.38181747,-0.36349977,NA,NA,NA,NA,-0.43730587,-0.44249456,NA,NA,NA,NA,-0.38359285,-0.67735491,NA,-0.58763742,NA,0.45247365,NA,-0.62144417,-0.57953419,NA,-0.50953569,0.50407346,-0.46499674,NA,NA,NA,NA,0.45879952,-0.40503357,NA,-0.41665549,NA,-0.41106292,NA,NA,NA,0.45825278,-0.52066145,-0.3995553,-0.54309736,NA,-0.56247682,-0.42780418,NA,NA,NA,NA,NA,0.37333573,NA,-0.75443436,NA,0.36491107,NA,-0.43677449,NA,-0.38763954,NA,NA,NA,NA
Lapatinib,7,7,1,EGFR inhibitor|ErbB2 inhibitor,NA,0.4502667,0.44701246,0.40729316,0.52783,0.46177466,NA,0.42720227,NA,NA,NA,-0.6374192,0.60692237,-0.43099858,-0.75245717,-0.61434294,-0.64155583,NA,-0.39959234,NA,NA,NA,NA,-0.60014816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melperone,1,1,1,Dopamine receptor antagonist|Serotonin receptor antagonist,NA,NA,-0.74835612,0.57531412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorafenib,9,4,2.25,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,NA,NA,-0.74384986,NA,0.47253865,0.42621381,0.65729017,0.36977032,NA,NA,NA,0.59842734,NA,NA,0.54672669,NA,-0.45316341,NA,-0.45446524,0.3897195,NA,NA,-0.40461271,0.38269005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44554147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglitazone,5,3,1.66666667,Peroxisome proliferator-activated receptor gamma agonist,NA,-0.4587566,0.39216323,-0.74170828,-0.37012568,0.39194407,NA,0.44441671,0.43782087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37123341,NA,NA,NA,NA,NA,NA,NA,NA
sorafenib,3,5,0.6,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,NA,NA,-0.63150132,-0.42534567,NA,0.40215316,-0.66650672,NA,0.39365174000000003,NA,NA,NA,NA,-0.74142806000000006,0.39430835,NA,-0.37933107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danusertib,3,1,3,Aurora kinase inhibitor|Growth factor receptor inhibitor,0.38286131,NA,0.4471018,NA,-0.74095331,0.46882963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trichostatin A, Streptomyces Sp.",2,27,0.07407407,CDK expression enhancer|HDAC inhibitor|ID1 expression inhibitor,NA,NA,-0.69613714,-0.74038467,-0.53790669,-0.6510692,-0.42488045,-0.57796742,-0.62198401,NA,-0.39869557,NA,-0.50927998,NA,NA,-0.47842042,NA,-0.42913543,NA,-0.5060721,-0.38253648,NA,NA,NA,0.38244664,NA,NA,NA,NA,NA,NA,NA,-0.57799667,NA,-0.42875937,NA,NA,NA,-0.50845809,NA,NA,-0.4640629,NA,-0.4753275,-0.38864122,NA,NA,NA,NA,-0.56665158,NA,-0.43816154,NA,-0.43446675,NA,NA,NA,NA,-0.52343425,-0.46369063,NA,NA,NA,NA,NA,-0.45513376,NA,NA,NA,NA,NA,-0.64329446,NA,NA,NA,-0.38344362,NA,NA,NA,NA,0.50063316,NA
Donitriptan hydrochloride,1,2,0.5,G protein-coupled receptor 44 antagonist|Serotonin 1b (5-HT1b) receptor agonist (Serotonin 1b|Serotonin 1d (5-HT1d) receptor agonist (Serotonin 1d,NA,-0.41293914,NA,-0.72731341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38646429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pifithrin MU,7,5,1.4,HSP inhibitor,NA,-0.3759649,-0.47271463,-0.72040375,0.59584387,0.43363118,NA,NA,-0.5434623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40887761,NA,0.35869895,NA,NA,NA,NA,NA,0.79296375,NA,NA,NA,NA,0.50937406,NA,NA,NA,0.51245064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58497034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gefitinib,2,12,0.16666667,EGFR inhibitor,NA,0.37316095,-0.62589062,0.37491045,-0.47835327,-0.55906604,NA,-0.47775636,-0.37931584,NA,NA,-0.62498539,NA,-0.55753301,-0.70356289,-0.55869992,-0.72005743,NA,-0.44013076,NA,NA,NA,-0.3668746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parthenolide,9,14,0.64285714,NFkB pathway inhibitor,NA,NA,-0.54634016,-0.57356732,-0.49181645,0.46680151,-0.56577478,-0.55316824,0.42518289,NA,NA,NA,NA,NA,NA,-0.39337246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41899094,0.37697405,NA,NA,NA,-0.45435915,NA,-0.42647236,0.43000212,NA,NA,NA,NA,NA,NA,0.48425501,-0.44386831,-0.71880703,0.43925448,NA,NA,NA,NA,NA,0.45888218,NA,NA,NA,NA,NA,NA,-0.55440744,NA,NA,NA,NA,NA,NA,0.4300158,-0.3886909,NA,NA,NA,NA,NA,NA,-0.44363858,NA,-0.58381448,NA,NA,NA,NA,NA,NA
Glyburide,3,4,0.75,Sulfonylurea,NA,-0.61980833,NA,-0.71525651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44429233,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46057721,NA,NA,NA,NA,NA,NA,NA,NA,0.36403792,NA,NA,-0.41392525,NA,NA,NA,-0.39215004999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cucurbitacin-i,1,2,0.5,NA,-0.42787882,NA,-0.71328935,NA,0.36907624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ursolic acid,7,2,3.5,11-beta hydroxysteroid dehydrogenase inhibitor|Acetylcholinesterase inhibitor|Caspase inhibitor|HIV protease inhibitor|Lipid peroxidase inhibitor|Quorum sensing signaling modulator|Steryl sulfatase inhibitor|Tyrosine phosphatase inhibitor|ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor,NA,0.6038679,0.64789923,0.51063838,NA,0.40664084,NA,NA,0.53531993,NA,NA,NA,NA,NA,NA,0.58462982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57770722,NA,NA,NA,NA,NA,NA,NA,NA,-0.7112909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36244609,NA
Refametinib,1,3,0.33333333,NA,NA,NA,-0.38978177,0.52463862000000006,NA,-0.71109109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54768389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitoxantrone,3,19,0.15789474,DNA topoisomerase II alpha inhibitor,NA,-0.4493956,-0.57726507,-0.70820538,-0.52638726,-0.56004296,-0.44068009,-0.43028505,NA,-0.50872666,NA,0.45596161,-0.56547769,-0.69559916,0.44348875,-0.53818295,-0.38933053,NA,-0.46143973,NA,NA,-0.51124678,-0.446266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43238678,NA,NA,NA,NA,NA,NA,NA,0.41423117,NA,NA,NA,NA,NA,NA,NA,-0.46133628,-0.42881143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47877937,NA,NA,NA,NA
